rank,sport,year,setKey,prefix,parallel,isAuto,printRun,salesCount,share,cumulativeShare,distinctCardNumbers,exampleTitle,checklistinsiderUrl(GUESS),baseballcardpediaUrl(GUESS),cardboardconnectionUrl(GUESS)
1,baseball,2026,bowman-chrome-mega-box,base,Base,false,,2732,4.71%,4.71%,2,2026 Bowman Mega Box Baseball #ES-18 Base,https://www.checklistinsider.com/2026-bowman-chrome-mega-box-baseball-checklist,https://www.baseballcardpedia.com/index.php/2026_Bowman_Chrome_Mega_Box,https://www.cardboardconnection.com/2026-bowman-chrome-mega-box-baseball-cards
2,baseball,2026,bowman-chrome-mega-box,base,Mojo Refractor,false,,1940,3.34%,8.05%,0,SHOHEI OHTANI 2026 BOWMAN CHROME MEGA BOX STERLING MOJO REFRACTOR BST-6 ⚾️ 🔥,https://www.checklistinsider.com/2026-bowman-chrome-mega-box-baseball-checklist,https://www.baseballcardpedia.com/index.php/2026_Bowman_Chrome_Mega_Box,https://www.cardboardconnection.com/2026-bowman-chrome-mega-box-baseball-cards
3,baseball,2025,bowmans-best,base,Base,false,,944,1.63%,9.68%,0,2025 Bowman\'s Best - Pixel Portraits Ronald Acuña Jr. #P-5,https://www.checklistinsider.com/2025-bowmans-best-baseball-checklist,https://www.baseballcardpedia.com/index.php/2025_Bowmans_Best,https://www.cardboardconnection.com/2025-bowmans-best-baseball-cards
4,baseball,2026,bowman-chrome,base,Reptilian Refractor,false,,788,1.36%,11.04%,0,2026 Bowman Baseball #BCP-140 Reptilian Refractor,https://www.checklistinsider.com/2026-bowman-chrome-baseball-checklist,https://www.baseballcardpedia.com/index.php/2026_Bowman_Chrome,https://www.cardboardconnection.com/2026-bowman-chrome-baseball-cards
5,baseball,2025,bowmans-best,base,Base,true,,674,1.16%,12.20%,0,Topps 2025 Bowman\'s Best Eric Bitonti Autograph #B25-EBI Brewers Best of 2025,https://www.checklistinsider.com/2025-bowmans-best-baseball-checklist,https://www.baseballcardpedia.com/index.php/2025_Bowmans_Best,https://www.cardboardconnection.com/2025-bowmans-best-baseball-cards
6,baseball,2026,bowman-chrome-mega-box,BMA,Base,false,,651,1.12%,13.32%,46,2026 Bowman Mega Box Baseball #BMA-EP Base,https://www.checklistinsider.com/2026-bowman-chrome-mega-box-baseball-checklist,https://www.baseballcardpedia.com/index.php/2026_Bowman_Chrome_Mega_Box,https://www.cardboardconnection.com/2026-bowman-chrome-mega-box-baseball-cards
7,baseball,2024,topps-holiday,base,Base,false,,591,1.02%,14.34%,0,Gunnar Henderson 2024 Topps Holiday Relics #RC-GH Memorabilia Patch Player Worn,https://www.checklistinsider.com/2024-topps-holiday-baseball-checklist,https://www.baseballcardpedia.com/index.php/2024_Topps_Holiday,https://www.cardboardconnection.com/2024-topps-holiday-baseball-cards
8,baseball,2025,upper-deck,base,Base,false,,571,0.98%,15.33%,0,2025-26 Upper Deck Outburst #532 Scott Wedgewood,https://www.checklistinsider.com/2025-upper-deck-baseball-checklist,https://www.baseballcardpedia.com/index.php/2025_Upper_Deck,https://www.cardboardconnection.com/2025-upper-deck-baseball-cards
9,baseball,2026,bowman-chrome,BCP,Mojo Refractor,false,,555,0.96%,16.28%,20,2026 Bowman #BCP-21 Roldy Brito Mojo Refractor,https://www.checklistinsider.com/2026-bowman-chrome-baseball-checklist,https://www.baseballcardpedia.com/index.php/2026_Bowman_Chrome,https://www.cardboardconnection.com/2026-bowman-chrome-baseball-cards
10,baseball,2025,topps,base,Base,false,,481,0.83%,17.11%,69,2025 Topps Baseball #90B2-SS Base,https://www.checklistinsider.com/2025-topps-baseball-checklist,https://www.baseballcardpedia.com/index.php/2025_Topps,https://www.cardboardconnection.com/2025-topps-baseball-cards
