category,cardNumber,parallel,isAuto,printRun,player
base,BCP-153,Base,false,,Mario Baez
base,BCP-154,Base,false,,Christopher Familia
base,BCP-155,Base,false,,Sheng-En Lin
base,BCP-156,Base,false,,Alexander Albertus
base,BCP-157,Base,false,,Luis Morales
base,BCP-158,Base,false,,Jeral Perez
base,BCP-159,Base,false,,Yolfran Castillo
base,BCP-160,Base,false,,Juan Baez
base,BCP-161,Base,false,,Zach Dezenzo
base,BCP-162,Base,false,,Julio Zayas
base,BCP-163,Base,false,,Echedry Vargas
base,BCP-164,Base,false,,Eduardo Tait
base,BCP-165,Base,false,,Jeremy Ciriaco
base,BCP-166,Base,false,,Miguel Palma
base,BCP-167,Base,false,,Dameury Pena
base,BCP-168,Base,false,,Curley Martha
base,BCP-169,Base,false,,Francisco Vilorio
base,BCP-170,Base,false,,Eduardo Beltre
base,BCP-171,Base,false,,Naoyuki Uwasawa
base,BCP-172,Base,false,,Heriberto Rincon
base,BCP-173,Base,false,,Aldalay Kolokie
base,BCP-174,Base,false,,Yassel Soler
base,BCP-175,Base,false,,Jose Castro
base,BCP-176,Base,false,,Dawel Joseph
base,BCP-177,Base,false,,Yandel Ricardo
base,BCP-178,Base,false,,Kyle Teel
base,BCP-179,Base,false,,Leo De Vries
base,BCP-180,Base,false,,Emiliano Teodo
base,BCP-181,Base,false,,Greylin De La Paz
base,BCP-182,Base,false,,Thayron Liranzo
base,BCP-183,Base,false,,Elias Medina
base,BCP-184,Base,false,,Darling Fernandez
base,BCP-185,Base,false,,Daiber De Los Santos
base,BCP-186,Base,false,,Ben Rice
base,BCP-187,Base,false,,Blake Dunn
base,BCP-188,Base,false,,Rikuu Nishida
base,BCP-189,Base,false,,Jake Bloss
base,BCP-190,Base,false,,Hurston Waldrep
base,BCP-191,Base,false,,Adriel Radney
base,BCP-192,Base,false,,Braylin Morel
base,BCP-193,Base,false,,Dylan Crews
base,BCP-194,Base,false,,Lisbel Diaz
base,BCP-195,Base,false,,Max Clark
base,BCP-196,Base,false,,Andres Valor
base,BCP-197,Base,false,,Fernando Cruz
base,BCP-198,Base,false,,Angel Feliz
base,BCP-199,Base,false,,Arjun Nimmala
base,BCP-200,Base,false,,Eriel Dihigo
base,BCP-201,Base,false,,Ethan Salas
base,BCP-202,Base,false,,Adam Serwinowski
base,BCP-203,Base,false,,Tink Hence
base,BCP-204,Base,false,,Walker Jenkins
base,BCP-205,Base,false,,Jacob Wilson
base,BCP-206,Base,false,,Brayden Taylor
base,BCP-207,Base,false,,Starlyn Nunez
base,BCP-208,Base,false,,Waner Luciano
base,BCP-209,Base,false,,Blake Mitchell
base,BCP-210,Base,false,,Felnin Celesten
base,BCP-211,Base,false,,Sebastian Walcott
base,BCP-212,Base,false,,Pablo Guerrero
base,BCP-213,Base,false,,Aidan Miller
base,BCP-214,Base,false,,Caleb Durbin
base,BCP-215,Base,false,,Brock Wilken
base,BCP-216,Base,false,,James Wood
base,BCP-217,Base,false,,Rhylan Thomas
base,BCP-218,Base,false,,Jurdrick Profar
base,BCP-219,Base,false,,Jeter Martinez
base,BCP-220,Base,false,,Jose Perdomo
base,BCP-221,Base,false,,Emil Morales
base,BCP-222,Base,false,,George Lombard Jr.
base,BCP-223,Base,false,,Victor Hurtado
base,BCP-224,Base,false,,Bralyn Brazoban
base,BCP-225,Base,false,,Derek Bernard
base,BCP-226,Base,false,,Jalvin Arias
base,BCP-227,Base,false,,Vladimir Asencio
base,BCP-228,Base,false,,Eduardo Herrera
base,BCP-229,Base,false,,Stiven Martinez
base,BCP-230,Base,false,,Harry Ford
base,BCP-231,Base,false,,Colson Montgomery
base,BCP-232,Base,false,,Samuel Basallo
base,BCP-233,Base,false,,Luis Guanipa
base,BCP-234,Base,false,,Juan Flores
base,BCP-235,Base,false,,Roman Anthony
base,BCP-236,Base,false,,Andres Arias
base,BCP-237,Base,false,,Joswa Lugo
base,BCP-238,Base,false,,Colt Emerson
base,BCP-239,Base,false,,Bryce Eldridge
base,BCP-240,Base,false,,Pascanel Ferreras
base,BCP-241,Base,false,,Emilio Sanchez
base,BCP-242,Base,false,,Jacob Gonzalez
base,BCP-243,Base,false,,Robert Arias
base,BCP-244,Base,false,,Yovanny Rodriguez
base,BCP-245,Base,false,,Paulino Santana
base,BCP-246,Base,false,,Edward Lantigua
base,BCP-247,Base,false,,Chase Davis
base,BCP-248,Base,false,,Luis Baez
base,BCP-249,Base,false,,Druw Jones
base,BCP-250,Base,false,,Vladi Guerrero
base,BCP-251,Base,false,,Jensy Rivas
base,BCP-252,Base,false,,Adolfo Sanchez
