category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Shohei Ohtani
base,2,Base,false,,Colt Keith
base,3,Base,false,,Corbin Burnes
base,4,Base,false,,Freddie Freeman
base,5,Base,false,,Lawrence Butler
base,6,Base,false,,Eury Pérez
base,7,Base,false,,MJ Melendez
base,8,Base,false,,Tristan Gray
base,9,Base,false,,Ozzie Albies
base,10,Base,false,,Byron Buxton
base,11,Base,false,,Alex Verdugo
base,12,Base,false,,Manny Machado
base,13,Base,false,,Seiya Suzuki
base,14,Base,false,,J.P. Crawford
base,15,Base,false,,Gavin Williams
base,16,Base,false,,Pete Crow-Armstrong
base,17,Base,false,,Brett Baty
base,18,Base,false,,Yoshinobu Yamamoto
base,19,Base,false,,AJ Smith-Shawver
base,20,Base,false,,Connor Phillips
base,21,Base,false,,Gabriel Moreno
base,22,Base,false,,Wade Meckler
base,23,Base,false,,Matt Olson
base,24,Base,false,,William Contreras
base,25,Base,false,,Zack Wheeler
base,26,Base,false,,Spencer Horwitz
base,27,Base,false,,Bo Bichette
base,28,Base,false,,Ronny Mauricio
base,29,Base,false,,José Tena
base,30,Base,false,,Steven Kwan
base,31,Base,false,,Kodai Senga
base,32,Base,false,,Xander Bogaerts
base,33,Base,false,,Andrew Benintendi
base,34,Base,false,,Alika Williams
base,35,Base,false,,Ketel Marte
base,36,Base,false,,Gunnar Henderson
base,37,Base,false,,Max Scherzer
base,38,Base,false,,Triston Casas
base,39,Base,false,,Sal Frelick
base,40,Base,false,,Reese Olson
base,41,Base,false,,Osleivis Basabe
base,42,Base,false,,Jackson Rutledge
base,43,Base,false,,Paul Blackburn
base,44,Base,false,,Elly De La Cruz
base,45,Base,false,,Grant Hartwig
base,46,Base,false,,Dane Myers
base,47,Base,false,,Chris Murphy
base,48,Base,false,,Matt McLain
base,49,Base,false,,David Hamilton
base,50,Base,false,,Aaron Judge
base,51,Base,false,,Mickey Moniak
base,52,Base,false,,Michael Harris II
base,53,Base,false,,Alex Bregman
base,54,Base,false,,Tyler Glasnow
base,55,Base,false,,Quinn Priester
base,56,Base,false,,Jack Flaherty
base,57,Base,false,,Teoscar Hernández
base,58,Base,false,,Jose Altuve
base,59,Base,false,,"Lourdes Gurriel, Jr."
base,60,Base,false,,David Bednar
base,61,Base,false,,Anthony Rendon
base,62,Base,false,,Bryce Harper
base,63,Base,false,,Masataka Yoshida
base,64,Base,false,,Keibert Ruiz
base,65,Base,false,,Christian Encarnacion-Strand
base,66,Base,false,,Lane Thomas
base,67,Base,false,,Jordan Wicks
base,68,Base,false,,James Outman
base,69,Base,false,,Kyle Bradish
base,70,Base,false,,"Jazz Chisholm, Jr."
base,71,Base,false,,Kyle Schwarber
base,72,Base,false,,Nick Gonzales
base,73,Base,false,,Spencer Torkelson
base,74,Base,false,,Jonathan Ornelas
base,75,Base,false,,Bryce Jarvis
base,76,Base,false,,Isaiah Campbell
base,77,Base,false,,Slade Cecconi
base,78,Base,false,,"Vladimir Guerrero, Jr."
base,79,Base,false,,Jared Triolo
base,80,Base,false,,Adley Rutschman
base,81,Base,false,,Matt Chapman
base,82,Base,false,,Cedric Mullins
base,83,Base,false,,Taj Bradley
base,84,Base,false,,Austin Riley
base,85,Base,false,,Drew Millas
base,86,Base,false,,"Luis Robert, Jr."
base,87,Base,false,,Mike Yastrzemski
base,88,Base,false,,Jackson Holliday
base,89,Base,false,,Jasson Domínguez
base,90,Base,false,,Paul Goldschmidt
base,91,Base,false,,Joe Boyle
base,92,Base,false,,Jacob Amaya
base,93,Base,false,,Rafael Devers
base,94,Base,false,,MacKenzie Gore
base,95,Base,false,,Irving Lopez
base,96,Base,false,,Jared Jones
base,97,Base,false,,Nolan Gorman
base,98,Base,false,,Oneil Cruz
base,99,Base,false,,Hunter Goodman
base,100,Base,false,,Corey Seager
base,101,Base,false,,Riley Greene
base,102,Base,false,,Marcus Semien
base,103,Base,false,,Devin Williams
base,104,Base,false,,Spencer Steer
base,105,Base,false,,Ezequiel Tovar
base,106,Base,false,,Robbie Ray
base,107,Base,false,,Yandy Díaz
base,108,Base,false,,Jake Burger
base,109,Base,false,,Javier Báez
base,110,Base,false,,Clayton Kershaw
base,111,Base,false,,Jack Leiter
base,112,Base,false,,Kyle Tucker
base,113,Base,false,,Brayan Rocchio
base,114,Base,false,,Adolis García
base,115,Base,false,,José Rodríguez
base,116,Base,false,,Yuki Matsui
base,117,Base,false,,Salvador Perez
base,118,Base,false,,Ceddanne Rafaela
base,119,Base,false,,Cal Raleigh
base,120,Base,false,,"Bobby Witt, Jr."
base,121,Base,false,,Shota Imanaga
base,122,Base,false,,Wyatt Langford
base,123,Base,false,,Zach Neto
base,124,Base,false,,Andrew McCutchen
base,125,Base,false,,Eloy Jiménez
base,126,Base,false,,Willy Adames
base,127,Base,false,,Anthony Rizzo
base,128,Base,false,,Ryan Pepiot
base,129,Base,false,,Luis Castillo
base,130,Base,false,,Yennier Cano
base,131,Base,false,,Tyler Fitzgerald
base,132,Base,false,,Luken Baker
base,133,Base,false,,Dominic Canzone
base,134,Base,false,,George Springer
base,135,Base,false,,Shane McClanahan
base,136,Base,false,,Evan Carter
base,137,Base,false,,Francisco Lindor
base,138,Base,false,,Sandy Alcantara
base,139,Base,false,,Brenton Doyle
base,140,Base,false,,Daulton Varsho
base,141,Base,false,,Nico Hoerner
base,142,Base,false,,Heston Kjerstad
base,143,Base,false,,Sonny Gray
base,144,Base,false,,Chris Sale
base,145,Base,false,,Jordyn Adams
base,146,Base,false,,Bryan Reynolds
base,147,Base,false,,Zac Gallen
base,148,Base,false,,Tyler Cropley
base,149,Base,false,,Shane Bieber
base,150,Base,false,,Juan Soto
base,151,Base,false,,Kyren Paris
base,152,Base,false,,Edouard Julien
base,153,Base,false,,Randy Arozarena
base,154,Base,false,,Andrew Abbott
base,155,Base,false,,Zach Remillard
base,156,Base,false,,Carlos Correa
base,157,Base,false,,Charlie Blackmon
base,158,Base,false,,Bo Naylor
base,159,Base,false,,Justin Martinez
base,160,Base,false,,Yoendrys Gómez
base,161,Base,false,,Jackson Chourio
base,162,Base,false,,Josh Hader
base,163,Base,false,,Jonny Deluca
base,164,Base,false,,Gerrit Cole
base,165,Base,false,,Wilyer Abreu
base,166,Base,false,,Emmanuel Clase
base,167,Base,false,,Carson Spiers
base,168,Base,false,,Logan Webb
base,169,Base,false,,Trea Turner
base,170,Base,false,,Yordan Alvarez
base,171,Base,false,,Joey Votto
base,172,Base,false,,Bryan Woo
base,173,Base,false,,José Ramírez
base,174,Base,false,,Alexander Canario
base,175,Base,false,,José Fermín
base,176,Base,false,,Forrest Wall
base,177,Base,false,,Noelvi Marte
