category,cardNumber,parallel,isAuto,printRun,player
base,BD-1,Base,false,,Eli Willits
base,BD-2,Base,false,,Xavier Neyens
base,BD-3,Base,false,,Kade Anderson
base,BD-4,Base,false,,Gage Wood
base,BD-5,Base,false,,Max Belyeu
base,BD-6,Base,false,,Aidan West
base,BD-7,Base,false,,Taitn Gray
base,BD-8,Base,false,,JoJo Parker
base,BD-9,Base,false,,Spencer Jones
base,BD-10,Base,false,,Billy Carlson
base,BD-11,Base,false,,Mike Sirota
base,BD-12,Base,false,,Liam Doyle
base,BD-13,Base,false,,Franklin Arias
base,BD-14,Base,false,,J.D. Thompson
base,BD-15,Base,false,,Gavin Fien
base,BD-16,Base,false,,Ike Irish
base,BD-17,Base,false,,Ethan Conrad
base,BD-18,Base,false,,Braden Montgomery
base,BD-19,Base,false,,Roc Riggio
base,BD-20,Base,false,,Steele Hall
base,BD-21,Base,false,,Josiah Hartshorn
base,BD-22,Base,false,,Zach Root
base,BD-23,Base,false,,Riley Quick
base,BD-24,Base,false,,Joswa Lugo
base,BD-25,Base,false,,Seth Hernandez
base,BD-26,Base,false,,Thomas White
base,BD-27,Base,false,,Mason Peters
base,BD-28,Base,false,,Gavin Turley
base,BD-29,Base,false,,Kyson Witherspoon
base,BD-30,Base,false,,Jamie Arnold
base,BD-31,Base,false,,Yandel Ricardo
base,BD-32,Base,false,,Tyson Lewis
base,BD-33,Base,false,,Dante Nori
base,BD-34,Base,false,,Andrew Salas
base,BD-35,Base,false,,Arjun Nimmala
base,BD-36,Base,false,,Tommy Troy
base,BD-37,Base,false,,Tyler Bremner
base,BD-38,Base,false,,Nate Snead
base,BD-39,Base,false,,Eduardo Tait
base,BD-40,Base,false,,Gavin Kilen
base,BD-41,Base,false,,Ryan Waldschmidt
base,BD-42,Base,false,,Jacob Morrison
base,BD-43,Base,false,,"George Lombard, Jr."
base,BD-44,Base,false,,Landon Harmon
base,BD-45,Base,false,,Walker Janek
base,BD-46,Base,false,,Trevor Cohen
base,BD-47,Base,false,,Colin Yeaman
base,BD-48,Base,false,,Max Clark
base,BD-49,Base,false,,Travis Bazzana
base,BD-50,Base,false,,Easton Carmichael
base,BD-51,Base,false,,AJ Russell
base,BD-52,Base,false,,Pico Kohn
base,BD-53,Base,false,,Dominick Reid
base,BD-54,Base,false,,Marcus Phillips
base,BD-55,Base,false,,Jhonny Level
base,BD-56,Base,false,,Antonio Jimenez
base,BD-57,Base,false,,Matthew Miura
base,BD-58,Base,false,,Ty Harvey
base,BD-59,Base,false,,Kevin McGonigle
base,BD-60,Base,false,,Josue Briceño
base,BD-61,Base,false,,Luke Dickerson
base,BD-62,Base,false,,Justin Lamkin
base,BD-63,Base,false,,Caden Bodine
base,BD-64,Base,false,,Brandon Compton
base,BD-65,Base,false,,Kaeden Kent
base,BD-66,Base,false,,Mason Morris
base,BD-67,Base,false,,Ethan Frey
base,BD-68,Base,false,,Max Williams
base,BD-69,Base,false,,Korbyn Dickerson
base,BD-70,Base,false,,Tate Southisene
base,BD-71,Base,false,,Mitch Voit
base,BD-72,Base,false,,Rainiel Rodriguez
base,BD-73,Base,false,,Tim Piasentin
base,BD-74,Base,false,,James Tibbs III
base,BD-75,Base,false,,Jefferson Rojas
base,BD-76,Base,false,,Michael Salina
base,BD-77,Base,false,,Ryan Mitchell
base,BD-78,Base,false,,JB Middleton
base,BD-79,Base,false,,Riley Kelly
base,BD-80,Base,false,,Cade Obermueller
base,BD-81,Base,false,,Briggs McKenzie
base,BD-82,Base,false,,Joshua Flores
base,BD-83,Base,false,,Gabe Davis
base,BD-84,Base,false,,Kayson Cunningham
base,BD-85,Base,false,,JT Quinn
base,BD-86,Base,false,,Nolan Sailors
base,BD-87,Base,false,,Leo De Vries
base,BD-88,Base,false,,Tommy White
base,BD-89,Base,false,,Patrick Forbes
base,BD-90,Base,false,,Tanner Franklin
base,BD-91,Base,false,,Cody Miller
base,BD-92,Base,false,,Quentin Young
base,BD-93,Base,false,,Landon Hodge
base,BD-94,Base,false,,Ryan Sloan
base,BD-95,Base,false,,Kash Mayfield
base,BD-96,Base,false,,Charles Davalan
base,BD-97,Base,false,,Jake Cook
base,BD-98,Base,false,,Aroon Escobar
base,BD-99,Base,false,,Cameron Maldonado
base,BD-100,Base,false,,Nick Becker
base,BD-101,Base,false,,Griffin Hugus
base,BD-102,Base,false,,Konnor Griffin
base,BD-103,Base,false,,Felnin Celesten
base,BD-104,Base,false,,Sean Youngerman
base,BD-105,Base,false,,Luis Peña
base,BD-106,Base,false,,Matthew Fisher
base,BD-107,Base,false,,Yolfran Castillo
base,BD-108,Base,false,,Murf Gray
base,BD-109,Base,false,,Mason Neville
base,BD-110,Base,false,,Esmerlyn Valdez
base,BD-111,Base,false,,Eduardo Quintero
base,BD-112,Base,false,,Gustavo Melendez
base,BD-113,Base,false,,Nate George
base,BD-114,Base,false,,Dean Moss
base,BD-115,Base,false,,Elian Peña
base,BD-116,Base,false,,Anthony Eyanson
base,BD-117,Base,false,,Mason McConnaughey
base,BD-118,Base,false,,Michael Lombardi
base,BD-119,Base,false,,Josh Owens
base,BD-120,Base,false,,Kaelen Culpepper
base,BD-121,Base,false,,Theo Gillen
base,BD-122,Base,false,,Cam Caminiti
base,BD-123,Base,false,,Luke Lacourse
base,BD-124,Base,false,,Conor Essenburg
base,BD-125,Base,false,,Joshua Kuroda-Grauer
base,BD-126,Base,false,,Adonys Guzman
base,BD-127,Base,false,,Christian Foutch
base,BD-128,Base,false,,Jake Munroe
base,BD-129,Base,false,,Dean Curley
base,BD-130,Base,false,,Cameron Nelson
base,BD-131,Base,false,,Kaleb Wing
base,BD-132,Base,false,,Carlos Lagrange
base,BD-133,Base,false,,Alfredo Duno
base,BD-134,Base,false,,Aaron Walton
base,BD-135,Base,false,,Devin Taylor
base,BD-136,Base,false,,Charlie Condon
base,BD-137,Base,false,,Travis Sykora
base,BD-138,Base,false,,Carson Benge
base,BD-139,Base,false,,Dakota Jordan
base,BD-140,Base,false,,Cody Bowker
base,BD-141,Base,false,,Ben Jacobs
base,BD-142,Base,false,,Chase Shores
base,BD-143,Base,false,,Brody Brecht
base,BD-144,Base,false,,Kyle Lodise
base,BD-145,Base,false,,JJ Wetherholt
base,BD-146,Base,false,,Dax Kilby
base,BD-147,Base,false,,Jared Thomas
base,BD-148,Base,false,,Ethan Hedges
base,BD-149,Base,false,,Sean Episcope
base,BD-150,Base,false,,Jack Gurevitch
base,BD-151,Base,false,,Ethan Petry
base,BD-152,Base,false,,Slade Caldwell
base,BD-153,Base,false,,Johnny Slawinski
base,BD-154,Base,false,,Matt Barr
base,BD-155,Base,false,,Bryce Cunningham
base,BD-156,Base,false,,Michael Oliveto
base,BD-157,Base,false,,Cooper Pratt
base,BD-158,Base,false,,Landyn Vidourek
base,BD-159,Base,false,,Walker Jenkins
base,BD-160,Base,false,,Blake Mitchell
base,BD-161,Base,false,,JD Dix
base,BD-162,Base,false,,Jordan Yost
base,BD-163,Base,false,,Jonny Farmelo
base,BD-164,Base,false,,James Ellwanger
base,BD-165,Base,false,,Ching-Hsien Ko
base,BD-166,Base,false,,Cooper Flemming
base,BD-167,Base,false,,Hagen Smith
base,BD-168,Base,false,,Thayron Liranzo
base,BD-169,Base,false,,Sebastian Walcott
base,BD-170,Base,false,,Brian Curley
base,BD-171,Base,false,,Grant Richardson
base,BD-172,Base,false,,Malachi Witherspoon
base,BD-173,Base,false,,Jaxon Wiggins
base,BD-174,Base,false,,Shotaro Morii
base,BD-175,Base,false,,Dean Livingston
base,BD-176,Base,false,,Cameron Millar
base,BD-177,Base,false,,Yohandy Morales
base,BD-178,Base,false,,Sean Gamble
base,BD-179,Base,false,,Peter Kussow
base,BD-180,Base,false,,Aidan Miller
base,BD-181,Base,false,,"Miguel Sime, Jr."
base,BD-182,Base,false,,Josuar Gonzalez
base,BD-183,Base,false,,Cade Crossland
base,BD-184,Base,false,,Caleb Bonemer
base,BD-185,Base,false,,Josh Hammond
base,BD-186,Base,false,,Joseph Dzierwa
base,BD-187,Base,false,,Sammy Stafura
base,BD-188,Base,false,,Jacob Reimer
base,BD-189,Base,false,,Dominic Fritton
base,BD-190,Base,false,,Ryan Wideman
base,BD-191,Base,false,,Malcolm Moore
base,BD-192,Base,false,,Nolan Schubart
base,BD-193,Base,false,,Aaron Watson
base,BD-194,Base,false,,Brady Ebel
base,BD-195,Base,false,,Caleb Leys
base,BD-196,Base,false,,Jesús Made
base,BD-197,Base,false,,CJ Gray
base,BD-198,Base,false,,"Enrique Bradfield, Jr."
base,BD-199,Base,false,,JR Ritchie
base,BD-200,Base,false,,Kane Kepley
