category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Darin Erstad
base,2,,false,,Tim Salmon
base,3,,false,,Jim Edmonds
base,4,,false,,Matt Williams
base,5,,false,,David Dellucci
base,6,,false,,Jay Bell
base,7,,false,,Andres Galarraga
base,8,,false,,Chipper Jones
base,9,,false,,Greg Maddux
base,10,,false,,Andruw Jones
base,11,,false,,Cal Ripken Jr.
base,12,,false,,Rafael Palmeiro
base,13,,false,,Brady Anderson
base,14,,false,,Mike Mussina
base,15,,false,,Nomar Garciaparra
base,16,,false,,Mo Vaughn
base,17,,false,,Pedro Martinez
base,18,,false,,Sammy Sosa
base,19,,false,,Henry Rodriguez
base,20,,false,,Frank Thomas
base,21,,false,,Magglio Ordonez
base,22,,false,,Albert Belle
base,23,,false,,Paul Konerko
base,24,,false,,Sean Casey
base,25,,false,,Jim Thome
base,26,,false,,Kenny Lofton
base,27,,false,,Sandy Alomar
base,28,,false,,Jaret Wright
base,29,,false,,Larry Walker
base,30,,false,,Todd Helton
base,31,,false,,Vinny Castilla
base,32,,false,,Tony Clark
base,33,,false,,Damion Easley
base,34,,false,,Mark Kotsay
base,35,,false,,Derrek Lee
base,36,,false,,Moises Alou
base,37,,false,,Jeff Bagwell
base,38,,false,,Craig Biggio
base,39,,false,,Randy Johnson
base,40,,false,,Dean Palmer
base,41,,false,,Johnny Damon
base,42,,false,,Chan Ho Park
base,43,,false,,Raul Mondesi
base,44,,false,,Gary Sheffield
base,45,,false,,Jeromy Burnitz
base,46,,false,,Marquis Grissom
base,47,,false,,Jeff Cirillo
base,48,,false,,Paul Molitor
base,49,,false,,Todd Walker
base,50,,false,,Vladimir Guerrero
base,51,,false,,Brad Fullmer
base,52,,false,,Mike Piazza
base,53,,false,,Hideo Nomo
base,54,,false,,Carlos Baerga
base,55,,false,,John Olerud
base,56,,false,,Derek Jeter
base,57,,false,,Hideki Irabu
base,58,,false,,Tino Martinez
base,59,,false,,Bernie Williams
base,60,,false,,Miguel Tejada
base,61,,false,,Ben Grieve
base,62,,false,,Jason Giambi
base,63,,false,,Scott Rolen
base,64,,false,,Doug Glanville
base,65,,false,,Desi Relaford
base,66,,false,,Tony Womack
base,67,,false,,Jason Kendall
base,68,,false,,Jose Guillen
base,69,,false,,Tony Gwynn
base,70,,false,,Ken Caminiti
base,71,,false,,Greg Vaughn
base,72,,false,,Kevin Brown
base,73,,false,,Barry Bonds
base,74,,false,,J.T. Snow
base,75,,false,,Jeff Kent
base,76,,false,,Ken Griffey Jr.
base,77,,false,,Alex Rodriguez
base,78,,false,,Edgar Martinez
base,79,,false,,Jay Buhner
base,80,,false,,Mark McGwire
base,81,,false,,Delino DeShields
base,82,,false,,Brian Jordan
base,83,,false,,Quinton McCracken
base,84,,false,,Fred McGriff
base,85,,false,,Juan Gonzalez
