category,cardNumber,parallel,isAuto,printRun,player,rarity
base,1,Class 1,false,,Bryce Harper,
base,1,Class 1 Black,false,,Bryce Harper,
base,1,Class 1 Blue,false,150,Bryce Harper,
base,1,Class 1 Red,false,75,Bryce Harper,
base,1,Class 1 Gold,false,1,Bryce Harper,
base,2,Class 1,false,,Jose Bautista,
base,2,Class 1 Black,false,,Jose Bautista,
base,2,Class 1 Blue,false,150,Jose Bautista,
base,2,Class 1 Red,false,75,Jose Bautista,
base,2,Class 1 Gold,false,1,Jose Bautista,
base,3,Class 1,false,,Trevor Story,
base,3,Class 1 Black,false,,Trevor Story,
base,3,Class 1 Blue,false,150,Trevor Story,
base,3,Class 1 Red,false,75,Trevor Story,
base,3,Class 1 Gold,false,1,Trevor Story,
base,4,Class 1,false,,Felix Hernandez,
base,4,Class 1 Black,false,,Felix Hernandez,
base,4,Class 1 Blue,false,150,Felix Hernandez,
base,4,Class 1 Red,false,75,Felix Hernandez,
base,4,Class 1 Gold,false,1,Felix Hernandez,
base,5,Class 1,false,,Carl Yastrzemski,
base,5,Class 1 Black,false,,Carl Yastrzemski,
base,5,Class 1 Blue,false,150,Carl Yastrzemski,
base,5,Class 1 Red,false,75,Carl Yastrzemski,
base,5,Class 1 Gold,false,1,Carl Yastrzemski,
base,6,Class 1,false,,Jake Arrieta,
base,6,Class 1 Black,false,,Jake Arrieta,
base,6,Class 1 Blue,false,150,Jake Arrieta,
base,6,Class 1 Red,false,75,Jake Arrieta,
base,6,Class 1 Gold,false,1,Jake Arrieta,
base,7,Class 1,false,,Aledmys Diaz,
base,7,Class 1 Black,false,,Aledmys Diaz,
base,7,Class 1 Blue,false,150,Aledmys Diaz,
base,7,Class 1 Red,false,75,Aledmys Diaz,
base,7,Class 1 Gold,false,1,Aledmys Diaz,
base,8,Class 1,false,,Addison Russell,
base,8,Class 1 Black,false,,Addison Russell,
base,8,Class 1 Blue,false,150,Addison Russell,
base,8,Class 1 Red,false,75,Addison Russell,
base,8,Class 1 Gold,false,1,Addison Russell,
base,9,Class 1,false,,Stephen Strasburg,
base,9,Class 1 Black,false,,Stephen Strasburg,
base,9,Class 1 Blue,false,150,Stephen Strasburg,
base,9,Class 1 Red,false,75,Stephen Strasburg,
base,9,Class 1 Gold,false,1,Stephen Strasburg,
base,10,Class 1,false,,Buster Posey,
base,10,Class 1 Black,false,,Buster Posey,
base,10,Class 1 Blue,false,150,Buster Posey,
base,10,Class 1 Red,false,75,Buster Posey,
base,10,Class 1 Gold,false,1,Buster Posey,
base,11,Class 1,false,,Ozzie Smith,
base,11,Class 1 Black,false,,Ozzie Smith,
base,11,Class 1 Blue,false,150,Ozzie Smith,
base,11,Class 1 Red,false,75,Ozzie Smith,
base,11,Class 1 Gold,false,1,Ozzie Smith,
base,12,Class 1,false,,Giancarlo Stanton,
base,12,Class 1 Black,false,,Giancarlo Stanton,
base,12,Class 1 Blue,false,150,Giancarlo Stanton,
base,12,Class 1 Red,false,75,Giancarlo Stanton,
base,12,Class 1 Gold,false,1,Giancarlo Stanton,
base,13,Class 1,false,,Sonny Gray,
base,13,Class 1 Black,false,,Sonny Gray,
base,13,Class 1 Blue,false,150,Sonny Gray,
base,13,Class 1 Red,false,75,Sonny Gray,
base,13,Class 1 Gold,false,1,Sonny Gray,
base,14,Class 1,false,,Trea Turner,
base,14,Class 1 Black,false,,Trea Turner,
base,14,Class 1 Blue,false,150,Trea Turner,
base,14,Class 1 Red,false,75,Trea Turner,
base,14,Class 1 Gold,false,1,Trea Turner,
base,15,Class 1,false,,David Dahl RC,
base,15,Class 1 Black,false,,David Dahl RC,
base,15,Class 1 Blue,false,150,David Dahl RC,
base,15,Class 1 Red,false,75,David Dahl RC,
base,15,Class 1 Gold,false,1,David Dahl RC,
base,16,Class 1,false,,Robinson Cano,
base,16,Class 1 Black,false,,Robinson Cano,
base,16,Class 1 Blue,false,150,Robinson Cano,
base,16,Class 1 Red,false,75,Robinson Cano,
base,16,Class 1 Gold,false,1,Robinson Cano,
base,17,Class 1,false,,Eric Hosmer,
base,17,Class 1 Black,false,,Eric Hosmer,
base,17,Class 1 Blue,false,150,Eric Hosmer,
base,17,Class 1 Red,false,75,Eric Hosmer,
base,17,Class 1 Gold,false,1,Eric Hosmer,
base,18,Class 1,false,,Evan Longoria,
base,18,Class 1 Black,false,,Evan Longoria,
base,18,Class 1 Blue,false,150,Evan Longoria,
base,18,Class 1 Red,false,75,Evan Longoria,
base,18,Class 1 Gold,false,1,Evan Longoria,
base,19,Class 1,false,,Cody Bellinger RC,
base,19,Class 1 Black,false,,Cody Bellinger RC,
base,19,Class 1 Blue,false,150,Cody Bellinger RC,
base,19,Class 1 Red,false,75,Cody Bellinger RC,
base,19,Class 1 Gold,false,1,Cody Bellinger RC,
base,20,Class 1,false,,Dansby Swanson RC,
base,20,Class 1 Black,false,,Dansby Swanson RC,
base,20,Class 1 Blue,false,150,Dansby Swanson RC,
base,20,Class 1 Red,false,75,Dansby Swanson RC,
base,20,Class 1 Gold,false,1,Dansby Swanson RC,
base,21,Class 1,false,,Alex Bregman RC,
base,21,Class 1 Black,false,,Alex Bregman RC,
base,21,Class 1 Blue,false,150,Alex Bregman RC,
base,21,Class 1 Red,false,75,Alex Bregman RC,
base,21,Class 1 Gold,false,1,Alex Bregman RC,
base,22,Class 1,false,,Yoenis Cespedes,
base,22,Class 1 Black,false,,Yoenis Cespedes,
base,22,Class 1 Blue,false,150,Yoenis Cespedes,
base,22,Class 1 Red,false,75,Yoenis Cespedes,
base,22,Class 1 Gold,false,1,Yoenis Cespedes,
base,23,Class 1,false,,Jharel Cotton RC,
base,23,Class 1 Black,false,,Jharel Cotton RC,
base,23,Class 1 Blue,false,150,Jharel Cotton RC,
base,23,Class 1 Red,false,75,Jharel Cotton RC,
base,23,Class 1 Gold,false,1,Jharel Cotton RC,
base,24,Class 1,false,,Don Mattingly,
base,24,Class 1 Black,false,,Don Mattingly,
base,24,Class 1 Blue,false,150,Don Mattingly,
base,24,Class 1 Red,false,75,Don Mattingly,
base,24,Class 1 Gold,false,1,Don Mattingly,
base,25,Class 1,false,,Mike Trout,
base,25,Class 1 Black,false,,Mike Trout,
base,25,Class 1 Blue,false,150,Mike Trout,
base,25,Class 1 Red,false,75,Mike Trout,
base,25,Class 1 Gold,false,1,Mike Trout,
base,26,Class 1,false,,Roberto Clemente,
base,26,Class 1 Black,false,,Roberto Clemente,
base,26,Class 1 Blue,false,150,Roberto Clemente,
base,26,Class 1 Red,false,75,Roberto Clemente,
base,26,Class 1 Gold,false,1,Roberto Clemente,
base,27,Class 1,false,,Ernie Banks,
base,27,Class 1 Black,false,,Ernie Banks,
base,27,Class 1 Blue,false,150,Ernie Banks,
base,27,Class 1 Red,false,75,Ernie Banks,
base,27,Class 1 Gold,false,1,Ernie Banks,
base,28,Class 1,false,,Max Scherzer,
base,28,Class 1 Black,false,,Max Scherzer,
base,28,Class 1 Blue,false,150,Max Scherzer,
base,28,Class 1 Red,false,75,Max Scherzer,
base,28,Class 1 Gold,false,1,Max Scherzer,
base,29,Class 1,false,,Matt Kemp,
base,29,Class 1 Black,false,,Matt Kemp,
base,29,Class 1 Blue,false,150,Matt Kemp,
base,29,Class 1 Red,false,75,Matt Kemp,
base,29,Class 1 Gold,false,1,Matt Kemp,
base,30,Class 1,false,,Justin Verlander,
base,30,Class 1 Black,false,,Justin Verlander,
base,30,Class 1 Blue,false,150,Justin Verlander,
base,30,Class 1 Red,false,75,Justin Verlander,
base,30,Class 1 Gold,false,1,Justin Verlander,
base,31,Class 1,false,,Corey Seager,
base,31,Class 1 Black,false,,Corey Seager,
base,31,Class 1 Blue,false,150,Corey Seager,
base,31,Class 1 Red,false,75,Corey Seager,
base,31,Class 1 Gold,false,1,Corey Seager,
base,32,Class 1,false,,Paul Goldschmidt,
base,32,Class 1 Black,false,,Paul Goldschmidt,
base,32,Class 1 Blue,false,150,Paul Goldschmidt,
base,32,Class 1 Red,false,75,Paul Goldschmidt,
base,32,Class 1 Gold,false,1,Paul Goldschmidt,
base,33,Class 1,false,,Julio Urias,
base,33,Class 1 Black,false,,Julio Urias,
base,33,Class 1 Blue,false,150,Julio Urias,
base,33,Class 1 Red,false,75,Julio Urias,
base,33,Class 1 Gold,false,1,Julio Urias,
base,34,Class 1,false,,Mike Piazza,
base,34,Class 1 Black,false,,Mike Piazza,
base,34,Class 1 Blue,false,150,Mike Piazza,
base,34,Class 1 Red,false,75,Mike Piazza,
base,34,Class 1 Gold,false,1,Mike Piazza,
base,35,Class 1,false,,Sandy Koufax,
base,35,Class 1 Black,false,,Sandy Koufax,
base,35,Class 1 Blue,false,150,Sandy Koufax,
base,35,Class 1 Red,false,75,Sandy Koufax,
base,35,Class 1 Gold,false,1,Sandy Koufax,
base,36,Class 1,false,,Johnny Bench,
base,36,Class 1 Black,false,,Johnny Bench,
base,36,Class 1 Blue,false,150,Johnny Bench,
