category,cardNumber,parallel,isAuto,printRun,player,rarity
base,BNR-AA,Prism Refractor,false,,Aaron Altherr,
base,BNR-AA,Gold Prism Refractor,false,50,Aaron Altherr,
base,BNR-AA,Orange Prism Refractor,false,25,Aaron Altherr,
base,BNR-AA,Red Prism Refractor,false,5,Aaron Altherr,
base,BNR-AA,Black Prism Refractor,false,1,Aaron Altherr,
base,BNR-AB,Prism Refractor,false,,Andrew Benintendi,
base,BNR-AB,Gold Prism Refractor,false,50,Andrew Benintendi,
base,BNR-AB,Orange Prism Refractor,false,25,Andrew Benintendi,
base,BNR-AB,Red Prism Refractor,false,5,Andrew Benintendi,
base,BNR-AB,Black Prism Refractor,false,1,Andrew Benintendi,
base,BNR-AD,Prism Refractor,false,,Adam Duvall,
base,BNR-AD,Gold Prism Refractor,false,50,Adam Duvall,
base,BNR-AD,Orange Prism Refractor,false,25,Adam Duvall,
base,BNR-AD,Red Prism Refractor,false,5,Adam Duvall,
base,BNR-AD,Black Prism Refractor,false,1,Adam Duvall,
base,BNR-AJ,Prism Refractor,false,,Aaron Judge,
base,BNR-AJ,Gold Prism Refractor,false,50,Aaron Judge,
base,BNR-AJ,Orange Prism Refractor,false,25,Aaron Judge,
base,BNR-AJ,Red Prism Refractor,false,5,Aaron Judge,
base,BNR-AJ,Black Prism Refractor,false,1,Aaron Judge,
base,BNR-AR,Prism Refractor,false,,Amed Rosario,
base,BNR-AR,Gold Prism Refractor,false,50,Amed Rosario,
base,BNR-AR,Orange Prism Refractor,false,25,Amed Rosario,
base,BNR-AR,Red Prism Refractor,false,5,Amed Rosario,
base,BNR-AR,Black Prism Refractor,false,1,Amed Rosario,
base,BNR-AV,Prism Refractor,false,,Alex Verdugo,
base,BNR-AV,Gold Prism Refractor,false,50,Alex Verdugo,
base,BNR-AV,Orange Prism Refractor,false,25,Alex Verdugo,
base,BNR-AV,Red Prism Refractor,false,5,Alex Verdugo,
base,BNR-AV,Black Prism Refractor,false,1,Alex Verdugo,
base,BNR-BF,Prism Refractor,false,,Bob Feller,
base,BNR-BF,Gold Prism Refractor,false,50,Bob Feller,
base,BNR-BF,Orange Prism Refractor,false,25,Bob Feller,
base,BNR-BF,Red Prism Refractor,false,5,Bob Feller,
base,BNR-BF,Black Prism Refractor,false,1,Bob Feller,
base,BNR-BH,Prism Refractor,false,,Bryce Harper,
base,BNR-BH,Gold Prism Refractor,false,50,Bryce Harper,
base,BNR-BH,Orange Prism Refractor,false,25,Bryce Harper,
base,BNR-BH,Red Prism Refractor,false,5,Bryce Harper,
base,BNR-BH,Black Prism Refractor,false,1,Bryce Harper,
base,BNR-CB,Prism Refractor,false,,Cody Bellinger,
base,BNR-CB,Gold Prism Refractor,false,50,Cody Bellinger,
base,BNR-CB,Orange Prism Refractor,false,25,Cody Bellinger,
base,BNR-CB,Red Prism Refractor,false,5,Cody Bellinger,
base,BNR-CB,Black Prism Refractor,false,1,Cody Bellinger,
base,BNR-CC,Prism Refractor,false,,Carlos Correa,
base,BNR-CC,Gold Prism Refractor,false,50,Carlos Correa,
base,BNR-CC,Orange Prism Refractor,false,25,Carlos Correa,
base,BNR-CC,Red Prism Refractor,false,5,Carlos Correa,
base,BNR-CC,Black Prism Refractor,false,1,Carlos Correa,
base,BNR-CK,Prism Refractor,false,,Corey Kluber,
base,BNR-CK,Gold Prism Refractor,false,50,Corey Kluber,
base,BNR-CK,Orange Prism Refractor,false,25,Corey Kluber,
base,BNR-CK,Red Prism Refractor,false,5,Corey Kluber,
base,BNR-CK,Black Prism Refractor,false,1,Corey Kluber,
base,BNR-DJ,Prism Refractor,false,,Derek Jeter,
base,BNR-DJ,Gold Prism Refractor,false,50,Derek Jeter,
base,BNR-DJ,Orange Prism Refractor,false,25,Derek Jeter,
base,BNR-DJ,Red Prism Refractor,false,5,Derek Jeter,
base,BNR-DJ,Black Prism Refractor,false,1,Derek Jeter,
base,BNR-DS,Prism Refractor,false,,Dominic Smith,
base,BNR-DS,Gold Prism Refractor,false,50,Dominic Smith,
base,BNR-DS,Orange Prism Refractor,false,25,Dominic Smith,
base,BNR-DS,Red Prism Refractor,false,5,Dominic Smith,
base,BNR-DS,Black Prism Refractor,false,1,Dominic Smith,
base,BNR-EJ,Prism Refractor,false,,Eloy Jimenez,
base,BNR-EJ,Gold Prism Refractor,false,50,Eloy Jimenez,
base,BNR-EJ,Orange Prism Refractor,false,25,Eloy Jimenez,
base,BNR-EJ,Red Prism Refractor,false,5,Eloy Jimenez,
base,BNR-EJ,Black Prism Refractor,false,1,Eloy Jimenez,
base,BNR-FL,Prism Refractor,false,,Francisco Lindor,
base,BNR-FL,Gold Prism Refractor,false,50,Francisco Lindor,
base,BNR-FL,Orange Prism Refractor,false,25,Francisco Lindor,
base,BNR-FL,Red Prism Refractor,false,5,Francisco Lindor,
base,BNR-FL,Black Prism Refractor,false,1,Francisco Lindor,
base,BNR-FM,Prism Refractor,false,,Francisco Mejia,
base,BNR-FM,Gold Prism Refractor,false,50,Francisco Mejia,
base,BNR-FM,Orange Prism Refractor,false,25,Francisco Mejia,
base,BNR-FM,Red Prism Refractor,false,5,Francisco Mejia,
base,BNR-FM,Black Prism Refractor,false,1,Francisco Mejia,
base,BNR-GA,Prism Refractor,false,,Greg Allen,
base,BNR-GA,Gold Prism Refractor,false,50,Greg Allen,
base,BNR-GA,Orange Prism Refractor,false,25,Greg Allen,
base,BNR-GA,Red Prism Refractor,false,5,Greg Allen,
base,BNR-GA,Black Prism Refractor,false,1,Greg Allen,
base,BNR-GS,Prism Refractor,false,,Gary Sanchez,
base,BNR-GS,Gold Prism Refractor,false,50,Gary Sanchez,
base,BNR-GS,Orange Prism Refractor,false,25,Gary Sanchez,
base,BNR-GS,Red Prism Refractor,false,5,Gary Sanchez,
base,BNR-GS,Black Prism Refractor,false,1,Gary Sanchez,
base,BNR-GT,Prism Refractor,false,,Gleyber Torres,
base,BNR-GT,Gold Prism Refractor,false,50,Gleyber Torres,
base,BNR-GT,Orange Prism Refractor,false,25,Gleyber Torres,
base,BNR-GT,Red Prism Refractor,false,5,Gleyber Torres,
base,BNR-GT,Black Prism Refractor,false,1,Gleyber Torres,
base,BNR-HA,Prism Refractor,false,,Hank Aaron,
base,BNR-HA,Gold Prism Refractor,false,50,Hank Aaron,
base,BNR-HA,Orange Prism Refractor,false,25,Hank Aaron,
base,BNR-HA,Red Prism Refractor,false,5,Hank Aaron,
base,BNR-HA,Black Prism Refractor,false,1,Hank Aaron,
base,BNR-HM,Prism Refractor,false,,Hideki Matsui,
base,BNR-HM,Gold Prism Refractor,false,50,Hideki Matsui,
base,BNR-HM,Orange Prism Refractor,false,25,Hideki Matsui,
base,BNR-HM,Red Prism Refractor,false,5,Hideki Matsui,
base,BNR-HM,Black Prism Refractor,false,1,Hideki Matsui,
base,BNR-JC,Prism Refractor,false,,Jose Canseco,
base,BNR-JC,Gold Prism Refractor,false,50,Jose Canseco,
base,BNR-JC,Orange Prism Refractor,false,25,Jose Canseco,
base,BNR-JC,Red Prism Refractor,false,5,Jose Canseco,
base,BNR-JC,Black Prism Refractor,false,1,Jose Canseco,
base,BNR-JR,Prism Refractor,false,,Jose Ramirez,
base,BNR-JR,Gold Prism Refractor,false,50,Jose Ramirez,
base,BNR-JR,Orange Prism Refractor,false,25,Jose Ramirez,
