category,cardNumber,parallel,isAuto,printRun,player,rarity
base,BDP1,Base,false,,Rickie Weeks,
base,BDP1,Refractor,false,,Rickie Weeks,
base,BDP1,X-Fractor,false,250,Rickie Weeks,
base,BDP1,Blue Refractor,false,150,Rickie Weeks,
base,BDP1,Gold Refractor,false,50,Rickie Weeks,
base,BDP1,Red Refractor,false,1,Rickie Weeks,
base,BDP1,SuperFractor,false,1,Rickie Weeks,
base,BDP2,Base,false,,Kyle Davies,
base,BDP2,Refractor,false,,Kyle Davies,
base,BDP2,X-Fractor,false,250,Kyle Davies,
base,BDP2,Blue Refractor,false,150,Kyle Davies,
base,BDP2,Gold Refractor,false,50,Kyle Davies,
base,BDP2,Red Refractor,false,1,Kyle Davies,
base,BDP2,SuperFractor,false,1,Kyle Davies,
base,BDP3,Base,false,,Garrett Atkins,
base,BDP3,Refractor,false,,Garrett Atkins,
base,BDP3,X-Fractor,false,250,Garrett Atkins,
base,BDP3,Blue Refractor,false,150,Garrett Atkins,
base,BDP3,Gold Refractor,false,50,Garrett Atkins,
base,BDP3,Red Refractor,false,1,Garrett Atkins,
base,BDP3,SuperFractor,false,1,Garrett Atkins,
base,BDP4,Base,false,,Chien-Ming Wang,
base,BDP4,Refractor,false,,Chien-Ming Wang,
base,BDP4,X-Fractor,false,250,Chien-Ming Wang,
base,BDP4,Blue Refractor,false,150,Chien-Ming Wang,
base,BDP4,Gold Refractor,false,50,Chien-Ming Wang,
base,BDP4,Red Refractor,false,1,Chien-Ming Wang,
base,BDP4,SuperFractor,false,1,Chien-Ming Wang,
base,BDP5,Base,false,,Dallas McPherson,
base,BDP5,Refractor,false,,Dallas McPherson,
base,BDP5,X-Fractor,false,250,Dallas McPherson,
base,BDP5,Blue Refractor,false,150,Dallas McPherson,
base,BDP5,Gold Refractor,false,50,Dallas McPherson,
base,BDP5,Red Refractor,false,1,Dallas McPherson,
base,BDP5,SuperFractor,false,1,Dallas McPherson,
base,BDP6,Base,false,,Dan Johnson,
base,BDP6,Refractor,false,,Dan Johnson,
base,BDP6,X-Fractor,false,250,Dan Johnson,
base,BDP6,Blue Refractor,false,150,Dan Johnson,
base,BDP6,Gold Refractor,false,50,Dan Johnson,
base,BDP6,Red Refractor,false,1,Dan Johnson,
base,BDP6,SuperFractor,false,1,Dan Johnson,
base,BDP7,Base,false,,Andy Sisco,
base,BDP7,Refractor,false,,Andy Sisco,
base,BDP7,X-Fractor,false,250,Andy Sisco,
base,BDP7,Blue Refractor,false,150,Andy Sisco,
base,BDP7,Gold Refractor,false,50,Andy Sisco,
base,BDP7,Red Refractor,false,1,Andy Sisco,
base,BDP7,SuperFractor,false,1,Andy Sisco,
base,BDP8,Base,false,,Ryan Doumit,
base,BDP8,Refractor,false,,Ryan Doumit,
base,BDP8,X-Fractor,false,250,Ryan Doumit,
base,BDP8,Blue Refractor,false,150,Ryan Doumit,
