category,cardNumber,parallel,isAuto,printRun,player,rarity
base,35,Image Variation Sonic,false,,Wander Franco,
base,83,Image Variation Sonic,false,,Josh Lowe,
base,113,Image Variation Sonic,false,,Jarren Duran,
base,128,Image Variation Sonic,false,,Oneil Cruz,
base,133,Image Variation Sonic,false,,Brandon Marsh,
base,221,Image Variation Sonic,false,,"Bobby Witt, Jr.",
base,222,Image Variation Sonic,false,,Julio Rodriguez,
base,223,Image Variation Sonic,false,,Spencer Torkelson,
base,224,Image Variation Sonic,false,,Hunter Greene,
base,225,Image Variation Sonic,false,,CJ Abrams,
