category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
insert-1971-afc-rushing-leaders,1,,false,,Floyd Little/Larry Csonka/Marv Hubbard,,
insert-1971-nfc-rushing-leaders,2,,false,,John Brockington/Steve Owens/Willie Ellison,,
insert-1971-afc-passing-leaders,3,,false,,Bob Griese/Len Dawson/Virgil Carter,,
insert-1971-nfc-passing-leaders,4,,false,,Roger Staubach/Greg Landry/Billy Kilmer,,
insert-1971-afc-receiving-leaders,5,,false,,Fred Biletnikoff/Otis Taylor/Randy Vataha,,
insert-1971-nfc-receiving-leaders,6,,false,,Bob Tucker/Ted Kwalick/Harold Jackson/Roy Jefferson,,
insert-1971-afc-scoring-leaders,7,,false,,Garo Yepremian/Jan Stenerud/Jim O'Brien,,
insert-1971-nfc-scoring-leaders,8,,false,,Curt Knight/Errol Mann/Bruce Gossett,,
base,9,,false,,Jim Kiick,,
base,10,,false,,Otis Taylor,,
base,11,,false,,Bobby Joe Green,,
base,12,,false,,Ken Ellis,,
base,13,,false,,John Riggins,,
base,14,,false,,Dave Parks,,
base,15,,false,,John Hadl,,
base,16,,false,,Ron Hornsby,,
base,17,,false,,Chip Myers,,
base,18,,false,,Billy Kilmer,,
base,19,,false,,Fred Hoaglin,,
base,20,,false,,Carl Eller,,
base,21,,false,,Steve Zabel,,
base,22,,false,,Vic Washington,,
base,23,,false,,Len St. Jean,,
base,24,,false,,Bill Thompson,,
base,25,,false,,Steve Owens,,
base,26,,false,,Ken Burrough,,
base,27,,false,,Mike Clark,,
base,28,,false,,Willie Brown,,
base,29,,false,,Checklist,,
base,30,,false,,Marlin Briscoe,,
base,31,,false,,Jerry Logan,,
base,32,,false,,Donny Anderson,,
base,33,,false,,Rich McGeorge,,
base,34,,false,,Charlie Durkee,,
base,35,,false,,Willie Lanier,,
base,36,,false,,Chris Farasopoulos,,
base,37,,false,,Ron Shanklin,,
base,38,,false,,Forrest Blue,,
base,39,,false,,Ken Reaves,,
base,40,,false,,Roman Gabriel,,
base,41,,false,,Mac Percival,,
base,42,,false,,Lem Barney,,
base,43,,false,,Nick Buoniconti,,
base,44,,false,,Charlie Gogolak,,
base,45,,false,,Bill Bradley,,
base,46,,false,,Joe Jones,,
base,47,,false,,Dave Williams,,
base,48,,false,,Pete Athas,,
base,49,,false,,Virgil Carter,,
base,50,,false,,Floyd Little,,
base,51,,false,,Curt Knight,,
base,52,,false,,Bobby Maples,,
base,53,,false,,Charlie West,,
base,54,,false,,Marv Hubbard,,
base,55,,false,,Archie Manning,,
base,56,,false,,Jim O'Brien,,
base,57,,false,,Wayne Patrick,,
base,58,,false,,Ken Bowman,,
base,59,,false,,Roger Wehrli,,
base,60,,false,,Charlie Sanders,,
base,61,,false,,Jan Stenerud,,
base,62,,false,,Willie Ellison,,
base,63,,false,,Walt Sweeney,,
base,64,,false,,Ron Smith,,
base,65,,false,,Jim Plunkett,,
base,66,,false,,Herb Adderley,,
base,67,,false,,Mike Reid,,
base,68,,false,,Richard Caster,,
base,69,,false,,Dave Wilcox,,
base,70,,false,,Leroy Kelly,,
base,71,,false,,Bob Lee,,
base,72,,false,,Verlon Biggs,,
base,73,,false,,Henry Allison,,
base,74,,false,,Steve Ramsey,,
base,75,,false,,Claude Humphrey,,
base,76,,false,,Bob Grim,,
base,77,,false,,John Fuqua,,
base,78,,false,,Ken Houston,,
insert-double-print,79,,false,,Checklist,,
base,80,,false,,Bob Griese,,
base,81,,false,,Lance Rentzel,,
base,82,,false,,Ed Podolak,,
base,83,,false,,Ike Hill,,
base,84,,false,,George Farmer,,
base,85,,false,,John Brockington,,
base,86,,false,,Jim Otto,,
base,87,,false,,Richard Neal,,
base,88,,false,,Jim Hart,,
base,89,,false,,Bob Babich,,
base,90,,false,,Gene Washington,,
base,91,,false,,John Zook,,
base,92,,false,,Bobby Duhon,,
base,93,,false,,Ted Hendricks,,
base,94,,false,,Rockne Freitas,,
base,95,,false,,Larry Brown,,
base,96,,false,,Mike Phipps,,
base,97,,false,,Julius Adams,,
base,98,,false,,Dick Anderson,,
base,99,,false,,Fred Willis,,
base,100,,false,,Joe Namath,,
base,101,,false,,L.C. Greenwood,,
base,102,,false,,Mark Nordquist,,
base,103,,false,,Robert Holmes,,
base,104,,false,,Ron Yary,,
base,105,,false,,Bob Hayes,,
base,106,,false,,Lyle Alzado,,
base,107,,false,,Bob Berry,,
base,108,,false,,Phil Villapiano,,
base,109,,false,,Dave Elmendorf,,
base,110,,false,,Gale Sayers,,
base,111,,false,,Jim Tyrer,,
base,112,,false,,Mel Gray,,
base,113,,false,,Gerry Philbin,,
base,114,,false,,Bob James,,
base,115,,false,,Garo Yepremian,,
base,116,,false,,Dave Robinson,,
base,117,,false,,Jeff Queen,,
base,118,,false,,Norm Snead,,
insert-in-action,119,,false,,Jim Nance,,
insert-in-action,120,,false,,Terry Bradshaw,,
insert-in-action,121,,false,,Jim Kiick,,
insert-in-action,122,,false,,Roger Staubach,,
insert-in-action,123,,false,,Bo Scott,,
insert-in-action,124,,false,,John Brodie,,
insert-in-action,125,,false,,Rick Volk,,
insert-in-action,126,,false,,John Riggins,,
insert-in-action,127,,false,,Bubba Smith,,
insert-in-action,128,,false,,Roman Gabriel,,
insert-in-action,129,,false,,Calvin Hill,,
insert-in-action,130,,false,,Bill Nelsen,,
insert-in-action,131,,false,,Tom Matte,,
insert-in-action,132,,false,,Bob Griese,,
insert-semi-final,133,,false,,AFC,,
insert-semi-final,134,,false,,NFC,,
insert-semi-final,135,,false,,AFC,,
insert-semi-final,136,,false,,NFC,,
insert-afc-championship-game,137,,false,,1971,,
insert-nfc-championship-game,138,,false,,1971,,
base,139,,false,,Super Bowl VI,,
base,140,,false,,Larry Csonka,,
base,141,,false,,Rick Volk,,
base,142,,false,,Roy Jefferson,,
base,143,,false,,Raymond Chester,,
base,144,,false,,Bobby Douglass,,
base,145,,false,,Bob Lilly,,
base,146,,false,,Harold Jackson,,
base,147,,false,,Pete Gogolak,,
base,148,,false,,Art Malone,,
base,149,,false,,Ed Flanagan,,
base,150,,false,,Terry Bradshaw,,
base,151,,false,,MacArthur Lane,,
base,152,,false,,Jack Snow,,
base,153,,false,,Al Beauchamp,,
base,154,,false,,Bob Anderson,,
base,155,,false,,Ted Kwalick,,
base,156,,false,,Dan Pastorini,,
base,157,,false,,Emmitt Thomas,,
base,158,,false,,Randy Vataha,,
base,159,,false,,Al Atkinson,,
base,160,,false,,O.J. Simpson,,
base,161,,false,,Jackie Smith,,
base,162,,false,,Ernie Kellerman,,
base,163,,false,,Dennis Partee,,
base,164,,false,,Jake Kupp,,
base,165,,false,,Johnny Unitas,,
base,166,,false,,Clint Jones,,
base,167,,false,,Paul Warfield,,
base,168,,false,,Ron McDole,,
base,169,,false,,Daryle Lamonica,,
base,170,,false,,Dick Butkus,,
base,171,,false,,Jim Butler,,
base,172,,false,,Mike McCoy,,
base,173,,false,,Dave Smith,,
base,174,,false,,Greg Landry,,
base,175,,false,,Tom Dempsey,,
base,176,,false,,John Charles,,
base,177,,false,,Bobby Bell,,
base,178,,false,,Don Horn,,
base,179,,false,,Bob Trumpy,,
base,180,,false,,Duane Thomas,,
base,181,,false,,Merlin Olsen,,
base,182,,false,,Dave Herman,,
base,183,,false,,Jim Nance,,
base,184,,false,,Pete Beathard,,
base,185,,false,,Bob Tucker,,
base,186,,false,,Gene Upshaw,,
base,187,,false,,Bo Scott,,
base,188,,false,,J.D. Hill,,
base,189,,false,,Bruce Gossett,,
base,190,,false,,Bubba Smith,,
base,191,,false,,Edd Hargett,,
base,192,,false,,Gary Garrison,,
base,193,,false,,Jake Scott,,
base,194,,false,,Fred Cox,,
base,195,,false,,Sonny Jurgensen,,
base,196,,false,,Greg Brezina,,
base,197,,false,,Ed O'Bradovich,,
base,198,,false,,John Rowser,,
base,199,,false,,Altie Taylor,,
base,200,,false,,Roger Staubach,,
base,201,,false,,Leroy Keyes,,
base,202,,false,,Garland Boyette,,
base,203,,false,,Tom Beer,,
base,204,,false,,Buck Buchanan,,
base,205,,false,,Larry Wilson,,
base,206,,false,,Scott Hunter,,
base,207,,false,,Ron Johnson,,
base,208,,false,,Sam Brunelli,,
base,209,,false,,Deacon Jones,,
base,210,,false,,Fred Biletnikoff,,
base,211,,false,,Bill Nelsen,,
base,212,,false,,George Nock,,
base,213,,false,,Dan Abramowicz,,
base,214,,false,,Irv Goode,,
base,215,,false,,Isiah Robertson,,
base,216,,false,,Tom Matte,,
base,217,,false,,Pat Fischer,,
base,218,,false,,Gene Washington,,
base,219,,false,,Paul Robinson,,
base,220,,false,,John Brodie,,
base,221,,false,,Manny Fernandez,,
base,222,,false,,Errol Mann,,
base,223,,false,,Dick Gordon,,
base,224,,false,,Calvin Hill,,
base,225,,false,,Fran Tarkenton,,
base,226,,false,,Jim Turner,,
base,227,,false,,Jim Mitchell,,
base,228,,false,,Pete Liske,,
base,229,,false,,Carl Garrett,,
base,230,,false,,Joe Greene,,
base,231,,false,,Gale Gillingham,,
base,232,,false,,Norm Bulaich,,
base,233,,false,,Spider Lockhart,,
base,234,,false,,Ken Willard,,
base,235,,false,,George Blanda,,
base,236,,false,,Wayne Mulligan,,
base,237,,false,,Dave Lewis,,
base,238,,false,,Dennis Shaw,,
