category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1T,,false,,Andy Allanson,,
base,2T,,false,,Neil Allen,,
base,3T,,false,,Joaquin Andujar,,
base,4T,,false,,Paul Assenmacher,,
base,5T,,false,,Scott Bailes,,
base,6T,,false,,Don Baylor,,
base,7T,,false,,Steve Bedrosian,,
base,8T,,false,,Juan Beniquez,,
base,9T,,false,,Juan Berenguer,,
base,10T,,false,,Mike Bielecki,,
base,11T,,false,,Barry Bonds,,
base,12T,,false,,Bobby Bonilla,,
base,13T,,false,,Juan Bonilla,,
base,14T,,false,,Rich Bordi,,
base,15T,,false,,Steve Boros,,
base,16T,,false,,Rick Burleson,,
base,17T,,false,,Bill Campbell,,
base,18T,,false,,Tom Candiotti,,
base,19T,,false,,John Cangelosi,,
base,20T,,false,,Jose Canseco,,
base,21T,,false,,Carmen Castillo,,
base,22T,,false,,Rick Cerone,,
base,23T,,false,,John Cerutti,,
base,24T,,false,,Will Clark,,
base,25T,,false,,Mark Clear,,
base,26T,,false,,Darnell Coles,,
base,27T,,false,,Dave Collins,,
base,28T,,false,,Tim Conroy,,
base,29T,,false,,Joe Cowley,,
base,30T,,false,,Joel Davis,,
base,31T,,false,,Rob Deer,,
base,32T,,false,,John Denny,,
base,33T,,false,,Mike Easler,,
base,34T,,false,,Mark Eichhorn,,
base,35T,,false,,Steve Farr,,
base,36T,,false,,Scott Fletcher,,
base,37T,,false,,Terry Forster,,
base,38T,,false,,Terry Francona,,
base,39T,,false,,Jim Fregosi,,
base,40T,,false,,Andres Galarraga,,
base,41T,,false,,Ken Griffey,,
base,42T,,false,,Bill Gullickson,,
base,43T,,false,,Jose Guzman,,
base,44T,,false,,Moose Haas,,
base,45T,,false,,Billy Hatcher,,
base,46T,,false,,Mike Heath,,
base,47T,,false,,Tom Hume,,
base,48T,,false,,Pete Incaviglia,,
base,49T,,false,,Dane Iorg,,
base,50T,,false,,Bo Jackson,,
base,51T,,false,,Wally Joyner,,
base,52T,,false,,Charlie Kerfeld,,
base,53T,,false,,Eric King,,
base,54T,,false,,Bob Kipper,,
base,55T,,false,,Wayne Krenchicki,,
base,56T,,false,,John Kruk,,
base,57T,,false,,Mike LaCoss,,
base,58T,,false,,Pete Ladd,,
base,59T,,false,,Mike Laga,,
base,60T,,false,,Hal Lanier,,
base,61T,,false,,Dave LaPoint,,
base,62T,,false,,Rudy Law,,
base,63T,,false,,Rick Leach,,
base,64T,,false,,Tim Leary,,
base,65T,,false,,Dennis Leonard,,
base,66T,,false,,Jim Leyland,,
base,67T,,false,,Steve Lyons,,
base,68T,,false,,Mickey Mahler,,
base,69T,,false,,Candy Maldonado,,
base,70T,,false,,Roger Mason,,
base,71T,,false,,Bob McClure,,
base,72T,,false,,Andy McGaffigan,,
base,73T,,false,,Gene Michael,,
base,74T,,false,,Kevin Mitchell,,
base,75T,,false,,Omar Moreno,,
base,76T,,false,,Jerry Mumphrey,,
base,77T,,false,,Phil Niekro,,
base,78T,,false,,Randy Niemann,,
base,79T,,false,,Juan Nieves,,
base,80T,,false,,Otis Nixon,,
base,81T,,false,,Bob Ojeda,,
base,82T,,false,,Jose Oquendo,,
base,83T,,false,,Tom Paciorek,,
base,84T,,false,,David Palmer,,
base,85T,,false,,Frank Pastore,,
base,86T,,false,,Lou Piniella,,
base,87T,,false,,Dan Plesac,,
base,88T,,false,,Darrell Porter,,
base,89T,,false,,Rey Quinones,,
base,90T,,false,,Gary Redus,,
base,91T,,false,,Bip Roberts,,
base,92T,,false,,Billy Joe Robidoux,,
base,93T,,false,,Jeff Robinson,,
base,94T,,false,,Gary Roenicke,,
base,95T,,false,,Ed Romero,,
base,96T,,false,,Angel Salazar,,
base,97T,,false,,Joe Sambito,,
base,98T,,false,,Billy Sample,,
base,99T,,false,,Dave Schmidt,,
base,100T,,false,,Ken Schrom,,
base,101T,,false,,Tom Seaver,,
base,102T,,false,,Ted Simmons,,
base,103T,,false,,Sammy Stewart,,
base,104T,,false,,Kurt Stillwell,,
base,105T,,false,,Franklin Stubbs,,
base,106T,,false,,Dale Sveum,,
base,107T,,false,,Chuck Tanner,,
base,108T,,false,,Danny Tartabull,,
base,109T,,false,,Tim Teufel,,
base,110T,,false,,Bob Tewksbury,,
base,111T,,false,,Andres Thomas,,
base,112T,,false,,Milt Thompson,,
base,113T,,false,,Robby Thompson,,
base,114T,,false,,Jay Tibbs,,
base,115T,,false,,Wayne Tolleson,,
base,116T,,false,,Alex Trevino,,
base,117T,,false,,Manny Trillo,,
base,118T,,false,,Ed Vande Berg,,
base,119T,,false,,Ozzie Virgil,,
base,120T,,false,,Bob Walk,,
base,121T,,false,,Gene Walter,,
base,122T,,false,,Claudell Washington,,
base,123T,,false,,Bill Wegman,,
base,124T,,false,,Dick Williams,,
base,125T,,false,,Mitch Williams,,
base,126T,,false,,Bobby Witt,,
base,127T,,false,,Todd Worrell,,
base,128T,,false,,George Wright,,
base,129T,,false,,Ricky Wright,,
base,130T,,false,,Steve Yeager,,
base,131T,,false,,Paul Zuvella,,
base,132T,,false,,Checklist 1T-132T,,
