category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,U-1,,false,,Scott Bankhead,,
base,U-2,,false,,Eric Bell,,
base,U-3,,false,,Juan Beniquez,,
base,U-4,,false,,Juan Berenguer,,
base,U-5,,false,,Mike Birkbeck,,
base,U-6,,false,,Randy Bockus,,
base,U-7,,false,,Rod Booker,,
base,U-8,,false,,Thad Bosley,,
base,U-9,,false,,Greg Brock,,
base,U-10,,false,,Bob Brower,,
base,U-11,,false,,Chris Brown,,
base,U-12,,false,,Jerry Browne,,
base,U-13,,false,,Ralph Bryant,,
base,U-14,,false,,DeWayne Buice,,
base,U-15,,false,,Ellis Burks,,
base,U-16,,false,,Casey Candaele,,
base,U-17,,false,,Steve Carlton,,
base,U-18,,false,,Juan Castillo,,
base,U-19,,false,,Chuck Crim,,
base,U-20,,false,,Mark Davidson,,
base,U-21,,false,,Mark Davis,,
base,U-22,,false,,Storm Davis,,
base,U-23,,false,,Bill Dawley,,
base,U-24,,false,,Andre Dawson,,
base,U-25,,false,,Brian Dayett,,
base,U-26,,false,,Rick Dempsey,,
base,U-27,,false,,Ken Dowell,,
base,U-28,,false,,Dave Dravecky,,
base,U-29,,false,,Mike Dunne,,
base,U-30,,false,,Dennis Eckersley,,
base,U-31,,false,,Cecil Fielder,,
base,U-32,,false,,Brian Fisher,,
base,U-33,,false,,Willie Fraser,,
base,U-34,,false,,Ken Gerhart,,
base,U-35,,false,,Jim Gott,,
base,U-36,,false,,Dan Gladden,,
base,U-37,,false,,Mike Greenwell,,
base,U-38,,false,,Cecilio Guante,,
base,U-39,,false,,Albert Hall,,
base,U-40,,false,,Atlee Hammaker,,
base,U-41,,false,,Mickey Hatcher,,
base,U-42,,false,,Mike Heath,,
base,U-43,,false,,Neal Heaton,,
base,U-44,,false,,Mike Henneman,,
base,U-45,,false,,Guy Hoffman,,
base,U-46,,false,,Charles Hudson,,
base,U-47,,false,,Chuck Jackson,,
base,U-48,,false,,Mike Jackson,,
base,U-49,,false,,Reggie Jackson,,
base,U-50,,false,,Chris James,,
base,U-51,,false,,Dion James,,
base,U-52,,false,,Stan Javier,,
base,U-53,,false,,Stan Jefferson,,
base,U-54,,false,,Jimmy Jones,,
base,U-55,,false,,Tracy Jones,,
base,U-56,,false,,Terry Kennedy,,
base,U-57,,false,,Mike Kingery,,
base,U-58,,false,,Ray Knight,,
base,U-59,,false,,Gene Larkin,,
base,U-60,,false,,Mike LaValliere,,
base,U-61,,false,,Jack Lazorko,,
base,U-62,,false,,Terry Leach,,
base,U-63,,false,,Rick Leach,,
base,U-64,,false,,Craig Lefferts,,
base,U-65,,false,,Jim Lindeman,,
base,U-66,,false,,Bill Long,,
base,U-67,,false,,Mike Loynd,,
base,U-68,,false,,Greg Maddux,,
base,U-69,,false,,Bill Madlock,,
base,U-70,,false,,Dave Magadan,,
base,U-71,,false,,Joe Magrane,,
base,U-72,,false,,Fred Manrique,,
base,U-73,,false,,Mike Mason,,
base,U-74,,false,,Lloyd McClendon,,
base,U-75,,false,,Fred McGriff,,
base,U-76,,false,,Mark McGwire,,
base,U-77,,false,,Mark McLemore,,
base,U-78,,false,,Kevin McReynolds,,
base,U-79,,false,,Dave Meads,,
base,U-80,,false,,Greg Minton,,
base,U-81,,false,,John Mitchell,,
base,U-82,,false,,Kevin Mitchell,,
base,U-83,,false,,John Morris,,
base,U-84,,false,,Jeff Musselman,,
base,U-85,,false,,Randy Myers,,
base,U-86,,false,,Gene Nelson,,
base,U-87,,false,,Joe Niekro,,
base,U-88,,false,,Tom Nieto,,
base,U-89,,false,,Reid Nichols,,
base,U-90,,false,,Matt Nokes,,
base,U-91,,false,,Dickie Noles,,
base,U-92,,false,,Edwin Nunez,,
base,U-93,,false,,Jose Nunez,,
base,U-94,,false,,Paul O'Neill,,
base,U-95,,false,,Jim Paciorek,,
base,U-96,,false,,Lance Parrish,,
base,U-97,,false,,Bill Pecota,,
base,U-98,,false,,Tony Pena,,
base,U-99,,false,,Luis Polonia,,
base,U-100,,false,,Randy Ready,,
base,U-101,,false,,Jeff Reardon,,
base,U-102,,false,,Gary Redus,,
base,U-103,,false,,Rick Rhoden,,
base,U-104,,false,,Wally Ritchie,,
base,U-105,,false,,Jeff Robinson,,
base,U-106,,false,,Mark Salas,,
base,U-107,,false,,Dave Schmidt,,
base,U-108,,false,,Kevin Seitzer,,
base,U-109,,false,,John Shelby,,
base,U-110,,false,,John Smiley,,
base,U-111,,false,,Lary Sorensen,,
base,U-112,,false,,Chris Speier,,
base,U-113,,false,,Randy St. Claire,,
base,U-114,,false,,Jim Sundberg,,
base,U-115,,false,,B.J. Surhoff,,
base,U-116,,false,,Greg Swindell,,
base,U-117,,false,,Danny Tartabull,,
base,U-118,,false,,Dorn Taylor,,
base,U-119,,false,,Lee Tunnell,,
base,U-120,,false,,Ed Vande Berg,,
base,U-121,,false,,Andy Van Slyke,,
base,U-122,,false,,Gary Ward,,
base,U-123,,false,,Devon White,,
base,U-124,,false,,Alan Wiggins,,
base,U-125,,false,,Bill Wilkinson,,
base,U-126,,false,,Jim Winn,,
base,U-127,,false,,Frank Williams,,
base,U-128,,false,,Ken Williams,,
base,U-129,,false,,Matt Williams,,
base,U-130,,false,,Herm Winningham,,
base,U-131,,false,,Matt Young,,
base,U-132,,false,,Checklist 1-132,,
