category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Roger Clemens
base,2,,false,,Jim Deshaies
base,3,,false,,Dwight Evans
base,4,,false,,Dave Lopes
base,5,,false,,Dave Righetti
base,6,,false,,Ruben Sierra
base,7,,false,,Todd Worrell
base,8,,false,,Terry Pendleton
base,9,,false,,Jay Tibbs
base,10,,false,,Cecil Cooper
base,11,,false,,Phil Niekro / Chris Bando
base,12,,false,,Jeff Sellers RC
base,13,,false,,Nick Esasky
base,14,,false,,Dave Stewart
base,15,,false,,Claudell Washington
base,16,,false,,Pat Clements
base,17,,false,,Pete O'Brien
base,18,,false,,Dick HowserManager / Team Checklist
base,19,,false,,Matt Young
base,20,,false,,Gary Carter
base,21,,false,,Mark Davis
base,22,,false,,Doug DeCinces
base,23,,false,,Lee Smith
base,24,,false,,Tony Walker RC
base,25,,false,,Bert Blyleven
base,26,,false,,Greg Brock
base,27,,false,,Joe Cowley
base,28,,false,,Rick Dempsey
base,29,,false,,Jimmy Key
base,30,,false,,Tim Raines
base,31,,false,,Glenn Hubbard / Rafael Ramirez
base,32,,false,,Tim Leary
base,33,,false,,Andy Van Slyke
base,34,,false,,Jose Rijo
base,35,,false,,Sid Bream
base,36,,false,,Eric King RC
base,37,,false,,Marvell Wynne
base,38,,false,,Dennis Leonard
base,39,,false,,Marty Barrett
base,40,,false,,Dave Righetti
base,41,,false,,Bo Diaz
base,42,,false,,Gary Redus
base,43,,false,,Gene MichaelManager / Team Checklist
base,44,,false,,Greg Harris
base,45,,false,,Jim Presley
base,46,,false,,Danny Gladden
base,47,,false,,Dennis Powell
base,48,,false,,Wally Backman
base,49,,false,,Terry Harper
base,50,,false,,Dave Smith
base,51,,false,,Mel Hall
base,52,,false,,Keith Atherton
base,53,,false,,Ruppert Jones
base,54,,false,,Bill Dawley
base,55,,false,,Tim Wallach
base,56,,false,,Jaime Cocanower / Charlie Moore / Paul Molitor / Herm Herm Starrette
base,57,,false,,Starrette Nielsen RC
base,58,,false,,Thad Bosley
base,59,,false,,Ken Dayley
base,60,,false,,Tony Pena
