category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Keith Atherton,,
base,2,,false,,Don Baylor,,
base,3,,false,,Juan Berenguer,,
base,4,,false,,Bert Blyleven,,
base,5,,false,,Tom Brunansky,,
base,6,,false,,Randy Bush,,
base,7,,false,,Steve Carlton,,
base,8,,false,,Mark Davidson,,
base,9,,false,,George Frazier,,
base,10,,false,,Gary Gaetti,,
base,11,,false,,Greg Gagne,,
base,12,,false,,Dan Gladden,,
base,13,,false,,Kent Hrbek,,
base,14,,false,,Gene Larkin,,
base,15,,false,,Tim Laudner,,
base,16,,false,,Steve Lombardozzi,,
base,17,,false,,Al Newman,,
base,18,,false,,Joe Niekro,,
base,19,,false,,Kirby Puckett,,
base,20,,false,,Jeff Reardon,,
base,21,,false,,Dan Schatzeder,,
base,22,,false,,Roy Smalley,,
base,23,,false,,Mike Smithson,,
base,24,,false,,Les Straker,,
base,25,,false,,Frank Viola,,
base,26,,false,,Jack Clark,,
base,27,,false,,Vince Coleman,,
base,28,,false,,Danny Cox,,
base,29,,false,,Bill Dawley,,
base,30,,false,,Ken Dayley,,
base,31,,false,,Doug DeCinces,,
base,32,,false,,Curt Ford,,
base,33,,false,,Bob Forsch,,
base,34,,false,,David Green,,
base,35,,false,,Tom Herr,,
base,36,,false,,Ricky Horton,,
base,37,,false,,Lance Johnson,,
base,38,,false,,Steve Lake,,
base,39,,false,,Jim Lindeman,,
base,40,,false,,Joe Magrane,,
base,41,,false,,Greg Mathews,,
base,42,,false,,Willie McGee,,
base,43,,false,,John Morris,,
base,44,,false,,Jose Oquendo,,
base,45,,false,,Tony Pena,,
base,46,,false,,Terry Pendleton,,
base,47,,false,,Ozzie Smith,,
base,48,,false,,John Tudor,,
base,49,,false,,Lee Tunnell,,
base,50,,false,,Todd Worrell,,
base,51,,false,,Doyle Alexander,,
base,52,,false,,Dave Bergman,,
base,53,,false,,Tom Brookens,,
base,54,,false,,Darrell Evans,,
base,55,,false,,Kirk Gibson,,
base,56,,false,,Mike Heath,,
base,57,,false,,Mike Henneman,,
base,58,,false,,Willie Hernandez,,
base,59,,false,,Larry Herndon,,
base,60,,false,,Eric King,,
base,61,,false,,Chet Lemon,,
base,62,,false,,Scott Lusader,,
base,63,,false,,Bill Madlock,,
base,64,,false,,Jack Morris,,
base,65,,false,,Jim Morrison,,
base,66,,false,,Matt Nokes,,
base,67,,false,,Dan Petry,,
base,68,,false,,Jeff Robinson,,
base,69,,false,,Pat Sheridan,,
base,70,,false,,Nate Snell,,
base,71,,false,,Frank Tanana,,
base,72,,false,,Walt Terrell,,
base,73,,false,,Mark Thurmond,,
base,74,,false,,Alan Trammell,,
base,75,,false,,Lou Whitaker,,
base,76,,false,,Mike Aldrete,,
base,77,,false,,Bob Brenly,,
base,78,,false,,Will Clark,,
base,79,,false,,Chili Davis,,
base,80,,false,,Kelly Downs,,
base,81,,false,,Dave Dravecky,,
base,82,,false,,Scott Garrelts,,
base,83,,false,,Atlee Hammaker,,
base,84,,false,,Dave Henderson,,
base,85,,false,,Mike Krukow,,
base,86,,false,,Mike LaCoss,,
base,87,,false,,Craig Lefferts,,
base,88,,false,,Jeffrey Leonard,,
base,89,,false,,Candy Maldonado,,
base,90,,false,,Eddie Milner,,
base,91,,false,,Bob Melvin,,
base,92,,false,,Kevin Mitchell,,
base,93,,false,,Jon Perlman,,
base,94,,false,,Rick Reuschel,,
base,95,,false,,Don Robinson,,
base,96,,false,,Chris Speier,,
base,97,,false,,Harry Spilman,,
base,98,,false,,Robby Thompson,,
base,99,,false,,Jose Uribe,,
base,100,,false,,Mark Wasinger,,
base,101,,false,,Matt Williams,,
base,102,,false,,Jesse Barfield,,
base,103,,false,,George Bell,,
base,104,,false,,Juan Beniquez,,
base,105,,false,,John Cerutti,,
base,106,,false,,Jim Clancy,,
base,107,,false,,Rob Ducey,,
base,108,,false,,Mark Eichhorn,,
base,109,,false,,Tony Fernandez,,
base,110,,false,,Cecil Fielder,,
base,111,,false,,Kelly Gruber,,
base,112,,false,,Tom Henke,,
base,113,,false,,Garth Iorg,,
base,114,,false,,Jimmy Key,,
base,115,,false,,Rick Leach,,
base,116,,false,,Manuel Lee,,
base,117,,false,,Nelson Liriano,,
base,118,,false,,Fred McGriff,,
base,119,,false,,Lloyd Moseby,,
base,120,,false,,Rance Mulliniks,,
base,121,,false,,Jeff Musselman,,
base,122,,false,,Jose Nunez,,
base,123,,false,,Dave Stieb,,
base,124,,false,,Willie Upshaw,,
base,125,,false,,Duane Ward,,
base,126,,false,,Ernie Whitt,,
base,127,,false,,Rick Aguilera,,
base,128,,false,,Wally Backman,,
base,129,,false,,Mark Carreon,,
base,130,,false,,Gary Carter,,
base,131,,false,,David Cone,,
base,132,,false,,Ron Darling,,
base,133,,false,,Lenny Dykstra,,
base,134,,false,,Sid Fernandez,,
base,135,,false,,Dwight Gooden,,
base,136,,false,,Keith Hernandez,,
base,137,,false,,Gregg Jefferies,,
base,138,,false,,Howard Johnson,,
base,139,,false,,Terry Leach,,
base,140,,false,,Barry Lyons,,
base,141,,false,,Dave Magadan,,
base,142,,false,,Roger McDowell,,
base,143,,false,,Kevin McReynolds,,
base,144,,false,,Keith Miller,,
base,145,,false,,John Mitchell,,
base,146,,false,,Randy Myers,,
base,147,,false,,Bob Ojeda,,
base,148,,false,,Jesse Orosco,,
base,149,,false,,Rafael Santana,,
base,150,,false,,Doug Sisk,,
base,151,,false,,Darryl Strawberry,,
base,152,,false,,Tim Teufel,,
base,153,,false,,Gene Walter,,
base,154,,false,,Mookie Wilson,,
base,155,,false,,Jay Aldrich,,
