category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Bo Jackson,,
base,2,,false,,Mike Flanagan,,
base,3,,false,,Pete Incaviglia,,
base,4,,false,,Jack Clark,,
base,5,,false,,Hubie Brooks,,
base,6,,false,,Ivan Calderon,,
base,7,,false,,Glenn Davis,,
base,8,,false,,Wally Backman,,
base,9,,false,,Dave Smith,,
base,10,,false,,Tim Raines,,
base,11,,false,,Joe Carter,,
base,12,,false,,Sid Bream,,
base,13,,false,,George Bell,,
base,14,,false,,Steve Bedrosian,,
base,15,,false,,Willie Wilson,,
base,16,,false,,Darryl Strawberry,,
base,17,,false,,Danny Jackson,,
base,18,,false,,Kirk Gibson,,
base,19,,false,,Willie McGee,,
base,20,,false,,Junior Felix,,
base,21,,false,,Steve Farr,,
base,22,,false,,Pat Tabler,,
base,23,,false,,Brett Butler,,
base,24,,false,,Danny Darwin,,
base,25,,false,,Mickey Tettleton,,
base,26,,false,,Gary Carter,,
base,27,,false,,Mitch Williams,,
base,28,,false,,Candy Maldonado,,
base,29,,false,,Otis Nixon,,
base,30,,false,,Brian Downing,,
base,31,,false,,Tom Candiotti,,
base,32,,false,,John Candelaria,,
base,33,,false,,Rob Murphy,,
base,34,,false,,Deion Sanders,,
base,35,,false,,Willie Randolph,,
base,36,,false,,Pete Harnisch,,
base,37,,false,,Dante Bichette,,
base,38,,false,,Garry Templeton,,
base,39,,false,,Gary Gaetti,,
base,40,,false,,John Cerutti,,
base,41,,false,,Rick Cerone,,
base,42,,false,,Mike Pagliarulo,,
base,43,,false,,Ron Hassey,,
base,44,,false,,Roberto Alomar,,
base,45,,false,,Mike Boddicker,,
base,46,,false,,Bud Black,,
base,47,,false,,Rob Deer,,
base,48,,false,,Devon White,,
base,49,,false,,Luis Sojo,,
base,50,,false,,Terry Pendleton,,
base,51,,false,,Kevin Gross,,
base,52,,false,,Mike Huff,,
base,53,,false,,Dave Righetti,,
base,54,,false,,Matt Young,,
base,55,,false,,Ernest Riles,,
base,56,,false,,Bill Gullickson,,
base,57,,false,,Vince Coleman,,
base,58,,false,,Fred McGriff,,
base,59,,false,,Franklin Stubbs,,
base,60,,false,,Eric King,,
base,61,,false,,Cory Snyder,,
base,62,,false,,Dwight Evans,,
base,63,,false,,Gerald Perry,,
base,64,,false,,Eric Show,,
base,65,,false,,Shawn Hillegas,,
base,66,,false,,Tony Fernandez,,
base,67,,false,,Tim Teufel,,
base,68,,false,,Mitch Webster,,
base,69,,false,,Mike Heath,,
base,70,,false,,Chili Davis,,
base,71,,false,,Larry Andersen,,
base,72,,false,,Gary Varsho,,
base,73,,false,,Juan Berenguer,,
base,74,,false,,Jack Morris,,
base,75,,false,,Barry Jones,,
base,76,,false,,Rafael Belliard,,
base,77,,false,,Steve Buechele,,
base,78,,false,,Scott Sanderson,,
base,79,,false,,Bob Ojeda,,
base,80,,false,,Curt Schilling,,
base,81,,false,,Brian Drahman,,
base,82,,false,,Ivan Rodriguez,,
base,83,,false,,David Howard,,
base,84,,false,,Heathcliff Slocumb,,
base,85,,false,,Mike Timlin,,
base,86,,false,,Darryl Kile,,
base,87,,false,,Pete Schourek,,
base,88,,false,,Bruce Walton,,
base,89,,false,,Al Osuna,,
base,90,,false,,Gary Scott,,
base,91,,false,,Doug Simons,,
base,92,,false,,Chris Jones,,
base,93,,false,,Chuck Knoblauch,,
base,94,,false,,Dana Allison,,
base,95,,false,,Erik Pappas,,
base,96,,false,,Jeff Bagwell,,
base,97,,false,,Kirk Dressendorfer,,
base,98,,false,,Freddie Benavides,,
base,99,,false,,Luis Gonzalez,,
base,100,,false,,Wade Taylor,,
base,101,,false,,Ed Sprague,,
base,102,,false,,Bob Scanlan,,
base,103,,false,,Rick Wilkins,,
base,104,,false,,Chris Donnels,,
base,105,,false,,Joe Slusarski,,
base,106,,false,,Mark Lewis,,
base,107,,false,,Pat Kelly,,
base,108,,false,,John Briscoe,,
base,109,,false,,Luis Lopez,,
base,110,,false,,Jeff Johnson,,
