category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Alex Gonzalez,,
base,2,,false,,Brooks Kieschnick,,
base,3,,false,,Michael Tucker,,
base,4,,false,,Trot Nixon,,
base,5,,false,,Brien Taylor,,
base,6,,false,,Quinton McCracken,,
base,7,,false,,Terrell Wade,,
base,8,,false,,Brandon Wilson,,
base,9,,false,,Roberto Petagine,,
base,10,,false,,Chad Mottola,,
base,11,,false,,T.R. Lewis,,
base,12,,false,,Herb Perry,,
base,13,,false,,Bobby Abreu,,
base,14,,false,,Jorge Fabregas,,
base,15,,false,,Mike Kelly,,
base,16,,false,,Ryan McGuire,,
base,17,,false,,Alan Zinter,,
base,18,,false,,Troy Hughes,,
base,19,,false,,Brook Fordyce,,
base,20,,false,,Alex Ochoa,,
base,21,,false,,Chris Wimmer,,
base,22,,false,,Jason Hardtke,,
base,23,,false,,Richard Hidalgo,,
base,24,,false,,Gregg Zaun,,
base,25,,false,,Roger Cedeno,,
base,26,,false,,Curtis Shaw,,
base,27,,false,,Brian Giles,,
base,28,,false,,Felix Rodriguez,,
base,29,,false,,Motor-Boat Jones,,
base,30,,false,,Dmitri Young,,
base,31,,false,,Justin Mashore,,
base,32,,false,,Curtis Goodwin,,
base,33,,false,,Marquis Riley,,
base,34,,false,,Les Norman,,
base,35,,false,,Billy Hall,,
base,36,,false,,Jamie Arnold,,
base,37,,false,,Mike Farmer,,
base,38,,false,,Brent Bowers,,
base,39,,false,,Chad McConnell,,
base,40,,false,,Mike Robertson,,
base,41,,false,,Brent Cookson,,
base,42,,false,,Dan Cholowsky,,
base,43,,false,,Justin Thompson,,
base,44,,false,,Joe Vitiello,,
base,45,,false,,Todd Steverson,,
base,46,,false,,Brian Bevil,,
base,47,,false,,Paul Shuey,,
base,48,,false,,Scott Eyre,,
base,49,,false,,Rick Greene,,
base,50,,false,,Jose Silva,,
base,51,,false,,Kurt Miller,,
base,52,,false,,Ron Villone,,
base,53,,false,,Darren Bragg,,
base,54,,false,,Mike Lieberthal,,
base,55,,false,,Gabe White,,
base,56,,false,,Vince Moore,,
base,57,,false,,Tony Clark,,
base,58,,false,,Chris Eddy,,
base,59,,false,,Ray Durham,,
base,60,,false,,Todd Hollandsworth,,
base,61,,false,,Andres Berumen,,
base,62,,false,,Quilvio Veras,,
base,63,,false,,Wayne Gomes,,
base,64,,false,,Ryan Karp,,
base,65,,false,,Randy Curtis,,
base,66,,false,,Steve Rodriguez,,
base,67,,false,,Jason Schmidt,,
base,68,,false,,Mark Acre,,
base,69,,false,,B.J. Wallace,,
base,70,,false,,Alvin Morman,,
base,71,,false,,Travis Baptist,,
base,72,,false,,Jim Wawruck,,
base,73,,false,,Marty Cordova,,
base,74,,false,,Jamie Dismuke,,
base,75,,false,,Joe Randa,,
base,76,,false,,Danny Clyburn,,
base,77,,false,,Joey Eischen,,
base,78,,false,,Chris Seelbach,,
base,79,,false,,Izzy Molina,,
base,80,,false,,Chris Roberts,,
base,81,,false,,Rod Henderson,,
base,82,,false,,Kennie Steenstra,,
base,83,,false,,Ugueth Urbina,,
base,84,,false,,Stanton Cameron,,
base,85,,false,,Doug Glanville,,
