category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,David Justice,,
base,2,,false,,Ryan Klesko,,
base,3,,false,,Javier Lopez,,
base,4,,false,,Greg Maddux,,
base,5,,false,,Fred McGriff,,
base,6,,false,,Tony Tarasco,,
base,7,,false,,Jeffrey Hammonds,,
base,8,,false,,Mike Mussina,,
base,9,,false,,Rafael Palmeiro,,
base,10,,false,,Cal Ripken Jr.,,
base,11,,false,,Lee Smith,,
base,12,,false,,Roger Clemens,,
base,13,,false,,Scott Cooper,,
base,14,,false,,Mike Greenwell,,
base,15,,false,,Carlos Rodriguez,,
base,16,,false,,Mo Vaughn,,
base,17,,false,,Chili Davis,,
base,18,,false,,Jim Edmonds,,
base,19,,false,,Jorge Fabregas,,
base,20,,false,,Bo Jackson,,
base,21,,false,,Tim Salmon,,
base,22,,false,,Mark Grace,,
base,23,,false,,Jose Guzman,,
base,24,,false,,Randy Myers,,
base,25,,false,,Rey Sanchez,,
base,26,,false,,Sammy Sosa,,
base,27,,false,,Wilson Alvarez,,
base,28,,false,,Julio Franco,,
base,29,,false,,Ozzie Guillen,,
base,30,,false,,Jack McDowell,,
base,31,,false,,Frank Thomas,,
base,32,,false,,Bret Boone,,
base,33,,false,,Barry Larkin,,
base,34,,false,,Hal Morris,,
base,35,,false,,Jose Rijo,,
base,36,,false,,Deion Sanders,,
base,37,,false,,Carlos Baerga,,
base,38,,false,,Albert Belle,,
base,39,,false,,Kenny Lofton,,
base,40,,false,,Dennis Martinez,,
base,41,,false,,Manny Ramirez,,
base,42,,false,,Omar Vizquel,,
base,43,,false,,Dante Bichette,,
base,44,,false,,Marvin Freeman,,
base,45,,false,,Andres Galarraga,,
base,46,,false,,Mike Kingery,,
base,47,,false,,Danny Bautista,,
base,48,,false,,Cecil Fielder,,
base,49,,false,,Travis Fryman,,
base,50,,false,,Tony Phillips,,
base,51,,false,,Alan Trammell,,
base,52,,false,,Lou Whitaker,,
base,53,,false,,Alex Arias,,
base,54,,false,,Bret Barberie,,
base,55,,false,,Jeff Conine,,
base,56,,false,,Charles Johnson,,
base,57,,false,,Gary Sheffield,,
base,58,,false,,Jeff Bagwell,,
base,59,,false,,Craig Biggio,,
base,60,,false,,Doug Drabek,,
base,61,,false,,Tony Eusebio,,
base,62,,false,,Luis Gonzalez,,
base,63,,false,,David Cone,,
base,64,,false,,Bob Hamelin,,
base,65,,false,,Felix Jose,,
base,66,,false,,Wally Joyner,,
base,67,,false,,Brian McRae,,
base,68,,false,,Brett Butler,,
base,69,,false,,Garey Ingram,,
base,70,,false,,Ramon Martinez,,
base,71,,false,,Raul Mondesi,,
base,72,,false,,Mike Piazza,,
base,73,,false,,Henry Rodriguez,,
base,74,,false,,Ricky Bones,,
base,75,,false,,Pat Listach,,
base,76,,false,,Dave Nilsson,,
base,77,,false,,Jose Valentin,,
base,78,,false,,Rick Aguilera,,
base,79,,false,,Denny Hocking,,
base,80,,false,,Shane Mack,,
base,81,,false,,Pedro Munoz,,
base,82,,false,,Kirby Puckett,,
base,83,,false,,Dave Winfield,,
base,84,,false,,Moises Alou,,
base,85,,false,,Wil Cordero,,
base,86,,false,,Cliff Floyd,,
base,87,,false,,Marquis Grissom,,
base,88,,false,,Pedro Martinez,,
base,89,,false,,Larry Walker,,
base,90,,false,,Bobby Bonilla,,
base,91,,false,,Jeromy Burnitz,,
base,92,,false,,John Franco,,
base,93,,false,,Jeff Kent,,
base,94,,false,,Jose Vizcaino,,
base,95,,false,,Wade Boggs,,
base,96,,false,,Jimmy Key,,
base,97,,false,,Don Mattingly,,
base,98,,false,,Paul O'Neill,,
base,99,,false,,Luis Polonia,,
base,100,,false,,Danny Tartabull,,
base,101,,false,,Geronimo Berroa,,
base,102,,false,,Rickey Henderson,,
base,103,,false,,Ruben Sierra,,
base,104,,false,,Terry Steinbach,,
base,105,,false,,Darren Daulton,,
base,106,,false,,Mariano Duncan,,
base,107,,false,,Lenny Dykstra,,
base,108,,false,,Mike Lieberthal,,
base,109,,false,,Tony Longmire,,
base,110,,false,,Tom Marsh,,
base,111,,false,,Jay Bell,,
base,112,,false,,Carlos Garcia,,
base,113,,false,,Orlando Merced,,
base,114,,false,,Andy Van Slyke,,
base,115,,false,,Derek Bell,,
base,116,,false,,Tony Gwynn,,
base,117,,false,,Luis Lopez,,
base,118,,false,,Bip Roberts,,
base,119,,false,,Rod Beck,,
base,120,,false,,Barry Bonds,,
base,121,,false,,Darryl Strawberry,,
base,122,,false,,William Van Landingham,,
base,123,,false,,Matt Williams,,
base,124,,false,,Jay Buhner,,
base,125,,false,,Felix Fermin,,
base,126,,false,,Ken Griffey Jr.,,
base,127,,false,,Randy Johnson,,
base,128,,false,,Edgar Martinez,,
base,129,,false,,Alex Rodriguez,,
base,130,,false,,Rene Arocha,,
base,131,,false,,Gregg Jefferies,,
base,132,,false,,Mike Perez,,
base,133,,false,,Ozzie Smith,,
base,134,,false,,Jose Canseco,,
base,135,,false,,Will Clark,,
base,136,,false,,Juan Gonzalez,,
base,137,,false,,Ivan Rodriguez,,
base,138,,false,,Roberto Alomar,,
base,139,,false,,Joe Carter,,
base,140,,false,,Carlos Delgado,,
base,141,,false,,Alex Gonzalez,,
base,142,,false,,Juan Guzman,,
base,143,,false,,Paul Molitor,,
base,144,,false,,John Olerud,,
base,CL1,,false,,Checklist,,
base,CL2,,false,,Checklist,,
