category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,P-1,Gold,false,,Tom Glavine,,
base,P-2,Gold,false,,Chipper Jones,,
base,P-3,Gold,false,,David Justice,,
base,P-4,Gold,false,,Ryan Klesko,,
base,P-5,Gold,false,,Javy Lopez,,
base,P-6,Gold,false,,Greg Maddux,,
base,P-7,Gold,false,,Fred McGriff,,
base,P-8,Gold,false,,Frank Castillo,,
base,P-9,Gold,false,,Luis Gonzalez,,
base,P-10,Gold,false,,Mark Grace,,
base,P-11,Gold,false,,Brian McRae,,
base,P-12,Gold,false,,Jaime Navarro,,
base,P-13,Gold,false,,Sammy Sosa,,
base,P-14,Gold,false,,Bret Boone,,
base,P-15,Gold,false,,Ron Gant,,
base,P-16,Gold,false,,Barry Larkin,,
base,P-17,Gold,false,,Reggie Sanders,,
base,P-18,Gold,false,,Benito Santiago,,
base,P-19,Gold,false,,Dante Bichette,,
base,P-20,Gold,false,,Vinny Castilla,,
base,P-21,Gold,false,,Andres Galarraga,,
base,P-22,Gold,false,,Bryan Rekar,,
base,P-23,Gold,false,,Roberto Alomar,,
base,P-24,Gold,false,,Jeff Conine,,
base,P-25,Gold,false,,Andre Dawson,,
base,P-26,Gold,false,,Charles Johnson,,
base,P-27,Gold,false,,Gary Sheffield,,
base,P-28,Gold,false,,Quilvio Veras,,
base,P-29,Gold,false,,Jeff Bagwell,,
base,P-30,Gold,false,,Derek Bell,,
base,P-31,Gold,false,,Craig Biggio,,
base,P-32,Gold,false,,Tony Eusebio,,
base,P-33,Gold,false,,Karim Garcia,,
base,P-34,Gold,false,,Eric Karros,,
base,P-35,Gold,false,,Ramon Martinez,,
base,P-36,Gold,false,,Raul Mondesi,,
base,P-37,Gold,false,,Hideo Nomo,,
base,P-38,Gold,false,,Mike Piazza,,
base,P-39,Gold,false,,Ismael Valdes,,
base,P-40,Gold,false,,Moises Alou,,
base,P-41,Gold,false,,Wil Cordero,,
base,P-42,Gold,false,,Pedro Martinez,,
base,P-43,Gold,false,,Mel Rojas,,
base,P-44,Gold,false,,David Segui,,
base,P-45,Gold,false,,Edgardo Alfonzo,,
base,P-46,Gold,false,,Rico Brogna,,
base,P-47,Gold,false,,John Franco,,
base,P-48,Gold,false,,Jason Isringhausen,,
base,P-49,Gold,false,,Jose Vizcaino,,
base,P-50,Gold,false,,Ricky Bottalico,,
base,P-51,Gold,false,,Darren Daulton,,
base,P-52,Gold,false,,Lenny Dykstra,,
base,P-53,Gold,false,,Tyler Green,,
base,P-54,Gold,false,,Gregg Jefferies,,
base,P-55,Gold,false,,Jay Bell,,
base,P-56,Gold,false,,Jason Christiansen,,
base,P-57,Gold,false,,Carlos Garcia,,
base,P-58,Gold,false,,Esteban Loaiza,,
base,P-59,Gold,false,,Orlando Merced,,
base,P-60,Gold,false,,Andujar Cedeno,,
base,P-61,Gold,false,,Tony Gwynn,,
base,P-62,Gold,false,,Melvin Nieves,,
base,P-63,Gold,false,,Phil Plantier,,
base,P-64,Gold,false,,Fernando Valenzuela,,
base,P-65,Gold,false,,Barry Bonds,,
base,P-66,Gold,false,,J.R. Phillips,,
base,P-67,Gold,false,,Deion Sanders,,
base,P-68,Gold,false,,Matt Williams,,
base,P-69,Gold,false,,Bernard Gilkey,,
base,P-70,Gold,false,,Tom Henke,,
base,P-71,Gold,false,,Brian Jordan,,
base,P-72,Gold,false,,Ozzie Smith,,
base,P-73,Gold,false,,Manny Alexander,,
base,P-74,Gold,false,,Bobby Bonilla,,
base,P-75,Gold,false,,Mike Mussina,,
base,P-76,Gold,false,,Rafael Palmeiro,,
base,P-77,Gold,false,,Cal Ripken Jr.,,
base,P-78,Gold,false,,Jose Canseco,,
base,P-79,Gold,false,,Roger Clemens,,
base,P-80,Gold,false,,John Valentin,,
base,P-81,Gold,false,,Mo Vaughn,,
base,P-82,Gold,false,,Tim Wakefield,,
base,P-83,Gold,false,,Garret Anderson,,
base,P-84,Gold,false,,Damion Easley,,
base,P-85,Gold,false,,Jim Edmonds,,
base,P-86,Gold,false,,Tim Salmon,,
base,P-87,Gold,false,,Wilson Alvarez,,
base,P-88,Gold,false,,Alex Fernandez,,
base,P-89,Gold,false,,Ozzie Guillen,,
base,P-90,Gold,false,,Roberto Hernandez,,
base,P-91,Gold,false,,Frank Thomas,,
base,P-92,Gold,false,,Robin Ventura,,
base,P-93,Gold,false,,Carlos Baerga,,
base,P-94,Gold,false,,Albert Belle,,
base,P-95,Gold,false,,Kenny Lofton,,
base,P-96,Gold,false,,Dennis Martinez,,
base,P-97,Gold,false,,Eddie Murray,,
base,P-98,Gold,false,,Manny Ramirez,,
base,P-99,Gold,false,,Omar Vizquel,,
base,P-100,Gold,false,,Chad Curtis,,
base,P-101,Gold,false,,Cecil Fielder,,
base,P-102,Gold,false,,Felipe Lira,,
base,P-103,Gold,false,,Alan Trammell,,
base,P-104,Gold,false,,Kevin Appier,,
base,P-105,Gold,false,,Johnny Damon,,
base,P-106,Gold,false,,Gary Gaetti,,
base,P-107,Gold,false,,Wally Joyner,,
base,P-108,Gold,false,,Ricky Bones,,
base,P-109,Gold,false,,John Jaha,,
base,P-110,Gold,false,,B.J. Surhoff,,
base,P-111,Gold,false,,Jose Valentin,,
base,P-112,Gold,false,,Fernando Vina,,
base,P-113,Gold,false,,Marty Cordova,,
base,P-114,Gold,false,,Chuck Knoblauch,,
base,P-115,Gold,false,,Scott Leius,,
base,P-116,Gold,false,,Pedro Munoz,,
base,P-117,Gold,false,,Kirby Puckett,,
base,P-118,Gold,false,,Wade Boggs,,
base,P-119,Gold,false,,Don Mattingly,,
base,P-120,Gold,false,,Jack McDowell,,
base,P-121,Gold,false,,Paul O'Neill,,
base,P-122,Gold,false,,Ruben Rivera,,
base,P-123,Gold,false,,Bernie Williams,,
base,P-124,Gold,false,,Geronimo Berroa,,
base,P-125,Gold,false,,Rickey Henderson,,
base,P-126,Gold,false,,Mark McGwire,,
base,P-127,Gold,false,,Terry Steinbach,,
base,P-128,Gold,false,,Danny Tartabull,,
base,P-129,Gold,false,,Jay Buhner,,
base,P-130,Gold,false,,Joey Cora,,
base,P-131,Gold,false,,Ken Griffey Jr.,,
base,P-132,Gold,false,,Randy Johnson,,
base,P-133,Gold,false,,Edgar Martinez,,
base,P-134,Gold,false,,Tino Martinez,,
base,P-135,Gold,false,,Will Clark,,
base,P-136,Gold,false,,Juan Gonzalez,,
base,P-137,Gold,false,,Dean Palmer,,
base,P-138,Gold,false,,Ivan Rodriguez,,
base,P-139,Gold,false,,Mickey Tettleton,,
base,P-140,Gold,false,,Larry Walker,,
base,P-141,Gold,false,,Joe Carter,,
base,P-142,Gold,false,,Carlos Delgado,,
base,P-143,Gold,false,,Alex Gonzalez,,
base,P-144,Gold,false,,Paul Molitor,,
