category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Anfernee Hardaway,,
base,2,,false,,Mitch Richmond,,
base,3,,false,,Allen Iverson,,
base,4,,false,,Chris Webber,,
base,5,,false,,Sasha Danilovic,,
base,6,,false,,Avery Johnson,,
base,7,,false,,Kenny Anderson,,
base,8,,false,,Antoine Walker,,
base,9,,false,,Nick Van Exel,,
base,10,,false,,Mookie Blaylock,,
base,11,,false,,Wesley Person,,
base,12,,false,,Vlade Divac,,
base,13,,false,,Glenn Robinson,,
base,14,,false,,Chris Mills,,
base,15,,false,,Latrell Sprewell,,
base,16,,false,,Jayson Williams,,
base,17,,false,,Travis Best,,
base,18,,false,,Charlie Ward,,
base,19,,false,,Theo Ratliff,,
base,20,,false,,Gary Payton,,
base,21,,false,,Marcus Camby,,
base,22,,false,,Clyde Drexler,,
base,23,,false,,Michael Jordan,,
base,24,,false,,Antonio McDyess,,
base,25,,false,,Stephon Marbury,,
base,26,,false,,Isaac Austin,,
base,27,,false,,Shareef Abdur-Rahim,,
base,28,,false,,Malik Sealy,,
base,29,,false,,Arvydas Sabonis,,
base,30,,false,,Kerry Kittles,,
base,31,,false,,Reggie Miller,,
base,32,,false,,Karl Malone,,
base,33,,false,,Grant Hill,,
base,34,,false,,Hakeem Olajuwon,,
base,35,,false,,Danny Ferry,,
base,36,,false,,Dominique Wilkins,,
base,37,,false,,Armon Gilliam,,
base,38,,false,,Danny Manning,,
base,39,,false,,Larry Johnson,,
base,40,,false,,Dino Radja,,
base,41,,false,,Jason Caffey,,
base,42,,false,,Jerry Stackhouse,,
base,43,,false,,Alonzo Mourning,,
base,44,,false,,Shawn Bradley,,
base,45,,false,,Bo Outlaw,,
base,46,,false,,Bryon Russell,,
base,47,,false,,Doug West,,
base,48,,false,,Lawrence Moten,,
base,49,,false,,Dale Ellis,,
base,50,,false,,Kobe Bryant,,
base,51,,false,,Carlos Rogers,,
base,52,,false,,Todd Fuller,,
base,53,,false,,Tyus Edney,,
base,54,,false,,Horace Grant,,
base,55,,false,,Dikembe Mutombo,,
base,56,,false,,Jim McIlvaine,,
base,57,,false,,Harvey Grant,,
base,58,,false,,Dean Garrett,,
base,59,,false,,Samaki Walker,,
base,60,,false,,Johnny Newman,,
base,61,,false,,Antonio Davis,,
base,62,,false,,Jamal Mashburn,,
base,63,,false,,Muggsy Bogues,,
base,64,,false,,Rod Strickland,,
base,65,,false,,Craig Ehlo,,
base,66,,false,,Rex Walters,,
base,67,,false,,Bob Sura,,
base,68,,false,,Travis Knight,,
base,69,,false,,Toni Kukoc,,
base,70,,false,,Antoine Carr,,
base,71,,false,,Mario Elie,,
base,72,,false,,Popeye Jones,,
base,73,,false,,David Wesley,,
base,74,,false,,John Wallace,,
base,75,,false,,Calbert Cheaney,,
base,76,,false,,Grant Long,,
base,77,,false,,Will Perdue,,
base,78,,false,,Rasheed Wallace,,
base,79,,false,,Chris Gatling,,
base,80,,false,,Corliss Williamson,,
base,81,,false,,B.J. Armstrong,,
base,82,,false,,Brian Shaw,,
base,83,,false,,Darrick Martin,,
base,84,,false,,Vinny Del Negro,,
base,85,,false,,Tony Delk,,
base,86,,false,,Greg Anthony,,
base,87,,false,,Mark Davis,,
base,88,,false,,Anthony Goldwire,,
base,89,,false,,Rex Chapman,,
base,90,,false,,Stojko Vrankovic,,
base,91,,false,,Dennis Rodman,,
base,92,,false,,Detlef Schrempf,,
base,93,,false,,Henry James,,
base,94,,false,,Tracy Murray,,
base,95,,false,,Voshon Lenard,,
base,96,,false,,Sharone Wright,,
base,97,,false,,Ed O'Bannon,,
base,98,,false,,Gerald Wilkins,,
base,99,,false,,Kevin Willis,,
base,100,,false,,Shaquille O'Neal,,
base,101,,false,,Jim Jackson,,
base,102,,false,,Mark Price,,
base,103,,false,,Patrick Ewing,,
base,104,,false,,Lorenzen Wright,,
base,105,,false,,Tyrone Hill,,
base,106,,false,,Ray Allen,,
base,107,,false,,Jermaine O'Neal,,
base,108,,false,,Anthony Mason,,
base,109,,false,,Mahmoud Abdul-Rauf,,
base,110,,false,,Terry Mills,,
base,111,,false,,Gheorghe Muresan,,
base,112,,false,,Mark Jackson,,
base,113,,false,,Greg Ostertag,,
base,114,,false,,Kevin Johnson,,
base,115,,false,,Anthony Peeler,,
base,116,,false,,Rony Seikaly,,
base,117,,false,,Keith Askins,,
base,118,,false,,Todd Day,,
base,119,,false,,Chris Childs,,
base,120,,false,,Chris Carr,,
base,121,,false,,Erick Strickland,,
base,122,,false,,Elden Campbell,,
base,123,,false,,Elliot Perry,,
base,124,,false,,Pooh Richardson,,
base,125,,false,,Juwan Howard,,
base,126,,false,,Ervin Johnson,,
base,127,,false,,Eric Montross,,
base,128,,false,,Otis Thorpe,,
base,129,,false,,Hersey Hawkins,,
base,130,,false,,Bimbo Coles,,
base,131,,false,,Olden Polynice,,
base,132,,false,,Christian Laettner,,
base,133,,false,,Sean Elliott,,
base,134,,false,,Othella Harrington,,
base,135,,false,,Erick Dampier,,
base,136,,false,,Vitaly Potapenko,,
base,137,,false,,Doug Christie,,
base,138,,false,,Luc Longley,,
base,139,,false,,Clarence Weatherspoon,,
base,140,,false,,Gary Trent,,
base,141,,false,,Shandon Anderson,,
base,142,,false,,Sam Perkins,,
base,143,,false,,Derek Harper,,
base,144,,false,,Robert Horry,,
base,145,,false,,Roy Rogers,,
base,146,,false,,John Starks,,
base,147,,false,,Tyrone Corbin,,
base,148,,false,,Andrew Lang,,
base,149,,false,,Derek Strong,,
base,150,,false,,Joe Smith,,
base,151,,false,,Ron Harper,,
base,152,,false,,Sam Cassell,,
base,153,,false,,Brent Barry,,
base,154,,false,,LaPhonso Ellis,,
base,155,,false,,Matt Geiger,,
base,156,,false,,Steve Nash,,
base,157,,false,,Michael Smith,,
base,158,,false,,Eric Williams,,
