category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Andruw Jones FOIL,,
base,2,,false,,Kevin Orie FOIL,,
base,3,,false,,Nomar Garciaparra FOIL,,
base,4,,false,,Jose Guillen FOIL,,
base,5,,false,,Todd Walker FOIL,,
base,6,,false,,Derrick Gibson FOIL,,
base,7,,false,,Aaron Boone FOIL,,
base,8,,false,,Bartolo Colon FOIL,,
base,9,,false,,Derrek Lee FOIL,,
base,10,,false,,Vladimir Guerrero FOIL,,
base,11,,false,,Wilton Guerrero FOIL,,
base,12,,false,,Luis Castillo FOIL,,
base,13,,false,,Jason Dickson FOIL,,
base,14,,false,,Bubba Trammell FOIL,,
base,15,,false,,Jose Cruz Jr. FOIL,,
base,16,,false,,Eddie Murray,,
base,17,,false,,Darin Erstad,,
base,18,,false,,Garret Anderson,,
base,19,,false,,Jim Edmonds,,
base,20,,false,,Tim Salmon,,
base,21,,false,,Chuck Finley,,
base,22,,false,,John Smoltz,,
base,23,,false,,Greg Maddux,,
base,24,,false,,Kenny Lofton,,
base,25,,false,,Chipper Jones,,
base,26,,false,,Ryan Klesko,,
base,27,,false,,Javy Lopez,,
base,28,,false,,Fred McGriff,,
base,29,,false,,Roberto Alomar,,
base,30,,false,,Rafael Palmeiro,,
base,31,,false,,Mike Mussina,,
base,32,,false,,Brady Anderson,,
base,33,,false,,Rocky Coppinger,,
base,34,,false,,Cal Ripken Jr.,,
base,35,,false,,Mo Vaughn,,
base,36,,false,,Steve Avery,,
base,37,,false,,Tom Gordon,,
base,38,,false,,Tim Naehring,,
base,39,,false,,Troy O'Leary,,
base,40,,false,,Sammy Sosa,,
base,41,,false,,Brian McRae,,
base,42,,false,,Mel Rojas,,
base,43,,false,,Ryne Sandberg,,
base,44,,false,,Mark Grace,,
base,45,,false,,Albert Belle,,
base,46,,false,,Robin Ventura,,
base,47,,false,,Roberto Hernandez,,
base,48,,false,,Ray Durham,,
base,49,,false,,Harold Baines,,
base,50,,false,,Frank Thomas,,
base,51,,false,,Bret Boone,,
base,52,,false,,Reggie Sanders,,
base,53,,false,,Deion Sanders,,
base,54,,false,,Hal Morris,,
base,55,,false,,Barry Larkin,,
base,56,,false,,Jim Thome,,
base,57,,false,,Marquis Grissom,,
base,58,,false,,David Justice,,
base,59,,false,,Charles Nagy,,
base,60,,false,,Manny Ramirez,,
base,61,,false,,Matt Williams,,
base,62,,false,,Jack McDowell,,
base,63,,false,,Vinny Castilla,,
base,64,,false,,Dante Bichette,,
base,65,,false,,Andres Galarraga,,
base,66,,false,,Ellis Burks,,
base,67,,false,,Larry Walker,,
