category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Chipper Jones,,
base,2,,false,,Greg Maddux,,
base,3,,false,,Denny Neagle,,
base,4,,false,,Roberto Alomar,,
base,5,,false,,Rafael Palmeiro,,
base,6,,false,,Cal Ripken Jr.,,
base,7,,false,,Nomar Garciaparra,,
base,8,,false,,Mo Vaughn,,
base,9,,false,,Frank Thomas,,
base,10,,false,,Sandy Alomar Jr.,,
base,11,,false,,David Justice,,
base,12,,false,,Manny Ramirez,,
base,13,,false,,Andres Galarraga,,
base,14,,false,,Larry Walker,,
base,15,,false,,Moises Alou,,
base,16,,false,,Livan Hernandez,,
base,17,,false,,Gary Sheffield,,
base,18,,false,,Jeff Bagwell,,
base,19,,false,,Raul Mondesi,,
base,20,,false,,Hideo Nomo,,
base,21,,false,,Mike Piazza,,
base,22,,false,,Derek Jeter,,
base,23,,false,,Tino Martinez,,
base,24,,false,,Bernie Williams,,
base,25,,false,,Ben Grieve,,
base,26,,false,,Mark McGwire,,
base,27,,false,,Tony Gwynn,,
base,28,,false,,Barry Bonds,,
base,29,,false,,Ken Griffey Jr.,,
base,30,,false,,Randy Johnson,,
base,31,,false,,Edgar Martinez,,
base,32,,false,,Alex Rodriguez,,
base,33,,false,,Juan Gonzalez,,
base,34,,false,,Ivan Rodriguez,,
base,35,,false,,Roger Clemens,,
base,36,,false,,Jose Cruz Jr.,,
