category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Nomar Garciaparra
base,2,Base,false,,Miguel Tejada
base,3,Base,false,,Mike Cameron
base,4,Base,false,,Ken Cloude
base,5,Base,false,,Jaret Wright
base,6,Base,false,,Mark Kotsay
base,7,Base,false,,Craig Counsell
base,8,Base,false,,Jose Guillen
base,9,Base,false,,Neifi Perez
base,10,Base,false,,Jose Cruz Jr.
base,11,Base,false,,Brett Tomko
base,12,Base,false,,Matt Morris
base,13,Base,false,,Justin Thompson
base,14,Base,false,,Jeremi Gonzalez
base,15,Base,false,,Scott Rolen
base,16,Base,false,,Vladimir Guerrero
base,17,Base,false,,Brad Fullmer
base,18,Base,false,,Brian Giles
base,19,Base,false,,Todd Dunwoody
base,20,Base,false,,Ben Grieve
base,21,Base,false,,Juan Encarnacion
base,22,Base,false,,Aaron Boone
base,23,Base,false,,Richie Sexson
base,24,Base,false,,Richard Hidalgo
base,25,Base,false,,Andruw Jones
base,26,Base,false,,Todd Helton
base,27,Base,false,,Paul Konerko
base,28,Base,false,,Dante Powell
base,29,Base,false,,Eli Marrero
base,30,Base,false,,Derek Jeter
base,31,Base,false,,Mike Piazza
base,32,Base,false,,Tony Clark
base,33,Base,false,,Larry Walker
base,34,Base,false,,Jim Thome
base,35,Base,false,,Juan Gonzalez
base,36,Base,false,,Jeff Bagwell
base,37,Base,false,,Jay Buhner
base,38,Base,false,,Tim Salmon
base,39,Base,false,,Albert Belle
base,40,Base,false,,Mark McGwire
base,41,Base,false,,Sammy Sosa
base,42,Base,false,,Mo Vaughn
base,43,Base,false,,Manny Ramirez
base,44,Base,false,,Tino Martinez
base,45,Base,false,,Frank Thomas
base,46,Base,false,,Nomar Garciaparra
base,47,Base,false,,Alex Rodriguez
base,48,Base,false,,Chipper Jones
base,49,Base,false,,Barry Bonds
base,50,Base,false,,Ken Griffey Jr.
base,51,Base,false,,Jason Dickson
base,52,Base,false,,Jim Edmonds
base,53,Base,false,,Darin Erstad
base,54,Base,false,,Tim Salmon
base,55,Base,false,,Chipper Jones
base,56,Base,false,,Ryan Klesko
base,57,Base,false,,Tom Glavine
base,58,Base,false,,Denny Neagle
base,59,Base,false,,John Smoltz
base,60,Base,false,,Javy Lopez
base,61,Base,false,,Roberto Alomar
base,62,Base,false,,Rafael Palmeiro
base,63,Base,false,,Mike Mussina
base,64,Base,false,,Cal Ripken Jr.
base,65,Base,false,,Mo Vaughn
base,66,Base,false,,Tim Naehring
base,67,Base,false,,John Valentin
base,68,Base,false,,Mark Grace
base,69,Base,false,,Kevin Orie
base,70,Base,false,,Sammy Sosa
base,71,Base,false,,Albert Belle
base,72,Base,false,,Frank Thomas
base,73,Base,false,,Robin Ventura
base,74,Base,false,,Dave Justice
base,75,Base,false,,Kenny Lofton
base,76,Base,false,,Omar Vizquel
base,77,Base,false,,Manny Ramirez
base,78,Base,false,,Jim Thome
base,79,Base,false,,Dante Bichette
base,80,Base,false,,Larry Walker
base,81,Base,false,,Vinny Castilla
base,82,Base,false,,Ellis Burks
base,83,Base,false,,Bob Higginson
base,84,Base,false,,Brian L. Hunter
base,85,Base,false,,Tony Clark
base,86,Base,false,,Mike Hampton
base,87,Base,false,,Jeff Bagwell
base,88,Base,false,,Craig Biggio
base,89,Base,false,,Derek Bell
base,90,Base,false,,Mike Piazza
base,91,Base,false,,Ramon Martinez
base,92,Base,false,,Raul Mondesi
base,93,Base,false,,Hideo Nomo
base,94,Base,false,,Eric Karros
base,95,Base,false,,Paul Molitor
base,96,Base,false,,Marty Cordova
base,97,Base,false,,Brad Radke
base,98,Base,false,,Mark Grudzielanek
base,99,Base,false,,Carlos Perez
base,100,Base,false,,Rondell White
base,101,Base,false,,Todd Hundley
base,102,Base,false,,Edgardo Alfonzo
base,103,Base,false,,John Franco
base,104,Base,false,,John Olerud
base,105,Base,false,,Tino Martinez
base,106,Base,false,,David Cone
base,107,Base,false,,Paul O'Neill
base,108,Base,false,,Andy Pettitte
base,109,Base,false,,Bernie Williams
base,110,Base,false,,Rickey Henderson
base,111,Base,false,,Jason Giambi
base,112,Base,false,,Matt Stairs
base,113,Base,false,,Gregg Jefferies
base,114,Base,false,,Rico Brogna
base,115,Base,false,,Curt Schilling
base,116,Base,false,,Jason Schmidt
base,117,Base,false,,Jose Guillen
base,118,Base,false,,Kevin Young
base,119,Base,false,,Ray Lankford
base,120,Base,false,,Mark McGwire
base,121,Base,false,,Delino DeShields
base,122,Base,false,,Ken Caminiti
base,123,Base,false,,Tony Gwynn
base,124,Base,false,,Trevor Hoffman
base,125,Base,false,,Barry Bonds
base,126,Base,false,,Jeff Kent
base,127,Base,false,,Shawn Estes
base,128,Base,false,,J.T. Snow
base,129,Base,false,,Jay Buhner
base,130,Base,false,,Ken Griffey Jr.
base,131,Base,false,,Dan Wilson
base,132,Base,false,,Edgar Martinez
base,133,Base,false,,Alex Rodriguez
