category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Darin Erstad,,
base,2,,false,,Randy Johnson,,
base,3,,false,,Chipper Jones,,
base,4,,false,,Jay Gibbons,,
base,5,,false,,Nomar Garciaparra,,
base,6,,false,,Sammy Sosa,,
base,7,,false,,Frank Thomas,,
base,8,,false,,Ken Griffey Jr.,,
base,9,,false,,Jim Thome,,
base,10,,false,,Todd Helton,,
base,11,,false,,Jeff Weaver,,
base,12,,false,,Cliff Floyd,,
base,13,,false,,Jeff Bagwell,,
base,14,,false,,Mike Sweeney,,
base,15,,false,,Adrian Beltre,,
base,16,,false,,Richie Sexson,,
base,17,,false,,Brad Radke,,
base,18,,false,,Vladimir Guerrero,,
base,19,,false,,Mike Piazza,,
base,20,,false,,Derek Jeter,,
base,21,,false,,Eric Chavez,,
base,22,,false,,Pat Burrell,,
base,23,,false,,Brian Giles,,
base,24,,false,,Trevor Hoffman,,
base,25,,false,,Barry Bonds,,
base,26,,false,,Ichiro Suzuki,,
base,27,,false,,Albert Pujols,,
base,28,,false,,Ben Grieve,,
base,29,,false,,Alex Rodriguez,,
base,30,,false,,Carlos Delgado,,
base,31,,false,,Miguel Tejada,,
base,32,,false,,Todd Hollandsworth,,
base,33,,false,,Marlon Anderson,,
base,34,,false,,Kerry Robinson,,
base,35,,false,,Chris Richard,,
base,36,,false,,Jamey Wright,,
base,37,,false,,Ray Lankford,,
base,38,,false,,Mike Bordick,,
base,39,,false,,Danny Graves,,
base,40,,false,,A.J. Pierzynski,,
base,41,,false,,Shannon Stewart,,
base,42,,false,,Tony Armas Jr.,,
base,43,,false,,Brad Ausmus,,
base,44,,false,,Alfonso Soriano,,
base,45,,false,,Junior Spivey,,
base,46,,false,,Brent Mayne,,
base,47,,false,,Jim Thome,,
base,48,,false,,Dan Wilson,,
base,49,,false,,Geoff Jenkins,,
base,50,,false,,Kris Benson,,
base,51,,false,,Rafael Furcal,,
base,52,,false,,Wiki Gonzalez,,
base,53,,false,,Jeff Kent,,
base,54,,false,,Curt Schilling,,
base,55,,false,,Ken Harvey,,
base,56,,false,,Roosevelt Brown,,
base,57,,false,,David Segui,,
base,58,,false,,Mario Valdez,,
base,59,,false,,Adam Dunn,,
base,60,,false,,Bobby Howry,,
base,61,,false,,Michael Barrett,,
base,62,,false,,Garret Anderson,,
base,63,,false,,Kelvim Escobar,,
base,64,,false,,Ben Grieve,,
base,65,,false,,Randy Johnson,,
base,66,,false,,Jose Offerman,,
base,67,,false,,Jason Kendall,,
base,68,,false,,Joel Pineiro,,
base,69,,false,,Alex Escobar,,
base,70,,false,,Chris George,,
base,71,,false,,Bobby Higginson,,
base,72,,false,,Nomar Garciaparra,,
base,73,,false,,Pat Burrell,,
base,74,,false,,Lee Stevens,,
base,75,,false,,Felipe Lopez,,
base,76,,false,,Al Leiter,,
base,77,,false,,Jim Edmonds,,
base,78,,false,,Al Levine,,
base,79,,false,,Raul Mondesi,,
base,80,,false,,Jose Valentin,,
base,81,,false,,Matt Clement,,
base,82,,false,,Richard Hidalgo,,
base,83,,false,,Jamie Moyer,,
base,84,,false,,Brian Schneider,,
base,85,,false,,John Franco,,
base,86,,false,,Brian Buchanan,,
base,87,,false,,Roy Oswalt,,
base,88,,false,,Johnny Estrada,,
base,89,,false,,Marcus Giles,,
base,90,,false,,Carlos Valderrama,,
base,91,,false,,Mark Mulder,,
base,92,,false,,Mark Grace,,
base,93,,false,,Andy Ashby,,
base,94,,false,,Woody Williams,,
base,95,,false,,Ben Petrick,,
base,96,,false,,Roy Halladay,,
base,97,,false,,Fred McGriff,,
base,98,,false,,Shawn Green,,
base,99,,false,,Todd Hundley,,
base,100,,false,,Carlos Febles,,
base,101,,false,,Jason Marquis,,
base,102,,false,,Mike Redmond,,
base,103,,false,,Shane Halter,,
base,104,,false,,Trot Nixon,,
base,105,,false,,Jeremy Giambi,,
base,106,,false,,Carlos Delgado,,
base,107,,false,,Richie Sexson,,
base,108,,false,,Russ Ortiz,,
base,109,,false,,David Ortiz,,
base,110,,false,,Curt Leskanic,,
base,111,,false,,Jay Payton,,
base,112,,false,,Travis Phelps,,
base,113,,false,,J.T. Snow,,
base,114,,false,,Edgar Renteria,,
base,115,,false,,Freddy Garcia,,
base,116,,false,,Cliff Floyd,,
base,117,,false,,Charles Nagy,,
base,118,,false,,Tony Batista,,
