category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,,false,,Aaron Glenn,,
base,2,,false,,Jerry Rice,,
base,3,,false,,Chad Hutchinson,,
base,4,,false,,Kris Jenkins,,
base,5,,false,,Ed Reed,,
base,6,,false,,Ed McCaffrey,,
base,7,,false,,Rod Gardner,,
base,8,,false,,Aaron Brooks,,
base,9,,false,,Chad Pennington,,
base,10,,false,,Jevon Kearse,,
base,11,,false,,Kurt Warner,,
base,12,,false,,Eddie George,,
base,13,,false,,Ron Dugans,,
base,14,,false,,Adam Vinatieri,,
base,15,,false,,Jimmy Smith,,
base,16,,false,,Chad Johnson,,
base,17,,false,,Kyle Brady,,
base,18,,false,,Eddie Kennison,,
base,19,,false,,Joe Jurevicius,,
base,20,,false,,Ronde Barber,,
base,21,,false,,Adam Archuleta,,
base,22,,false,,Champ Bailey,,
base,23,,false,,Joe Horn,,
base,24,,false,,Ladell Betts,,
base,25,,false,,Edgerrin James,,
base,26,,false,,Rosevelt Colvin,,
base,27,,false,,Ahman Green,,
base,28,,false,,Joey Porter,,
base,29,,false,,Charles Woodson,,
base,30,,false,,Lance Schulters,,
base,31,,false,,Edgerton Hartwell,,
base,32,,false,,Joey Galloway,,
base,33,,false,,Roy Williams,,
base,34,,false,,Al Wilson,,
base,35,,false,,Charlie Garner,,
base,36,,false,,John Lynch,,
base,37,,false,,La'Roi Glover,,
base,38,,false,,Emmitt Smith,,
base,39,,false,,Ryan Longwell,,
base,40,,false,,Alge Crumpler,,
base,41,,false,,John Abraham,,
base,42,,false,,Chris Hovan,,
base,43,,false,,Laveranues Coles,,
base,44,,false,,Eric Hicks,,
base,45,,false,,Johnnie Morton,,
base,46,,false,,Sam Madison,,
base,47,,false,,Amani Toomer,,
base,48,,false,,Chris Redman,,
base,49,,false,,Jon Kitna,,
base,50,,false,,Leonard Little,,
base,51,,false,,Eric Moulds,,
base,52,,false,,Santana Moss,,
base,53,,false,,Amos Zereoue,,
base,54,,false,,Jonathan Wells,,
base,55,,false,,Chris Chambers,,
base,56,,false,,London Fletcher,,
base,57,,false,,Frank Wycheck,,
base,58,,false,,Josh McCown,,
base,59,,false,,Shannon Sharpe,,
base,60,,false,,Andre Carter,,
base,61,,false,,Corey Dillon,,
base,62,,false,,Josh Reed,,
base,63,,false,,Marc Boerigter,,
base,64,,false,,Fred Smoot,,
base,65,,false,,Shaun Alexander,,
base,66,,false,,Andre Davis,,
base,67,,false,,Julian Peterson,,
base,68,,false,,Corey Bradford,,
base,69,,false,,Marc Bulger,,
base,70,,false,,Fred Taylor,,
base,71,,false,,Junior Seau,,
base,72,,false,,Simeon Rice,,
base,73,,false,,Anthony Thomas,,
base,74,,false,,Correll Buckhalter,,
base,75,,false,,Justin Smith,,
base,76,,false,,Marcel Shipp,,
base,77,,false,,Garrison Hearst,,
base,78,,false,,Stacey Mack,,
base,79,,false,,Antowain Smith,,
base,80,,false,,Kabeer Gbaja-Biamila,,
base,81,,false,,Curtis Martin,,
base,82,,false,,Marcellus Wiley,,
base,83,,false,,Gary Walker,,
base,84,,false,,Kalimba Edwards,,
base,85,,false,,Stephen Davis,,
base,86,,false,,Antwaan Randle El,,
base,87,,false,,Curtis Conway,,
base,88,,false,,Keith Brooking,,
base,89,,false,,Mark Word,,
base,90,,false,,Greg Ellis,,
base,91,,false,,Steve McNair,,
base,92,,false,,Ashley Lelie,,
base,93,,false,,Kelly Holcomb,,
base,94,,false,,Darrell Jackson,,
base,95,,false,,Mark Brunell,,
base,96,,false,,Hugh Douglas,,
base,97,,false,,Kendrell Bell,,
base,98,,false,,Steve Smith,,
base,99,,false,,Bill Schroeder,,
base,100,,false,,Darren Howard,,
base,101,,false,,Kevan Barlow,,
base,102,,false,,Marshall Faulk,,
base,103,,false,,Ike Hilliard,,
base,104,,false,,T.J. Duckett,,
base,105,,false,,Bobby Taylor,,
base,106,,false,,Kevin Carter,,
base,107,,false,,Darren Sharper,,
base,108,,false,,Marty Booker,,
base,109,,false,,Isaac Bruce,,
base,110,,false,,Kevin Hardy,,
base,111,,false,,Tai Streets,,
base,112,,false,,Brad Johnson,,
base,113,,false,,Daunte Culpepper,,
base,114,,false,,Kevin Johnson,,
base,115,,false,,Matt Hasselbeck,,
base,116,,false,,Jabar Gaffney,,
base,117,,false,,Takeo Spikes,,
base,118,,false,,Brett Favre,,
base,119,,false,,Keyshawn Johnson,,
base,120,,false,,David Akers,,
base,121,,false,,Maurice Morris,,
base,122,,false,,Jake Delhomme,,
base,123,,false,,Kordell Stewart,,
base,124,,false,,Terrell Davis,,
base,125,,false,,Brian Kelly,,
base,126,,false,,David Terrell,,
base,127,,false,,Koren Robinson,,
base,128,,false,,Michael Strahan,,
base,129,,false,,Jake Plummer,,
base,130,,false,,Terrell Owens,,
base,131,,false,,Brian Urlacher,,
base,132,,false,,David Patten,,
base,133,,false,,Michael Vick,,
base,134,,false,,Jamal Lewis,,
base,135,,false,,Terry Glenn,,
base,136,,false,,Brian Simmons,,
base,137,,false,,David Boston,,
base,138,,false,,Michael Bennett,,
base,139,,false,,James Stewart,,
base,140,,false,,Tiki Barber,,
base,141,,false,,Brian Griese,,
base,142,,false,,Deion Branch,,
base,143,,false,,Mike Peterson,,
base,144,,false,,James Mungro,,
base,145,,false,,Tim Couch,,
base,146,,false,,Brian Dawkins,,
base,147,,false,,Dennis Northcutt,,
base,148,,false,,Mike Alstott,,
base,149,,false,,James Thrash,,
base,150,,false,,Tim Brown,,
base,151,,false,,Brian Finneran,,
base,152,,false,,Derrick Brooks,,
base,153,,false,,Muhsin Muhammad,,
base,154,,false,,Jason Elam,,
base,155,,false,,Tim Dwight,,
base,156,,false,,Bruce Smith,,
base,157,,false,,Derrick Mason,,
base,158,,false,,Napoleon Harris,,
base,159,,false,,Jason Gildon,,
base,160,,false,,Todd Heap,,
base,161,,false,,Aaron Schobel,,
base,162,,false,,Derrius Thompson,,
base,163,,false,,Nate Clements,,
base,164,,false,,Jason McAddley,,
base,165,,false,,Todd Pinkston,,
base,166,,false,,Bubba Franks,,
base,167,,false,,Deuce McAllister,,
base,168,,false,,Patrick Surtain,,
base,169,,false,,Javon Walker,,
base,170,,false,,Tom Brady,,
base,171,,false,,Dexter Coakley,,
base,172,,false,,Patrick Kerney,,
base,173,,false,,Jay Fiedler,,
base,174,,false,,Tommy Maddox,,
base,175,,false,,Donald Driver,,
base,176,,false,,Patrick Ramsey,,
base,177,,false,,Olandis Gary,,
base,178,,false,,Tony Gonzalez,,
base,179,,false,,Donnie Edwards,,
base,180,,false,,Peter Boulware,,
base,181,,false,,Jeff Blake,,
base,182,,false,,Torry Holt,,
base,183,,false,,Donovan McNabb,,
base,184,,false,,Peter Warrick,,
base,185,,false,,Jeff Garcia,,
base,186,,false,,Travis Henry,,
base,187,,false,,Doug Jolley,,
base,188,,false,,Peyton Manning,,
base,189,,false,,Jerome Bettis,,
base,190,,false,,Travis Taylor,,
base,191,,false,,Drew Brees,,
base,192,,false,,Phillip Buchanon,,
base,193,,false,,Jerramy Stevens,,
base,194,,false,,Trent Green,,
base,195,,false,,Duce Staley,,
base,196,,false,,Plaxico Burress,,
base,197,,false,,Jerry Porter,,
base,198,,false,,Trevor Pryce,,
base,199,,false,,Dwight Freeney,,
base,200,,false,,Quincy Morgan,,
base,201,,false,,Troy Vincent,,
base,202,,false,,Randy McMichael,,
base,203,,false,,Troy Hambrick,,
base,204,,false,,Randy Moss,,
base,205,,false,,Troy Brown,,
base,206,,false,,Ray Lewis,,
base,207,,false,,Trung Canidate,,
base,208,,false,,Raynoch Thompson,,
base,209,,false,,Ty Law,,
base,210,,false,,Reggie Wayne,,
base,211,,false,,Warren Sapp,,
base,212,,false,,Richard Seymour,,
base,213,,false,,Warrick Dunn,,
base,214,,false,,Robert Ferguson,,
base,215,,false,,Wayne Chrebet,,
base,216,,false,,Rod Coleman,,
base,217,,false,,Will Allen,,
base,218,,false,,Rod Woodson,,
base,219,,false,,Zach Thomas,,
base,220,,false,,Rod Smith,,
base,221,,false,,Ricky Williams,,
base,222,,false,,LaDainian Tomlinson,,
base,223,,false,,Priest Holmes,,
base,224,,false,,Rich Gannon,,
base,225,,false,,Drew Bledsoe,,
base,226,,false,,Kerry Collins,,
base,227,,false,,Marvin Harrison,,
base,228,,false,,Hines Ward,,
base,229,,false,,Peerless Price,,
base,230,,false,,Jason Taylor,,
base,231,,false,,Jeremy Shockey,,
base,232,,false,,Clinton Portis,,
base,233,,false,,Antonio Bryant,,
base,234,,false,,Donte Stallworth,,
base,235,,false,,David Carr,,
base,236,,false,,Joey Harrington,,
base,237,,false,,William Green,,
base,238,,false,,Julius Peppers,,
base,239,,false,,Adrian Wilson/Marcel Shipp/Raynoch Thompson,,
base,240,,false,,Warrick Dunn/Keith Brooking/Brian Finneran/Michael Vick,,
base,241,,false,,Travis Taylor/Jamal Lewis/Ed Reed/Edgerton Hartwell,,
base,242,,false,,Eric Moulds/London Fletcher/Travis Henry/Drew Bledsoe,,
base,243,,false,,Muhsin Muhammad/Julius Peppers/Steve Smith,,
base,244,,false,,Anthony Thomas/Marty Booker/Brian Urlacher,,
base,245,,false,,Chad Johnson/Justin Smith/Corey Dillon/Jon Kitna,,
base,246,,false,,William Green/Quincy Morgan/Tim Couch,,
base,247,,false,,Joey Galloway/Greg Ellis/Chad Hutchinson/Roy Williams,,
base,248,,false,,Rod Smith/Al Wilson/Clinton Portis,,
base,249,,false,,Joey Harrington/James Stewart/Kalimba Edwards/Bill Schroeder,,
base,250,,false,,Kabeer Gbaja-Biamila/Donald Driver/Ahman Green/Brett Favre,,
base,251,,false,,David Carr/Aaron Glenn/Jonathan Wells/Corey Bradford,,
base,252,,false,,Marvin Harrison/Peyton Manning/Edgerrin James/Dwight Freeney,,
base,253,,false,,Mark Brunell/Marlon McCree/Jimmy Smith/Fred Taylor,,
base,254,,false,,Eddie Kennison/Eric Hicks/Priest Holmes/Trent Green,,
base,255,,false,,Zach Thomas/Jason Taylor/Ricky Williams/Chris Chambers,,
base,256,,false,,Randy Moss/Moe Williams/Daunte Culpepper/Michael Bennett,,
base,257,,false,,Antowain Smith/Adam Vinatieri/Troy Brown/Tom Brady,,
base,258,,false,,Darren Howard/Joe Horn/Deuce McAllister/Aaron Brooks,,
base,259,,false,,Amani Toomer/Tiki Barber/Kerry Collins/Michael Strahan,,
base,260,,false,,Wayne Chrebet/Chad Pennington/Curtis Martin/John Abraham,,
base,261,,false,,Jerry Rice/Rod Woodson/Charlie Garner/Rich Gannon,,
base,262,,false,,Bobby Taylor/Steve McNair/Todd Pinkston/Duce Staley,,
base,263,,false,,Hines Ward/Jason Gildon/Amos Zereoue/Tommy Maddox,,
base,264,,false,,LaDainian Tomlinson/Donnie Edwards/Drew Brees,,
base,265,,false,,Garrison Hearst/Jeff Garcia/Terrell Owens/Andre Carter,,
base,266,,false,,Shaun Alexander/Koren Robinson/Reggie Tongue/Matt Hasselbeck,,
base,267,,false,,Marc Bulger/Leonard Little/Marshall Faulk/Torry Holt,,
base,268,,false,,Brad Johnson/Keyshawn Johnson/Jerry Rice/Brian Kelly,,
base,269,,false,,Steve McNair/Lance Schulters/Derrick Mason/Eddie George,,
base,270,,false,,Rod Gardner/Patrick Ramsey/Fred Smoot,,
base,271,,false,,Carson Palmer,,
base,272,,false,,Kyle Boller,,
base,273,,false,,Byron Leftwich,,
base,274,,false,,Willis McGahee,,
base,275,,false,,Larry Johnson,,
base,276,,false,,Charles Rogers,,
base,277,,false,,Andre Johnson,,
base,278,,false,,Bryant Johnson,,
base,279,,false,,Rex Grossman,,
base,280,,false,,Taylor Jacobs,,
base,281,,false,,Kevin Williams/DeWayne Robertson/Johnathan Sullivan,,
base,282,,false,,Domanick Williams/Dave Ragone/Bennie Joppru,,
base,283,,false,,Dallas Clark/L.J. Smith/Jason Witten,,
base,284,,false,,Musa Smith/Boss Bailey/Terrence Edwards,,
base,285,,false,,Lee Suggs/Chris Brown/Onterrio Smith,,
base,286,,false,,Artose Pinner/Quentin Griffin/B.J. Askew,,
base,287,,false,,Doug Gabriel/Justin Fargas/Teyo Johnson,,
base,288,,false,,William Joseph/Ty Warren/Jimmy Kennedy,,
base,289,,false,,Terrell Suggs/Michael Haynes/Jerome McDougle,,
base,290,,false,,Kelley Washington/Kevin Curtis/Nate Burleson,,
base,291,,false,,Chris Simms/Seneca Wallace/Ken Dorsey,,
base,292,,false,,Sam Aiken/Bobby Wade/Justin Gage,,
base,293,,false,,Sultan McCullough/Earnest Graham/Cecil Sapp,,
base,294,,false,,Talman Gardner/Kareem Kelly/J.R. Tolver,,
base,295,,false,,Bethel Johnson/Anquan Boldin/Tyrone Calico,,
base,296,,false,,Billy McMullen/Shaun McDonald/Brandon Lloyd,,
base,297,,false,,Mike Doss/Chris Kelsay/DeWayne White,,
base,298,,false,,Terence Newman/Marcus Trufant/Andre Woolfolk,,
base,299,,false,,Kliff Kingsbury/Brian St.Pierre/Tony Romo,,
base,300,,false,,LaBrandon Toefield/Avon Cobourne/Andrew Pinnock,,
