category,cardNumber,parallel,isAuto,printRun,player
base,BDP1,Base,false,,Matt Kemp
base,BDP2,Base,false,,Taylor Tankersley
base,BDP3,Base,false,,Mike Napoli
base,BDP4,Base,false,,Brian Bannister
base,BDP5,Base,false,,Melky Cabrera
base,BDP6,Base,false,,Bill Bray
base,BDP7,Base,false,,Brian Anderson
base,BDP8,Base,false,,Jered Weaver
base,BDP9,Base,false,,Chris Duncan
base,BDP10,Base,false,,Boof Bonser
base,BDP11,Base,false,,Mike Rouse
base,BDP12,Base,false,,David Pauley
base,BDP13,Base,false,,Russ Martin
base,BDP14,Base,false,,Jeremy Sowers
base,BDP15,Base,false,,Kevin Reese
base,BDP16,Base,false,,John Rheinecker
base,BDP17,Base,false,,Tommy Murphy
base,BDP18,Base,false,,Sean Marshall
base,BDP19,Base,false,,Jason Kubel
base,BDP20,Base,false,,Chad Billingsley
base,BDP21,Base,false,,Kendry Morales
base,BDP22,Base,false,,Jon Lester
base,BDP23,Base,false,,Brandon Fahey
base,BDP24,Base,false,,Josh Johnson
base,BDP25,Base,false,,Kevin Frandsen
base,BDP26,Base,false,,Casey Janssen
base,BDP27,Base,false,,Scott Thorman
base,BDP28,Base,false,,Scott Mathieson
base,BDP29,Base,false,,Jeremy Hermida
base,BDP30,Base,false,,Dustin Nippert
base,BDP31,Base,false,,Kevin Thompson
base,BDP32,Base,false,,Bobby Livingston
base,BDP33,Base,false,,Travis Ishikawa
base,BDP34,Base,false,,Jeff Mathis
base,BDP35,Base,false,,Charlie Haeger
base,BDP36,Base,false,,Josh Willingham
base,BDP37,Base,false,,Taylor Buchholz
base,BDP38,Base,false,,Joel Guzman
base,BDP39,Base,false,,Zach Jackson
base,BDP40,Base,false,,Howie Kendrick
base,BDP41,Base,false,,T.J. Beam
base,BDP42,Base,false,,Ty Taubenheim
base,BDP43,Base,false,,Erick Aybar
base,BDP44,Base,false,,Anibal Sanchez
base,BDP45,Base,false,,Michael Pelfrey
base,BDP46,Base,false,,Shawn Hill
base,BDP47,Base,false,,Chris Roberson
base,BDP48,Base,false,,Carlos Villanueva
base,BDP49,Base,false,,Andre Ethier
base,BDP50,Base,false,,Anthony Reyes
base,BDP51,Base,false,,Franklin Gutierrez
base,BDP52,Base,false,,Angel Guzman
base,BDP53,Base,false,,Michael O'Connor
base,BDP54,Base,false,,James Shields
base,BDP55,Base,false,,Nate McLouth
insert-draft-picks,DP1,Base,false,,Tyler Colvin
insert-draft-picks,DP2,Base,false,,Chris Marrero
insert-draft-picks,DP3,Base,false,,Preston Mattingly
insert-draft-picks,DP4,Base,false,,Chris Parmelee
insert-draft-picks,DP5,Base,false,,Jason Place
insert-draft-picks,DP6,Base,false,,Billy Rowell
insert-draft-picks,DP7,Base,false,,Travis Snider
insert-draft-picks,DP8,Base,false,,Colton Willems
insert-draft-picks,DP9,Base,false,,Chase Fontaine
insert-draft-picks,DP10,Base,false,,Jon Jay
insert-draft-picks,DP11,Base,false,,Wade Leblanc
insert-draft-picks,DP12,Base,false,,Justin Masterson
insert-draft-picks,DP13,Base,false,,Gary Daley
insert-draft-picks,DP14,Base,false,,Justin Edwards
insert-draft-picks,DP15,Base,false,,Shelby Ford
insert-draft-picks,DP16,Base,false,,Cyle Hankerd
insert-draft-picks,DP17,Base,false,,Zack McAllister
insert-draft-picks,DP18,Base,false,,Tyler Robertson
insert-draft-picks,DP19,Base,false,,Joe Smith
insert-draft-picks,DP20,Base,false,,Nate Culp
insert-draft-picks,DP21,Base,false,,John Holdzkom
insert-draft-picks,DP22,Base,false,,Lee Hyde
insert-draft-picks,DP23,Base,false,,Chad Lee
insert-draft-picks,DP24,Base,false,,Ryan Morris
insert-draft-picks,DP25,Base,false,,D'Arby Myers
insert-draft-picks,DP26,Base,false,,Garrett Olson
insert-draft-picks,DP27,Base,false,,Jon Still
insert-draft-picks,DP28,Base,false,,Patrick Bresnehan
insert-draft-picks,DP29,Base,false,,Chris Davis
insert-draft-picks,DP30,Base,false,,Kevin Gunderson
insert-draft-picks,DP31,Base,false,,Bobby Henson
insert-draft-picks,DP32,Base,false,,George Kontos
insert-draft-picks,DP33,Base,false,,Jermaine Mitchell
insert-draft-picks,DP34,Base,false,,Sean O'Malley
insert-draft-picks,DP35,Base,false,,Dustin Richardson
insert-draft-picks,DP36,Base,false,,Andy Underwood
insert-draft-picks,DP37,Base,false,,Nevin Ashley
insert-draft-picks,DP38,Base,false,,Jeff Christy
insert-draft-picks,DP39,Base,false,,Zack Daeges
insert-draft-picks,DP40,Base,false,,Justin Jacobs
insert-draft-picks,DP41,Base,false,,Jim Negrych
insert-draft-picks,DP42,Base,false,,Tyler Norrick
insert-draft-picks,DP43,Base,false,,Adam Davis
insert-draft-picks,DP44,Base,false,,Evan Anundsen
insert-draft-picks,DP45,Base,false,,Cedric Hunter
insert-draft-picks,DP46,Base,false,,Kyle Drabek
insert-draft-picks,DP47,Base,false,,Hector Ambriz
insert-draft-picks,DP48,Base,false,,Bryant Thompson
insert-draft-picks,DP49,Base,false,,Clayton Tanner
insert-draft-picks,DP50,Base,false,,David Christensen
insert-draft-picks,DP51,Base,false,,Helder Velazquez
insert-draft-picks,DP52,Base,false,,Matt McBride
insert-draft-picks,DP53,Base,false,,Quintin Berry
insert-draft-picks,DP54,Base,false,,Steven Wright
insert-draft-picks,DP55,Base,false,,David Hatcher
insert-draft-picks,DP56,Base,false,,Scott Cousins
insert-draft-picks,DP57,Base,false,,Robert Stubbs
insert-draft-picks,DP58,Base,false,,Chris Valaika
insert-draft-picks,DP59,Base,false,,Tyler Reves
insert-draft-picks,DP60,Base,false,,John Shelby
insert-draft-picks,DP61,Base,false,,Jordan Newton
insert-draft-picks,DP62,Base,false,,Ricky Orta
insert-draft-picks,DP63,Base,false,,Jason Donald
insert-draft-picks,DP64,Base,false,,David Huff
insert-draft-picks,DP65,Base,false,,Brett Sinkbeil
insert-draft-picks,DP66,Base,false,,Evan Longoria Autograph
insert-draft-picks,DP67,Base,false,,Cody Johnson Autograph
insert-draft-picks,DP68,Base,false,,Kris Johnson Autograph
insert-draft-picks,DP69,Base,false,,Kasey Kiker Autograph
insert-draft-picks,DP70,Base,false,,Ronny Bourquin Autograph
insert-draft-picks,DP71,Base,false,,Adrian Cardenas Autograph
insert-draft-picks,DP72,Base,false,,Matt Antonelli Autograph
insert-draft-picks,DP73,Base,false,,Brooks Brown Autograph
insert-draft-picks,DP74,Base,false,,Steven Evarts Autograph
insert-draft-picks,DP75,Base,false,,Joshua Butler Autograph
insert-draft-picks,DP76,Base,false,,Chad Huffman Autograph
insert-draft-picks,DP77,Base,false,,Steven Wright Autograph
insert-draft-picks,DP78,Base,false,,Cory Rasmus Autograph
insert-draft-picks,DP79,Base,false,,Brad Furnish Autograph
insert-draft-picks,DP80,Base,false,,Andrew Carpenter Autograph
insert-draft-picks,DP81,Base,false,,Dustin Evans Autograph
insert-draft-picks,DP82,Base,false,,Tommy Hickman Autograph
insert-draft-picks,DP83,Base,false,,Matt Long Autograph
insert-draft-picks,DP84,Base,false,,Clayton Kershaw Autograph
insert-draft-picks,DP85,Base,false,,Kyle McCulloch Autograph
insert-draft-picks,DP86,Base,false,,Pedro Beato Autograph
insert-draft-picks,DP87,Base,false,,Kyler Burke Autograph
insert-draft-picks,DP88,Base,false,,Stephen Englund Autograph
insert-draft-picks,DP89,Base,false,,Michael Felix Autograph
insert-draft-picks,DP90,Base,false,,Sean Watson Autograph
insert-draft-picks,DP91,Base,false,,Joshua Rodriguez Autograph
insert-draft-picks,DP92,Base,false,,Keith Weiser Autograph
insert-draft-picks,DP93,Base,false,,Chad Tracy Autograph
insert-draft-picks,DP94,Base,false,,Matthew Sulentic Autograph
insert-draft-picks,DP95,Base,false,,Adam Ottavino Autograph
