category,cardNumber,parallel,isAuto,printRun,player,parallelNote
auto-autographs,A-PH,,true,,Peter Holland,
base,114,,false,,Saku Koivu,
auto-autographs,A-SZ,,true,,Brad Staubitz,
base,113,,false,,Francois Beauchemin,
base,112,,false,,Teemu Selanne,
base,111,,false,,Ryan Getzlaf,
base,110,,false,,Cam Fowler,
base,109,,false,,Corey Perry,
base,203,,false,,Rickard Rakell,
insert-initial-impressions,II-11,,false,,Viktor Fasth,
base,202,,false,,Igor Bobkov,
base,204,,false,,Sami Vatanen,
auto-rookie-autographs,A-VF,,true,,Viktor Fasth,
auto-autographs-finite-prizm,A-FV,,true,,Jakob Silfverberg,
base,201,,false,,Emerson Etem,
auto-rookie-autographs,A-FA,,true,,Frederik Andersen,
insert-immortalized,I-4,,false,,Teemu Selanne,
auto-rookie-autographs,A-RR,,true,,Rickard Rakell,
auto-autographs-finite-prizm,A-MC,,true,,Mat Clark,
base,205,,false,,Viktor Fasth,
auto-autographs-finite-prizm,A-SZ,,true,,Brad Staubitz,
auto-rookie-autographs,A-EE,,true,,Emerson Etem,
insert-net-defenders,ND-18,,false,,Jonas Hiller,
auto-autographs,A-FV,,true,,Jakob Silfverberg,
auto-autographs-finite-prizm,A-PE,,true,,Corey Perry,
auto-autographs-finite-prizm,A-PH,,true,,Peter Holland,
insert-pivotal-players,PP-1,,false,,Corey Perry,
base,115,,false,,Jonas Hiller,
auto-autographs,A-MC,,true,,Mat Clark,
auto-rookie-autographs,A-SV,,true,,Sami Vatanen,
auto-autographs,A-PE,,true,,Corey Perry,
insert-initial-impressions,II-13,,false,,Emerson Etem,
base,15,,false,,Jeff Teague,
base,286,,false,,Dennis Schroder,
base,140,,false,,Louis Williams,
base,243,,false,,Dominique Wilkins,
base,36,,false,,Al Horford,
base,161,,false,,Kyle Korver,
base,182,,false,,John Jenkins,
base,202,,false,,Pete Maravich,
base,48,,false,,Paul Millsap,
insert-net-defenders,ND-12,,false,,Tuukka Rask,
insert-pivotal-players,PP-2,,false,,Patrice Bergeron,
base,206,,false,,Carl Soderberg,
base,208,,false,,Ryan Spooner,
auto-autographs,A-BK,,true,,Brad Park,
auto-rookie-autographs,A-SP,,true,,Ryan Spooner,
auto-rookie-autographs,A-SO,,true,,Carl Soderberg,
auto-autographs,A-DK,,true,,David Krejci,
auto-autographs,A-GC,,true,,Gerry Cheevers,
auto-autographs,A-LE,,true,,Loui Eriksson,
auto-autographs,A-N8,,true,,Cam Neely,
auto-autographs,A-RB,,true,,Ray Bourque,
base,7,,false,,David Krejci,
base,6,,false,,Milan Lucic,
base,5,,false,,Brad Marchand,
base,4,,false,,Tuukka Rask,
base,3,,false,,Torey Krug,
base,2,,false,,Patrice Bergeron,
base,1,,false,,Zdeno Chara,
auto-autographs-finite-prizm,A-BK,,true,,Brad Park,
auto-autographs-finite-prizm,A-DK,,true,,David Krejci,
auto-autographs-finite-prizm,A-GC,,true,,Gerry Cheevers,
auto-autographs-finite-prizm,A-LE,,true,,Loui Eriksson,
auto-autographs-finite-prizm,A-N8,,true,,Cam Neely,
auto-rookie-autographs,A-DH,,true,,Dougie Hamilton,
auto-autographs-finite-prizm,A-RB,,true,,Ray Bourque,
insert-endless-impressions,EI-8,,false,,Johnny Bucyk,
insert-endless-impressions,EI-14,,false,,Phil Esposito,
insert-immortalized,I-11,,false,,Patrice Bergeron,
insert-immortalized,I-19,,false,,Phil Esposito,
insert-initial-impressions,II-5,,false,,Dougie Hamilton,
base,207,,false,,Dougie Hamilton,
base,232,,false,,Larry Bird,
base,235,,false,,Nate Archibald,
base,119,,false,,Avery Bradley,
base,260,,false,,Bill Russell,
base,272,,false,,Kelly Olynyk,
base,77,,false,,Gerald Wallace,
base,98,,false,,Brandon Bass,
base,220,,false,,John Havlicek,
base,224,,false,,Dennis Johnson,
base,56,,false,,Jared Sullinger,
base,181,,false,,MarShon Brooks,
base,14,,false,,Rajon Rondo,
base,35,,false,,Jeff Green,
base,118,,false,,Jason Terry,
base,153,,false,,Andrei Kirilenko,
base,55,,false,,Paul Pierce,
base,76,,false,,Kevin Garnett,
base,97,,false,,Joe Johnson,
base,139,,false,,Deron Williams,
base,160,,false,,Brook Lopez,
base,174,,false,,Andray Blatche,
base,288,,false,,Mason Plumlee,
base,12,,false,,Drew Stafford,
base,210,,false,,Chad Ruhwedel,
auto-rookie-autographs,A-JI,,true,,Johan Larsson,
auto-rookie-autographs,A-PY,,true,,Mark Pysyk,
auto-autographs-finite-prizm,A-RM,,true,,Ryan Miller,
insert-net-defenders,ND-17,,false,,Ryan Miller,
base,209,,false,,Brian Flynn,
base,8,,false,,Thomas Vanek,
base,9,,false,,Ryan Miller,
base,10,,false,,Cody Hodgson,
base,11,,false,,Steve Ott,
auto-autographs,A-PP,,true,,Corey Tropp,
auto-autographs,A-RM,,true,,Ryan Miller,
auto-autographs,A-WL,,true,,Drew Bagnall,
base,13,,false,,Tyler Myers,
auto-rookie-autographs,A-GO,,true,,Mikhail Grigorenko,
insert-pivotal-players,PP-3,,false,,Cody Hodgson,
base,213,,false,,Mikhail Grigorenko,
auto-autographs-finite-prizm,A-PP,,true,,Corey Tropp,
base,212,,false,,Mark Pysyk,
auto-autographs-finite-prizm,A-WL,,true,,Drew Bagnall,
base,211,,false,,Johan Larsson,
auto-rookie-autographs,A-VK,,true,,Roman Cervenka,
auto-autographs,A-IS,,true,,Lee Stempniak,
auto-autographs,A-SB,,true,,Sven Baertschi,
auto-rookie-autographs,A-XW,,true,,Maxwell Reinhart,
base,214,,false,,Ben Hanowski,
base,215,,false,,Mark Cundari,
base,216,,false,,Max Reinhart,
base,217,,false,,Roman Cervenka,
auto-autographs-finite-prizm,A-NO,,true,,Mark Giordano,
base,116,,false,,Mike Cammalleri,
base,117,,false,,Miikka Kiprusoff,
base,118,,false,,Curtis Glencross,
auto-autographs,A-IU,,true,,Akim Aliu,
auto-autographs,A-NO,,true,,Mark Giordano,
auto-autographs-finite-prizm,A-IU,,true,,Akim Aliu,
auto-autographs-finite-prizm,A-IS,,true,,Lee Stempniak,
base,119,,false,,Dennis Wideman,
base,120,,false,,Jiri Hudler,
insert-immortalized,I-18,,false,,Joe Nieuwendyk,
base,121,,false,,T.J. Brodie,
auto-autographs-finite-prizm,A-SB,,true,,Sven Baertschi,
auto-autographs,A-SZ,,true,,Greg Nemisz,
insert-pivotal-players,PP-4,,false,,Curtis Glencross,
