category,cardNumber,parallel,isAuto,printRun,player,parallelNote
auto-rookie-triple-autographs,RTA-WR,,true,,Ja'Marr Chase,
auto-rookie-triple-autographs,RTA-WR,,true,,Jaylen Waddle,
auto-rookie-triple-autographs,RTA-QB,,true,,Trey Lance,
auto-rookie-triple-autographs,RTA-QB,,true,,Trevor Lawrence,
auto-rookie-triple-autographs,RTA-RB,,true,,Najee Harris,
auto-rookie-triple-autographs,RTA-RB,,true,,Javonte Williams,
auto-rookie-triple-autographs,RTA-QB,,true,,Zach Wilson,
auto-rookie-triple-autographs,RTA-RB,,true,,"Travis Etienne Jr. AU, SN25, EXCH",
auto-rookie-triple-autographs,RTA-WR,,true,,DeVonta Smith,
insert-dominators-ice,DM-KM,,false,,Kyler Murray,
auto-legendary-patch-autographs,LPA-JP,,true,,Jake Plummer,
insert-rookie-phenoms-horizontal,RPH-17,,false,,Rondale Moore,
base,179,,false,,Chase Edmonds,
base,180,,false,,J.J. Watt,
base,176,,false,,A.J. Green,
insert-my-house-ice,MH-19,,false,,Kyler Murray,
insert-downtown,DT-28,,false,,Kyler Murray,
insert-gifted-rookies,GR-17,,false,,Rondale Moore,
auto-rated-rookies-rps-autographs-ice,217,,true,,Rondale Moore,
insert-gifted-rookies-ice,GR-17,,false,,Rondale Moore,
insert-rookie-phenoms,RP-17,,false,,Rondale Moore,
insert-rookie-kings,RK-16,,false,,Rondale Moore,
insert-my-house,MH-19,,false,,Kyler Murray,
auto-rated-rookies-rps-autographs,217,,true,,Rondale Moore,
insert-legendary-logos,LL-1,,false,,Kyler Murray,
base,181,,false,,Kurt Warner,
base,265,,false,,Zaven Collins,
insert-legendary-logos-ice,LL-1,,false,,Kyler Murray,
insert-mythical,MY-7,,false,,Kyler Murray,
base,217,,false,,Rondale Moore,
auto-rookie-patch-autographs,RPA-RM,,true,,Rondale Moore,
insert-dominators,DM-KM,,false,,Kyler Murray,
base,177,,false,,DeAndre Hopkins,
base,178,,false,,Kyler Murray,
insert-rookie-phenoms-horizontal,RPH-11,,false,,Kyle Pitts,
auto-rated-rookies-autographs-ice,269,,true,,Richie Grant,
base,299,,false,,Feleipe Franks,
insert-rookie-kings,RK-11,,false,,Kyle Pitts,
base,290,,false,,Frank Darby,
base,211,,false,,Kyle Pitts,
base,269,,false,,Richie Grant,
auto-rated-rookies-autographs-ice,290,,true,,Frank Darby,
auto-rated-rookies-rps-autographs,211,,true,,Kyle Pitts,
insert-rookie-phenoms,RP-11,,false,,Kyle Pitts,
insert-globall-ice,GB-7,,false,,Younghoe Koo,
auto-rated-rookies-autographs-ice,299,,true,,Feleipe Franks,
insert-the-rookies,TR-10,,false,,Kyle Pitts,
auto-rookie-patch-autographs,RPA-KP,,true,,Kyle Pitts,
insert-the-elite-series-rookies-ice,ESR-10,,false,,Kyle Pitts,
insert-globall,GB-7,,false,,Younghoe Koo,
insert-the-elite-series-rookies,ESR-10,,false,,Kyle Pitts,
insert-the-rookies-ice,TR-10,,false,,Kyle Pitts,
insert-gifted-rookies-ice,GR-11,,false,,Kyle Pitts,
insert-my-house,MH-17,,false,,Matt Ryan,
auto-rated-rookies-autographs,290,,true,,Frank Darby,
auto-rated-rookies-rps-autographs-ice,211,,true,,Kyle Pitts,
insert-gifted-rookies,GR-11,,false,,Kyle Pitts,
insert-red-hot-rookies,RHR-6,,false,,Kyle Pitts,
insert-elite-series-rookies,ESR-10,,false,,Kyle Pitts,
auto-the-elite-series-rookies-autographs,ESR-10,,true,,Kyle Pitts,
insert-red-hot-rookies-ice,RHR-6,,false,,Kyle Pitts,
auto-the-rookies-autographs,TR-10,,true,,Kyle Pitts,
insert-retro-series,RS-MV,,false,,Michael Vick,
auto-dynamic-patch-autographs,DPA-MV,,true,,Michael Vick,
insert-retro-series-ice,RS-MV,,false,,Michael Vick,
auto-rated-rookies-autographs,299,,true,,Feleipe Franks,
auto-signature-series-holo,SS-YK,,true,,Younghoe Koo,
auto-rated-rookies-autographs,269,,true,,Richie Grant,
insert-my-house-ice,MH-17,,false,,Matt Ryan,
insert-downtown,DT-13,,false,,Kyle Pitts,
insert-rookie-gridiron-kings,RGK-9,,false,,Kyle Pitts,
base,151,,false,,Calvin Ridley,
base,152,,false,,Hayden Hurst,
base,153,,false,,Matt Ryan,
base,154,,false,,Mike Davis,
base,155,,false,,Deion Jones,
base,156,,false,,Michael Vick,
auto-rookie-gridiron-kings-autographs,RGK-9,,true,,Kyle Pitts,
insert-rookie-gridiron-kings-ice,RGK-9,,false,,Kyle Pitts,
base,129,,false,,J.K. Dobbins,
base,128,,false,,Lamar Jackson,
insert-retro-series-ice,RS-ER,,false,,Ed Reed,
base,127,,false,,Mark Andrews,
base,126,,false,,Marquise Brown,
base,226,,false,,Tylan Wallace,
