category,cardNumber,parallel,isAuto,printRun,player,parallelNote
insert-all-stars,20,,false,,Grant Hill,
insert-all-stars,19,,false,,Allen Iverson,
insert-all-stars,18,,false,,Dwyane Wade,
insert-all-stars,16,,false,,Jimmy Butler,
insert-all-stars,15,,false,,Kawhi Leonard,
insert-all-stars,9,,false,,Karl-Anthony Towns,
insert-all-stars,1,,false,,Luka Doncic,
insert-all-stars,5,,false,,Jayson Tatum,
insert-all-stars,4,,false,,DeMar DeRozan,
insert-all-stars,3,,false,,Ja Morant,
insert-all-stars,17,,false,,Julius Randle,
insert-all-stars,12,,false,,Anthony Davis,
insert-all-stars,3,,false,,LaMelo Ball,
insert-all-stars,10,,false,,Darius Garland,
insert-all-stars,15,,false,,Draymond Green,
insert-all-stars,10,,false,,Fred VanVleet,
insert-all-stars,5,,false,,Zach LaVine,
insert-all-stars,6,,false,,Giannis Antetokounmpo,
insert-all-stars,2,,false,,Stephen Curry,
insert-all-stars,14,,false,,Shaquille O'Neal,
insert-all-stars,11,,false,,Kevin Durant,
insert-all-stars,17,,false,,Zion Williamson,
insert-all-stars,19,,false,,Vince Carter,
insert-all-stars,11,,false,,Kyrie Irving,
insert-all-stars,12,,false,,Dirk Nowitzki,
insert-all-stars,6,,false,,Nikola Jokic,
insert-all-stars,7,,false,,Andrew Wiggins,
insert-all-stars,2,,false,,Trae Young,
insert-all-stars,18,,false,,Manu Ginobili,
insert-all-stars,14,,false,,Hakeem Olajuwon,
insert-all-stars,16,,false,,Klay Thompson,
insert-all-stars,1,,false,,LeBron James,
insert-all-stars,7,,false,,Khris Middleton,
insert-all-stars,8,,false,,Dejounte Murray,
insert-all-stars,4,,false,,Devin Booker,
insert-all-stars,8,,false,,Jimmy Butler,
insert-all-stars,20,,false,,Anfernee Hardaway,
insert-all-stars,9,,false,,Joel Embiid,
insert-lights-out,7,,false,,Dejounte Murray,
auto-dominators-signatures,DS-TRE,,true,,Trae Young,
insert-splash,9,,false,,Trae Young,
base,138,,false,,Dejounte Murray,
base,137,,false,,John Collins,
base,127,,false,,Trae Young,
insert-express-lane,3,,false,,Trae Young,
auto-signature-series,SS-TYM,,true,,Tyrese Martin,
auto-rated-rookies-signatures,234,,true,,Tyrese Martin,
auto-fast-break-signatures,FBS-DMW,,true,,Dominique Wilkins,
insert-t-minus-3-2-1,5,,false,,Trae Young,
auto-fast-break-signatures,FBS-TRY,,true,,Trae Young,
insert-my-house,7,,false,,Trae Young,
auto-fast-break-signatures,FBS-TYM,,true,,Tyrese Martin,
insert-elite-dominators,17,,false,,Trae Young,
auto-dominators-signatures,DS-CCP,,true,,Clint Capela,
base,204,,false,,AJ Griffin,
base,234,,false,,Tyrese Martin,
base,115,,false,,Bogdan Bogdanovic,
base,94,,false,,Saddiq Bey,
insert-raining-3s,15,,false,,Saddiq Bey,
base,112,,false,,De'Andre Hunter,
auto-rated-rookies-signatures,204,,true,,AJ Griffin,
insert-lights-out,8,,false,,Trae Young,
base,154,,false,,Clint Capela,
insert-raining-3s,8,,false,,Trae Young,
insert-star-gazing,3,,false,,Trae Young,
insert-elite-dominators,12,,false,,Dejounte Murray,
base,24,,false,,Robert Williams III,
insert-winner-stays,15,,false,,Larry Bird,
auto-fast-break-signatures,FBS-JYT,,true,,Jayson Tatum,
insert-raining-3s,18,,false,,Larry Bird,
insert-t-minus-3-2-1,4,,false,,Jayson Tatum,
auto-the-elite-series-signatures,ESS-RAY,,true,,Ray Allen,
base,8,,false,,Jayson Tatum,
auto-the-elite-series-signatures,ESS-MSM,,true,,Marcus Smart,
base,11,,false,,Malcolm Brogdon,
base,12,,false,,Marcus Smart,
base,17,,false,,Grant Williams,
insert-elite-dominators,15,,false,,Jayson Tatum,
insert-star-gazing,13,,false,,Jayson Tatum,
base,25,,false,,Al Horford,
base,32,,false,,Jaylen Brown,
insert-express-lane,21,,false,,Jaylen Brown,
insert-lights-out,1,,false,,Jayson Tatum,
insert-raining-3s,13,,false,,Jayson Tatum,
insert-splash,7,,false,,Jayson Tatum,
insert-opti-graphs,OG-DRW,,false,,Derrick White,
insert-opti-graphs,OG-LBR,,false,,Larry Bird,
auto-signature-series,SS-PYP,,true,,Payton Pritchard,
insert-optical-illusions,2,,false,,Jaylen Brown,
insert-opti-graphs,OG-DRJ,,false,,Dino Radja,
insert-optical-illusions,2,,false,,Jayson Tatum,
insert-winner-stays,20,,false,,Paul Pierce,
insert-my-house,17,,false,,Jayson Tatum,
insert-express-lane,23,,false,,Jayson Tatum,
auto-dominators-signatures,DS-SCY,,true,,Seth Curry,
auto-signature-series,SS-RON,,true,,Royce O'Neale,
insert-opti-graphs,OG-CAM,,false,,Cameron Thomas,
base,18,,false,,Cameron Thomas,
base,16,,false,,Ben Simmons,
base,108,,false,,Mikal Bridges,
auto-fast-break-signatures,FBS-SDW,,true,,Spencer Dinwiddie,
auto-fast-break-signatures,FBS-JOE,,true,,Joe Harris,
auto-the-elite-series-signatures,ESS-JOE,,true,,Joe Harris,
base,175,,false,,Spencer Dinwiddie,
base,131,,false,,Cameron Johnson,
auto-signature-series,SS-NCX,,true,,Nicolas Claxton,
base,142,,false,,Dorian Finney-Smith,
base,29,,false,,Seth Curry,
insert-raining-3s,12,,false,,LaMelo Ball,
base,245,,false,,Mark Williams,
base,239,,false,,Bryce McGowens,
insert-opti-graphs,OG-MGB,,false,,Muggsy Bogues,
auto-fast-break-signatures,FBS-MWL,,true,,Mark Williams,
auto-rated-rookies-signatures,239,,true,,Bryce McGowens,
insert-my-house,16,,false,,LaMelo Ball,
insert-express-lane,11,,false,,LaMelo Ball,
insert-star-gazing,8,,false,,LaMelo Ball,
insert-elite-dominators,11,,false,,LaMelo Ball,
insert-splash,1,,false,,LaMelo Ball,
auto-dominators-signatures,DS-GHW,,true,,Gordon Hayward,
auto-rated-rookies-signatures,245,,true,,Mark Williams,
auto-fast-break-signatures,FBS-BMG,,true,,Bryce McGowens,
auto-signature-series,SS-NRI,,true,,Nick Richards,
base,143,,false,,Terry Rozier III,
base,148,,false,,Cody Martin,
auto-signature-series,SS-MKW,,true,,Mark Williams,
base,150,,false,,LaMelo Ball,
insert-lights-out,3,,false,,LaMelo Ball,
base,164,,false,,Gordon Hayward,
base,172,,false,,PJ Washington Jr.,
base,173,,false,,Kelly Oubre Jr.,
base,90,,false,,Coby White,
base,232,,false,,Dalen Terry,
base,51,,false,,Zach LaVine,
auto-fast-break-signatures,FBS-NVC,,true,,Nikola Vucevic,
insert-raining-3s,6,,false,,Zach LaVine,
auto-signature-series,SS-ECY,,true,,Eddy Curry,
insert-lights-out,15,,false,,DeMar DeRozan,
auto-signature-series,SS-ADR,,true,,Andre Drummond,
auto-fast-break-signatures,FBS-DTY,,true,,Dalen Terry,
insert-raining-3s,17,,false,,Steve Kerr,
insert-opti-graphs,OG-SKR,,false,,Steve Kerr,
insert-t-minus-3-2-1,1,,false,,DeMar DeRozan,
auto-rookie-optics-autographs,ROA-DTY,,true,,Dalen Terry,
auto-dominators-signatures,DS-AYO,,true,,Ayo Dosunmu,
auto-rated-rookies-signatures,232,,true,,Dalen Terry,
insert-winner-stays,9,,false,,Dennis Rodman,
base,65,,false,,DeMar DeRozan,
base,63,,false,,Ayo Dosunmu,
auto-rookie-dominators-signatures,RDS-DTY,,true,,Dalen Terry,
base,60,,false,,Nikola Vucevic,
insert-elite-dominators,13,,false,,DeMar DeRozan,
base,58,,false,,Lonzo Ball,
insert-express-lane,15,,false,,Zach LaVine,
auto-signature-series,SS-CHG,,true,,Craig Hodges,
auto-dominators-signatures,RDS-PBW,,true,,Andre Drummond,
auto-signature-series,SS-AYO,,true,,Ayo Dosunmu,
base,54,,false,,Alex Caruso,
insert-splash,14,,false,,Zach LaVine,
auto-fast-break-signatures,FBS-JTA,,true,,Jarrett Allen,
base,85,,false,,Caris LeVert,
base,78,,false,,Kevin Love,
base,76,,false,,Jarrett Allen,
base,72,,false,,Donovan Mitchell,
insert-splash,3,,false,,Donovan Mitchell,
insert-express-lane,6,,false,,Donovan Mitchell,
insert-winner-stays,2,,false,,LeBron James,
insert-elite-dominators,8,,false,,Donovan Mitchell,
auto-signature-series,SS-MPR,,true,,Mark Price,
