category,cardNumber,parallel,isAuto,printRun,player
insert-holofoil,001189,Holofoil,false,,Beedrill V
base,002189,,false,,Hisuian Voltorb
insert-reverse-holofoil,002189,Reverse Holofoil,false,,Hisuian Voltorb
base,003189,,false,,Hisuian Electrode
insert-reverse-holofoil,003189,Reverse Holofoil,false,,Hisuian Electrode
base,004189,,false,,Scyther
insert-reverse-holofoil,004189,Reverse Holofoil,false,,Scyther
base,005189,,false,,Scyther
insert-reverse-holofoil,005189,Reverse Holofoil,false,,Scyther
base,006189,,false,,Yanma
insert-reverse-holofoil,006189,Reverse Holofoil,false,,Yanma
base,007189,,false,,Yanmega
insert-reverse-holofoil,007189,Reverse Holofoil,false,,Yanmega
base,008189,,false,,Heracross
insert-reverse-holofoil,008189,Reverse Holofoil,false,,Heracross
base,009189,,false,,Kricketot
insert-reverse-holofoil,009189,Reverse Holofoil,false,,Kricketot
base,010189,,false,,Kricketune
insert-reverse-holofoil,010189,Reverse Holofoil,false,,Kricketune
base,011189,,false,,Combee
insert-reverse-holofoil,011189,Reverse Holofoil,false,,Combee
base,012189,,false,,Vespiquen
insert-reverse-holofoil,012189,Reverse Holofoil,false,,Vespiquen
base,013189,,false,,Leafeon
insert-reverse-holofoil,013189,Reverse Holofoil,false,,Leafeon
base,014189,,false,,Shaymin
insert-reverse-holofoil,014189,Reverse Holofoil,false,,Shaymin
base,015189,,false,,Petilil
insert-reverse-holofoil,015189,Reverse Holofoil,false,,Petilil
insert-holofoil,016189,Holofoil,false,,Hisuian Lilligant
insert-holofoil,017189,Holofoil,false,,Hisuian Lilligant V
insert-holofoil,018189,Holofoil,false,,Hisuian Lilligant VSTAR
base,019189,,false,,Rowlet
insert-reverse-holofoil,019189,Reverse Holofoil,false,,Rowlet
base,020189,,false,,Dartrix
insert-reverse-holofoil,020189,Reverse Holofoil,false,,Dartrix
base,021189,,false,,Ponyta
insert-reverse-holofoil,021189,Reverse Holofoil,false,,Ponyta
base,022189,,false,,Rapidash
insert-reverse-holofoil,022189,Reverse Holofoil,false,,Rapidash
base,023189,,false,,Cyndaquil
insert-reverse-holofoil,023189,Reverse Holofoil,false,,Cyndaquil
base,024189,,false,,Quilava
insert-reverse-holofoil,024189,Reverse Holofoil,false,,Quilava
insert-holofoil,025189,Holofoil,false,,Heatran V
insert-holofoil,026189,Holofoil,false,,Heatran VMAX
insert-holofoil,027189,Holofoil,false,,Radiant Heatran
base,028189,,false,,Psyduck
insert-reverse-holofoil,028189,Reverse Holofoil,false,,Psyduck
base,029189,,false,,Golduck
insert-reverse-holofoil,029189,Reverse Holofoil,false,,Golduck
insert-holofoil,030189,Holofoil,false,,Starmie V
base,031189,,false,,Swinub
insert-reverse-holofoil,031189,Reverse Holofoil,false,,Swinub
base,032189,,false,,Piloswine
