category,cardNumber,parallel,isAuto,printRun,player,parallelNote
auto-1999-passing-the-torch-dual-autographs,PTO-CH,,true,,Drew Brees,
auto-1999-passing-the-torch-dual-autographs,PTO-CH,,true,,"Justin Herbert AU, SN25 ""2022 Panini - Clearly Donruss"" on back of card",
insert-super-bowl-lviii-kid-reporter-sweepstakes,NNO,,false,,Super Bowl LVIII Kid Reporter,
insert-bomb-squad,BS-6,,false,,Clayton Tune,
auto-the-rookies-autographs,36,,true,,Clayton Tune,
base,302,,false,,Clayton Tune,
insert-rookie-holiday-sweater-dual-relics,HSD-1,,false,,Michael Wilson MEM,
base,303,,false,,Michael Wilson,
insert-rookie-holiday-sweater-dual-relics,HSD-1,,false,,Clayton Tune,
base,4,,false,,Marquise Brown,
insert-rookie-holiday-sweater-relics-shield,HS-CTU,,false,,Clayton Tune,
auto-rated-rookie-autographs,302,,true,,Clayton Tune,
insert-rated-rookie-portrait,29,,false,,Michael Wilson,
auto-optic-rated-rookies-preview-autographs,304,,true,,Paris Johnson Jr.,
auto-rated-rookie-portrait-autographs,36,,true,,Clayton Tune,
auto-optic-rated-rookies-preview-autographs,303,,true,,Michael Wilson,
insert-highlights,H-MW,,false,,Marco Wilson,
auto-optic-rated-rookies-preview-autographs,302,,true,,Clayton Tune,
auto-rated-rookie-portrait-autographs,29,,true,,Michael Wilson,
auto-optic-rated-rookies-preview-autographs,301,,true,,BJ Ojulari,
insert-rookie-phenom-jerseys-nflpf-logo,RPJ-CTUN,,false,,Clayton Tune,
auto-rated-rookie-autographs,304,,true,,Paris Johnson Jr.,
insert-elite-series-rookies,29,,false,,Michael Wilson,
auto-bomb-squad-autographs,BS-6,,true,,Clayton Tune,
insert-rookie-revolution,RR-31,,false,,BJ Ojulari,
auto-elite-series-rookies-autographs,29,,true,,Michael Wilson,
insert-rookie-holiday-sweater-relics,HS-MWI,,false,,Michael Wilson,
insert-rookie-holiday-sweater-relics-shield,HS-MWI,,false,,Michael Wilson,
insert-rookie-holiday-sweater-relics,HS-CTU,,false,,Clayton Tune,
base,304,,false,,Paris Johnson Jr.,
base,8,,false,,Jalen Thompson,
base,7,,false,,Rondale Moore,
base,6,,false,,Zach Ertz,
insert-bomb-squad,BS-22,,false,,Michael Wilson,
insert-rookie-phenom-jerseys,RPJ-CTUN,,false,,Clayton Tune,
base,5,,false,,James Conner,
auto-rated-rookie-autographs,303,,true,,Michael Wilson,
auto-bomb-squad-autographs,BS-22,,true,,Michael Wilson,
insert-the-rookies,29,,false,,Michael Wilson,
base,1,,false,,Kyler Murray,
insert-rated-rookie-portrait-studio-series,29,,false,,Michael Wilson,
base,1b,,false,,Kyler Murray,
base,2,,false,,Budda Baker,
base,3,,false,,Isaiah Simmons,
insert-the-rookies,36,,false,,Clayton Tune,
insert-rated-rookie-portrait,36,,false,,Clayton Tune,
base,301,,false,,BJ Ojulari,
insert-rookie-holiday-sweater-dual-relics-shield,HSD-1,,false,,Michael Wilson MEM,
insert-rated-rookie-portrait-studio-series,36,,false,,Clayton Tune,
auto-rated-rookie-autographs,301,,true,,BJ Ojulari,
insert-rookie-holiday-sweater-dual-relics-shield,HSD-1,,false,,Clayton Tune,
auto-the-rookies-autographs,29,,true,,Michael Wilson,
base,306,,false,,Zach Harrison,
insert-power-plus,PP-1,,false,,Desmond Ridder,
insert-rookie-gridiron-kings,RGK-4,,false,,Bijan Robinson,
insert-bomb-squad,BS-25,,false,,Bijan Robinson,
insert-leather-kings-studio-series,LK-4,,false,,Bijan Robinson,
auto-rated-rookie-autographs,306,,true,,Zach Harrison,
auto-bomb-squad-autographs,BS-25,,true,,Bijan Robinson,
insert-rookie-phenom-jerseys,RPJ-BROB,,false,,Bijan Robinson,
insert-rookie-revolution,RR-7,,false,,Bijan Robinson,
auto-rookie-phenom-jersey-autographs,RPJA-BROB,,true,,Bijan Robinson,
auto-power-plus-autographs,PP-1,,true,,Desmond Ridder,
auto-rated-rookie-portrait-autographs,4,,true,,Bijan Robinson,
insert-rated-rookie-portrait-studio-series,4,,false,,Bijan Robinson,
insert-downtown,D-10,,false,,Bijan Robinson,
insert-rookie-holiday-sweater-relics-shield,HS-BRO,,false,,Bijan Robinson,
auto-signature-marks,SM-CP,,true,,Cordarrelle Patterson,
auto-signature-marks,SM-DR,,true,,Desmond Ridder,
auto-signature-marks,SM-MV,,true,,Michael Vick,
auto-elite-series-rookies-autographs,4,,true,,Bijan Robinson,
insert-the-rookies,4,,false,,Bijan Robinson,
base,305,,false,,Bijan Robinson,
insert-rookie-holiday-sweater-relics,HS-BRO,,false,,Bijan Robinson,
auto-leather-kings-autographs,LK-4,,true,,Bijan Robinson,
auto-the-rookies-autographs,4,,true,,Bijan Robinson,
insert-rated-rookies-premium,305,,false,,Bijan Robinson,
insert-elite-series-rookies,4,,false,,Bijan Robinson,
insert-elite-series,ES-30,,false,,Drake London,
