category,cardNumber,parallel,isAuto,printRun,player,parallelNote
insert-solar-eclipse,12,,false,,Zaccharie Risacher,
auto-select-stars-jersey-autographs,6,,true,,Trae Young,
insert-sky-high,14,,false,,Zaccharie Risacher,
insert-select-future,18,,false,,Zaccharie Risacher,
insert-select-certified,18,,false,,Zaccharie Risacher,
insert-select-certified,8,,false,,Trae Young,
insert-score-select-throwback,9,,false,,Zaccharie Risacher,
insert-rookie-revolution,21,,false,,Zaccharie Risacher,
insert-neon-icon,25,,false,,Zaccharie Risacher,
insert-lodestars,6,,false,,Zaccharie Risacher,
insert-hot-stars,15,,false,,Zaccharie Risacher,
insert-hot-stars,1,,false,,Trae Young,
insert-en-fuego,4,,false,,Zaccharie Risacher,
insert-crown-jewels,6,,false,,Zaccharie Risacher,
insert-color-wheel,18,,false,,Trae Young,
insert-color-wheel,8,,false,,Zaccharie Risacher,
insert-clutch,23,,false,,Trae Young,
insert-clutch,3,,false,,Zaccharie Risacher,
insert-artistic-selections,5,,false,,Zaccharie Risacher,
insert-throwback-memorabilia,5,,false,,Dejounte Murray,
auto-2024-origins-update-autographs,10,,true,,Bogdan Bogdanovic,
insert-sparks-relics,18,,false,,Zaccharie Risacher,
insert-jumbo-rookie-swatches,10,,false,,Zaccharie Risacher,
insert-draft-selections-memorabilia,12,,false,,Zaccharie Risacher,
auto-x-factor-memorabilia-signatures,29,,true,,Joe Johnson,
auto-x-factor-memorabilia-signatures,10,,true,,Dyson Daniels,
auto-signatures,21,,true,,Dominique Wilkins,
auto-signatures,8,,true,,Trae Young,
auto-signature-selections,5,,true,,Tree Rollins,
auto-signature-selections,3,,true,,Kevin Willis,
auto-rookie-signatures,22,,true,,Nikola Durisic,
auto-rookie-jersey-autographs,30,,true,,Nikola Durisic,
auto-in-flight-signatures,24,,true,,Jalen Johnson,
auto-in-flight-signatures,20,,true,,Dominique Wilkins,
auto-autographed-memorabilia,1,,true,,Dyson Daniels,
insert-base-mezzanine-level,379,,false,,Zaccharie Risacher,
insert-base-mezzanine-level,341,,false,,Trae Young,
insert-base-courtside,289,,false,,Zaccharie Risacher,
insert-base-courtside,247,,false,,Jalen Johnson,
insert-base-courtside,223,,false,,Trae Young,
insert-base-premier-level,180,,false,,Zaccharie Risacher,
insert-base-premier-level,123,,false,,Trae Young,
insert-base-concourse,86,,false,,Zaccharie Risacher,
insert-base-concourse,63,,false,,Trae Young,
insert-base-concourse,29,,false,,Jaylen Brown,
insert-lodestars,13,,false,,Jayson Tatum,
insert-base-concourse,2,,false,,Jayson Tatum,
insert-hot-stars,5,,false,,Jayson Tatum,
insert-solar-eclipse,2,,false,,Jayson Tatum,
insert-sky-high,18,,false,,Jaylen Brown,
insert-sky-high,6,,false,,Jayson Tatum,
insert-select-future,13,,false,,Baylor Scheierman,
insert-select-certified,13,,false,,Jayson Tatum,
insert-score-select-throwback,4,,false,,Jayson Tatum,
insert-neon-icon,18,,false,,Jayson Tatum,
insert-neon-icon,12,,false,,Jaylen Brown,
insert-en-fuego,6,,false,,Jayson Tatum,
insert-crown-jewels,10,,false,,Jayson Tatum,
insert-color-wheel,22,,false,,Jaylen Brown,
insert-color-wheel,6,,false,,Jayson Tatum,
insert-clutch,24,,false,,Jayson Tatum,
insert-artistic-selections,7,,false,,Jayson Tatum,
insert-jumbo-rookie-swatches,21,,false,,Baylor Scheierman,
auto-youth-explosion-signatures,16,,true,,Baylor Scheierman,
auto-x-factor-memorabilia-signatures,30,,true,,Kevin McHale,
auto-signatures,28,,true,,Larry Bird,
auto-signatures,26,,true,,Ray Allen,
auto-signatures,10,,true,,Bob Cousy,
auto-signature-selections,8,,true,,Sam Hauser,
auto-selection-committee-signatures,18,,true,,Nate Archibald,
auto-selection-committee-signatures,16,,true,,Robert Parish,
auto-rookie-signatures,10,,true,,Baylor Scheierman,
auto-rookie-jersey-autographs,38,,true,,Anton Watson,
auto-rookie-jersey-autographs,11,,true,,Baylor Scheierman,
auto-prime-selections-signatures,8,,true,,Baylor Scheierman,
auto-jumbo-rookie-signature-swatches,17,,true,,Baylor Scheierman,
auto-in-flight-signatures,22,,true,,Paul Pierce,
auto-in-flight-signatures,18,,true,,Kristaps Porzingis,
auto-autographed-memorabilia,8,,true,,Jrue Holiday,
insert-base-mezzanine-level,382,,false,,Baylor Scheierman,
insert-base-mezzanine-level,361,,false,,Jaylen Brown,
insert-base-mezzanine-level,357,,false,,Kristaps Porzingis,
insert-base-mezzanine-level,307,,false,,Jayson Tatum,
insert-base-courtside,264,,false,,Derrick White,
insert-base-courtside,260,,false,,Jrue Holiday,
insert-base-courtside,254,,false,,Jaylen Brown,
insert-base-courtside,246,,false,,Jayson Tatum,
insert-base-courtside,232,,false,,Kristaps Porzingis,
insert-base-premier-level,146,,false,,Jaylen Brown,
insert-base-premier-level,110,,false,,Jayson Tatum,
insert-base-courtside,225,,false,,Cameron Thomas,
insert-base-concourse,50,,false,,Cameron Thomas,
insert-base-concourse,94,,false,,"Yongxi ""Jacky"" Cui",
insert-base-premier-level,121,,false,,Cameron Johnson,
insert-base-premier-level,176,,false,,"Yongxi ""Jacky"" Cui",
insert-base-courtside,295,,false,,"Yongxi ""Jacky"" Cui",
insert-base-mezzanine-level,377,,false,,"Yongxi ""Jacky"" Cui",
auto-jumbo-rookie-signature-swatches,30,,true,,"Yongxi ""Jacky"" Cui",
auto-prime-selections-signatures,12,,true,,"Yongxi ""Jacky"" Cui",
auto-rookie-jersey-autographs,5,,true,,"Yongxi ""Jacky"" Cui",
auto-rookie-signatures,5,,true,,"Yongxi ""Jacky"" Cui",
auto-signature-selections,22,,true,,Keon Johnson,
auto-signature-selections,26,,true,,Maxwell Lewis,
auto-signature-selections,27,,true,,Dariq Whitehead,
auto-signatures,19,,true,,Cameron Johnson,
auto-youth-explosion-signatures,31,,true,,"Yongxi ""Jacky"" Cui",
insert-jumbo-rookie-swatches,26,,false,,"Yongxi ""Jacky"" Cui",
insert-throwback-memorabilia,11,,false,,Kevin Durant,
insert-throwback-memorabilia,14,,false,,Kyrie Irving,
insert-rookie-revolution,19,,false,,"Yongxi ""Jacky"" Cui",
auto-select-pairings-signatures,1,,true,,"Yongxi ""Jacky"" Cui",
auto-select-pairings-signatures,1,,true,,Yuki Kawamura,
insert-sky-high,17,,false,,Tidjane Salaun,
insert-select-future,12,,false,,Tidjane Salaun,
insert-rookie-revolution,6,,false,,Tidjane Salaun,
insert-lodestars,1,,false,,Tidjane Salaun,
insert-sparks-relics,9,,false,,Tidjane Salaun,
insert-jumbo-rookie-swatches,20,,false,,Tidjane Salaun,
insert-draft-selections-memorabilia,5,,false,,Tidjane Salaun,
auto-rookie-jersey-autographs,22,,true,,KJ Simpson Jr.,
auto-youth-explosion-signatures,4,,true,,Tidjane Salaun,
auto-x-factor-memorabilia-signatures,27,,true,,Larry Johnson,
auto-signature-selections,37,,true,,Moussa Diabate,
auto-signature-selections,21,,true,,Mark Williams,
auto-prime-selections-signatures,30,,true,,Tidjane Salaun,
auto-select-stars-jersey-autographs,16,,true,,Tidjane Salaun,
auto-rookie-signatures,21,,true,,KJ Simpson Jr.,
auto-rookie-signatures,12,,true,,Tidjane Salaun,
auto-prime-selections-signatures,10,,true,,KJ Simpson Jr.,
auto-jumbo-rookie-signature-swatches,2,,true,,Tidjane Salaun,
insert-base-mezzanine-level,397,,false,,Tidjane Salaun,
insert-base-mezzanine-level,345,,false,,Brandon Miller,
insert-base-mezzanine-level,316,,false,,LaMelo Ball,
insert-base-courtside,293,,false,,Tidjane Salaun,
insert-base-courtside,256,,false,,LaMelo Ball,
insert-base-courtside,216,,false,,Brandon Miller,
insert-base-premier-level,193,,false,,KJ Simpson Jr.,
insert-base-premier-level,169,,false,,Tidjane Salaun,
auto-rookie-jersey-autographs,15,,true,,Tidjane Salaun,
insert-base-premier-level,147,,false,,LaMelo Ball,
insert-base-concourse,95,,false,,Tidjane Salaun,
insert-base-concourse,8,,false,,Miles Bridges,
insert-base-concourse,31,,false,,LaMelo Ball,
auto-2024-hoops-update-autographs,1,,true,,Tidjane Salaun,
insert-sparks-relics,16,,false,,Matas Buzelis,
auto-select-stars-jersey-autographs,12,,true,,Matas Buzelis,
auto-rookie-signatures,39,,true,,Matas Buzelis,
insert-select-future,24,,false,,Matas Buzelis,
insert-rookie-revolution,13,,false,,Matas Buzelis,
insert-hot-stars,4,,false,,Matas Buzelis,
insert-en-fuego,14,,false,,Matas Buzelis,
insert-color-wheel,13,,false,,Matas Buzelis,
insert-clutch,12,,false,,Matas Buzelis,
insert-artistic-selections,4,,false,,Matas Buzelis,
insert-throwback-memorabilia,23,,false,,Lauri Markkanen,
insert-throwback-memorabilia,8,,false,,Jimmy Butler III,
insert-throwback-memorabilia,4,,false,,DeMar DeRozan,
insert-jumbo-rookie-swatches,27,,false,,Matas Buzelis,
insert-draft-selections-memorabilia,10,,false,,Matas Buzelis,
auto-youth-explosion-signatures,3,,true,,Matas Buzelis,
auto-x-factor-memorabilia-signatures,23,,true,,Josh Giddey,
