category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Aaron Judge
base,2,,false,,Yoshinobu Yamamoto
base,3,,false,,Chase Burns RC
base,6,,false,,Sal Stewart RC
base,7,,false,,Bryce Harper
base,9,,false,,Munetaka Murakami RC
base,10,,false,,Nick Kurtz
base,12,,false,,Jhostynxon Garcia RC
base,13,,false,,Cal Raleigh
base,17,,false,,Francisco Lindor
base,18,,false,,Roman Anthony RC
base,19,,false,,Kyle Teel RC
base,20,,false,,Kyle Schwarber
base,23,,false,,Ronald Acuña Jr.
base,25,,false,,Bobby Witt Jr.
base,26,,false,,Payton Tolle RC
base,31,,false,,Pete Crow-Armstrong
base,33,,false,,Brandon Sproat RC
base,35,,false,,Jacob Misiorowski RC
base,37,,false,,Chase DeLauter RC
base,39,,false,,Carson Williams RC
base,40,,false,,Drew Gilbert RC
base,41,,false,,Trey Yesavage RC
base,44,,false,,Elly De La Cruz
base,45,,false,,Connelly Early RC
base,47,,false,,Fernando Tatis Jr.
base,52,,false,,Shohei Ohtani
base,53,,false,,Cam Schlittler RC
base,58,,false,,Bryce Eldridge RC
base,59,,false,,Junior Caminero
base,61,,false,,Vladimir Guerrero Jr.
base,62,,false,,Owen Caissie RC
base,63,,false,,Roki Sasaki
base,65,,false,,Jonah Tong RC
base,66,,false,,Carter Jensen RC
base,68,,false,,Colson Montgomery RC
base,70,,false,,Alex Freeland RC
base,75,,false,,Jac Caglianone RC
base,76,,false,,Tarik Skubal
base,78,,false,,Cole Young RC
base,80,,false,,Corbin Carroll
base,83,,false,,Bubba Chandler RC
base,84,,false,,Harry Ford RC
base,85,,false,,Nolan McLean RC
base,86,,false,,Jakob Marsee RC
base,93,,false,,Samuel Basallo RC
base,97,,false,,Juan Soto
base,98,,false,,C.J. Kayfus RC
base,99,,false,,Christian Moore RC
base,100,,false,,Mike Trout
base,BCP-1,,false,,Ethan Holliday
base,BCP-2,,false,,Max Clark
base,BCP-7,,false,,Kendry Chourio
base,BCP-15,,false,,Gage Jump
base,BCP-16,,false,,Marek Houston
base,BCP-17,,false,,Caden Scarborough
base,BCP-21,,false,,Roldy Brito
base,BCP-25,,false,,Juan Sanchez
base,BCP-26,,false,,Sean Paul Liñan
base,BCP-29,,false,,Victor Arias
base,BCP-33,,false,,Coy James
base,BCP-35,,false,,Travis Bazzana
base,BCP-36,,false,,Moisés Chace
base,BCP-38,,false,,Luis Cova
base,BCP-40,,false,,Aiva Arquette
base,BCP-41,,false,,Brailyn Antunez
base,BCP-45,,false,,Seojun Moon
base,BCP-47,,false,,Handelfry Encarnacion
base,BCP-59,,false,,Brendan Tunink
base,BCP-63,,false,,Leo De Vries
base,BCP-64,,false,,George Lombard Jr.
base,BCP-66,,false,,Wyatt Sanford
base,BCP-69,,false,,Owen Carey
base,BCP-72,,false,,Luis Arana
base,BCP-77,,false,,Daniel Pierce
base,BCP-79,,false,,Esteban Mejia
base,BCP-82,,false,,Edward Florentino
base,BCP-88,,false,,Dasan Hill
base,BCP-90,,false,,Andrew Tess
base,BCP-92,,false,,Konnor Griffin
base,BCP-93,,false,,Jorge Quintana
base,BCP-95,,false,,Eli Willits
base,BCP-96,,false,,Jesús Made
base,BCP-98,,false,,Walker Jenkins
