category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
auto-chrome-prospect-packfractor,CPA-AA,,true,,Aiva Arquette,,
auto-chrome-prospect-packfractor,CPA-AF,,true,,Andrew Fischer,,
auto-chrome-prospect-packfractor,CPA-BA,,true,,Brailyn Antunez,,
auto-chrome-prospect-packfractor,CPA-BG,,true,,Breyson Guedez,,
auto-chrome-prospect-packfractor,CPA-BT,,true,,Brendan Tunink,,
auto-chrome-prospect-packfractor,CPA-CJ,,true,,Coy James,,
auto-chrome-prospect-packfractor,CPA-DF,,true,,Dauri Fernandez,,
auto-chrome-prospect-packfractor,CPA-DH,,true,,Dasan Hill,,
auto-chrome-prospect-packfractor,CPA-DOR,,true,,Deniel Ortiz,,
auto-chrome-prospect-packfractor,CPA-DP,,true,,Daniel Pierce,,
auto-chrome-prospect-packfractor,CPA-DSH,,true,,David Shields,,
auto-chrome-prospect-packfractor,CPA-EF,,true,,Edward Florentino,,
auto-chrome-prospect-packfractor,CPA-EH,,true,,Ethan Holliday,,
auto-chrome-prospect-packfractor,CPA-EM,,true,,Edgar Montero,,
auto-chrome-prospect-packfractor,CPA-EW,,true,,Eli Willits,,
auto-chrome-prospect-packfractor,CPA-GJ,,true,,Gage Jump,,
auto-chrome-prospect-packfractor,CPA-GR,,true,,Gabriel Rodriguez,,
auto-chrome-prospect-packfractor,CPA-HE,,true,,Handelfry Encarnacion,,
auto-chrome-prospect-packfractor,CPA-HL,,true,,Henry Lalane,,
auto-chrome-prospect-packfractor,CPA-HR,,true,,Hector Ramos,,
auto-chrome-prospect-packfractor,CPA-JG,,true,,Justin Gonzales,,
auto-chrome-prospect-packfractor,CPA-JQ,,true,,Jorge Quintana,,
auto-chrome-prospect-packfractor,CPA-JS,,true,,Juan Sanchez,,
auto-chrome-prospect-packfractor,CPA-JW,,true,,Jude Warwick,,
auto-chrome-prospect-packfractor,CPA-KC,,true,,Kendry Chourio,,
auto-chrome-prospect-packfractor,CPA-KG,,true,,Konnor Griffin,,
auto-chrome-prospect-packfractor,CPA-KMC,,true,,Kevin McGonigle,,
auto-chrome-prospect-packfractor,CPA-LA,,true,,Luis Arana,,
auto-chrome-prospect-packfractor,CPA-LDE,,true,,Leo De Vries,,
auto-chrome-prospect-packfractor,CPA-MG,,true,,Marconi German,,
auto-chrome-prospect-packfractor,CPA-MHO,,true,,Marek Houston,,
auto-chrome-prospect-packfractor,CPA-MS,,true,,Seojun Moon,,
auto-chrome-prospect-packfractor,CPA-NT,,true,,Nelly Taylor,,
auto-chrome-prospect-packfractor,CPA-OC,,true,,Owen Carey,,
auto-chrome-prospect-packfractor,CPA-RB,,true,,Roldy Brito,,
auto-chrome-prospect-packfractor,CPA-SK,,true,,Seong-Jun Kim,,
auto-chrome-prospect-packfractor,CPA-WA,,true,,Wehiwa Aloy,,
auto-chrome-prospect-packfractor,CPA-WL,,true,,Wei-En Lin,,
auto-chrome-prospect-packfractor,CPA-WS,,true,,Wyatt Sanford,,
