category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Konnor Griffin RC
base,2,Base,false,,Mookie Betts
base,3,Base,false,,Parker Messick RC
base,4,Base,false,,Byron Buxton
base,5,Base,false,,Bobby Witt Jr.
base,6,Base,false,,Kevin McGonigle RC
base,7,Base,false,,Didier Fuentes RC
base,8,Base,false,,José Ramírez
base,9,Base,false,,Cody Bellinger
base,10,Base,false,,Luis Robert Jr.
base,11,Base,false,,Noah Schultz RC
base,12,Base,false,,Alex Bregman
base,13,Base,false,,Jacob Wilson
base,14,Base,false,,Justin Verlander
base,15,Base,false,,Travis Bazzana RC
base,16,Base,false,,Bo Bichette
base,17,Base,false,,Francisco Lindor
base,18,Base,false,,Nick Kurtz
base,19,Base,false,,Jackson Chourio
base,20,Base,false,,Andrew Painter RC
base,21,Base,false,,James Wood
base,22,Base,false,,Geraldo Perdomo
base,23,Base,false,,Fernando Tatis Jr.
base,24,Base,false,,Chase DeLauter RC
base,25,Base,false,,Cole Young RC
base,26,Base,false,,Ezequiel Tovar
base,27,Base,false,,Chase Burns RC
base,28,Base,false,,Tatsuya Imai RC
base,29,Base,false,,Cam Schlittler RC
base,30,Base,false,,Ketel Marte
base,31,Base,false,,Alex Freeland RC
base,32,Base,false,,JR Ritchie RC
base,33,Base,false,,Connelly Early RC
base,34,Base,false,,Vladimir Guerrero Jr.
base,35,Base,false,,Julio Rodríguez
base,36,Base,false,,MacKenzie Gore
base,37,Base,false,,Owen Caissie RC
base,38,Base,false,,Bubba Chandler RC
base,39,Base,false,,Freddie Freeman
base,40,Base,false,,Jose Fernandez RC
base,41,Base,false,,Framber Valdez
base,42,Base,false,,Jeferson Quero RC
base,43,Base,false,,Roman Anthony RC
base,44,Base,false,,Christian Moore RC
base,45,Base,false,,Dylan Cease
base,46,Base,false,,Kyle Tucker
base,47,Base,false,,Sung-Mun Song RC
base,48,Base,false,,Sal Stewart RC
base,49,Base,false,,Bryan Woo
base,50,Base,false,,Vinnie Pasquantino
base,51,Base,false,,Jazz Chisholm Jr.
base,52,Base,false,,JJ Wetherholt RC
base,53,Base,false,,Mason Miller
base,54,Base,false,,Justin Crawford RC
base,55,Base,false,,Elmer Rodríguez RC
base,56,Base,false,,Wyatt Langford
base,57,Base,false,,Ronald Acuña Jr.
base,58,Base,false,,Jose Altuve
base,59,Base,false,,Roki Sasaki
base,60,Base,false,,Paul Skenes
base,61,Base,false,,Samuel Basallo RC
base,62,Base,false,,Chris Sale
base,63,Base,false,,Bryce Harper
base,64,Base,false,,Jung Hoo Lee
base,65,Base,false,,Jacob Misiorowski RC
base,66,Base,false,,Aaron Judge
base,67,Base,false,,Juan Soto
base,68,Base,false,,Yordan Alvarez
base,69,Base,false,,Willy Adames
base,70,Base,false,,Colson Montgomery RC
base,71,Base,false,,Kyle Schwarber
base,72,Base,false,,Tarik Skubal
base,73,Base,false,,Freddy Peralta
base,74,Base,false,,Kyle Karros RC
base,75,Base,false,,Mike Trout
base,76,Base,false,,Munetaka Murakami RC
base,77,Base,false,,TJ Rumfield RC
base,78,Base,false,,Bryce Eldridge RC
base,79,Base,false,,Jac Caglianone RC
base,80,Base,false,,Nolan McLean RC
base,81,Base,false,,Andrew McCutchen
base,82,Base,false,,Corey Seager
base,83,Base,false,,Corbin Carroll
base,84,Base,false,,Yoshinobu Yamamoto
base,85,Base,false,,Gunnar Henderson
base,86,Base,false,,Cal Raleigh
base,87,Base,false,,Steven Kwan
base,88,Base,false,,Nathan Church RC
base,89,Base,false,,Michael Harris II
base,90,Base,false,,Manny Machado
base,91,Base,false,,Pete Crow-Armstrong
base,92,Base,false,,Austin Riley
base,93,Base,false,,Trey Yesavage RC
base,94,Base,false,,Kazuma Okamoto RC
base,95,Base,false,,Carter Jensen RC
base,96,Base,false,,Carson Benge RC
base,97,Base,false,,Elly De La Cruz
base,98,Base,false,,Junior Caminero
base,99,Base,false,,Pete Alonso
base,100,Base,false,,Shohei Ohtani
base,BCP-151,Base,false,,Slater de Brun
base,BCP-152,Base,false,,Wandy Asigen
base,BCP-153,Base,false,,Alex Lodise
base,BCP-154,Base,false,,Colt Emerson
base,BCP-155,Base,false,,John Gil
base,BCP-156,Base,false,,Isaias Castillo
base,BCP-157,Base,false,,Rubel Arias
base,BCP-158,Base,false,,Fabricio Blanco
base,BCP-159,Base,false,,Christian Zazueta
base,BCP-160,Base,false,,Johenssy Colome
base,BCP-161,Base,false,,Diego Frontado
base,BCP-162,Base,false,,Talon Haley
base,BCP-163,Base,false,,Francisco Renteria
base,BCP-164,Base,false,,JoJo Parker
base,BCP-165,Base,false,,Darell Morel
base,BCP-166,Base,false,,Hagen Smith
base,BCP-167,Base,false,,Ezequiel Melbourne
base,BCP-168,Base,false,,Joseph Sullivan
base,BCP-169,Base,false,,Sebastian Blanco
base,BCP-170,Base,false,,Leo De Vries
base,BCP-171,Base,false,,Brandon Clarke
base,BCP-172,Base,false,,Leonardo Reynoso
base,BCP-173,Base,false,,Luis De La Torre
base,BCP-174,Base,false,,Aiva Arquette
base,BCP-175,Base,false,,Randy Santana
