category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,Base,false,,Ted Williams The Early Years,,
base,2,Base,false,,Ted Williams Ted's Idol Babe Ruth,,
base,3,Base,false,,Ted Williams Practice Makes Perfect,,
base,4,Base,false,,Ted Williams Learns Fine Points,,
base,5,Base,false,,Ted Williams Ted's Fame Spreads,,
base,6,Base,false,,Ted Williams Ted Turns Pro,,
base,7,Base,false,,Ted Williams From Mound to Plate,,
base,8,Base,false,,Ted Williams 1937 First Full Season,,
base,9,Base,false,,Ted Williams / Eddie Collins,,
base,10,Base,false,,Ted Williams Gunning as Pastime,,
base,11,Base,false,,Ted Williams / Jimmy Foxx,,
base,12,Base,false,,Ted Williams Burning Up Minors,,
base,13,Base,false,,Ted Williams 1939 Shows Will Stay,,
base,14,Base,false,,Ted Williams Outstanding Rookie '39,,
base,15,Base,false,,Ted Williams Licks Sophomore Jinx,,
base,16,Base,false,,Ted Williams 1941 Greatest Year,,
base,17,Base,false,,Ted Williams How Ted Hit .400,,
base,18,Base,false,,Ted Williams 1941 All Star Hero,,
base,19,Base,false,,Ted Williams Ted Wins Triple Crown,,
base,20,Base,false,,Ted Williams On to Naval Training,,
base,21,Base,false,,"""Honors for Williams""",,
base,22,Base,false,,Ted Williams 1944 Ted Solos,,
base,23,Base,false,,Ted Williams Williams Wins Wings,,
base,24,Base,false,,Ted Williams 1945 Sharpshooter,,
base,25,Base,false,,Ted Williams 1945 Ted Discharged,,
base,26,Base,false,,Ted Williams Off to Flying Start,,
base,27,Base,false,,7/9/46 One Man Show,,
base,28,Base,false,,Ted Williams The Williams Shift,,
base,29,Base,false,,Ted Williams Ted Hits for Cycle,,
base,30,Base,false,,Ted Williams Beating Williams Shift,,
base,31,Base,false,,Ted Williams Sox Lose Series,,
base,32,Base,false,,Ted Williams Most Valuable Player,,
base,33,Base,false,,Ted Williams Another Triple Crown,,
base,34,Base,false,,Ted Williams Runs Scored Record,,
base,35,Base,false,,Ted Williams Sox Miss Pennant,,
base,36,Base,false,,Ted Williams Banner Year for Ted,,
base,37,Base,false,,Ted Williams 1949 Sox Miss Again,,
base,38,Base,false,,Ted Williams 1949 Power Rampage,,
base,39,Base,false,,Ted Williams 1950 Great Start,,
base,40,Base,false,,Ted Williams Ted Crashes into Wall,,
base,41,Base,false,,Ted Williams 1950 Ted Recovers,,
base,42,Base,false,,Ted Williams / Tom Yawkey,,
base,43,Base,false,,Ted Williams Double Play Lead,,
base,44,Base,false,,Ted Williams Back to Marines,,
base,45,Base,false,,Ted Williams Farewell to Baseball,,
base,46,Base,false,,Ted Williams Ready for Combat,,
base,47,Base,false,,Ted Williams Ted Crash Lands Jet,,
base,48,Base,false,,Ted Williams 1953 Ted Returns,,
base,49,Base,false,,Ted Williams Smash Return,,
base,50,Base,false,,Ted Williams 1954 Spring Injury,,
base,51,Base,false,,Ted Williams Ted is Patched Up,,
base,52,Base,false,,Ted Williams 1954 Ted's Comeback,,
base,53,Base,false,,Ted Williams Comeback is Success,,
base,54,Base,false,,Ted Williams Ted Hooks Big One,,
base,55,Base,false,,Ted Williams Retirement No Go,,
base,57,Base,false,,Ted Williams 400th Homer,,
base,58,Base,false,,Ted Williams Williams Hits .388,,
base,59,Base,false,,Ted Williams Hot September for Ted,,
base,60,Base,false,,Ted Williams More Records for Ted,,
base,61,Base,false,,Ted Williams 1957 Outfielder Ted,,
base,62,Base,false,,Ted Williams 1958 Sixth Batting Title,,
base,63,Base,false,,AS Record w/Auto,,
base,64,Base,false,,Ted Williams Daughter and Daddy,,
base,65,Base,false,,Ted Williams 1958 August 30,,
base,66,Base,false,,Ted Williams 1958 Powerhouse,,
base,67,Base,false,,Family Fishermen (w/Sam Snead),,
base,68,Base,false,,Ted Williams Signs for 1959,,
base,69,Base,false,,Ted Williams A Future Ted Williams,,
base,70,Base,false,,Ted Williams / Jim Thorpe,,
base,71,Base,false,,Ted Williams Hitting Fundamental 1,,
base,72,Base,false,,Ted Williams Hitting Fundamental 2,,
base,73,Base,false,,Ted Williams Hitting Fundamental 3,,
base,74,Base,false,,Ted Williams Here's How,,
base,75,Base,false,,Ted Williams Williams' Value to Sox,,
base,76,Base,false,,Ted Williams On Base Record,,
base,77,Base,false,,Ted Williams Ted Relaxes,,
base,78,Base,false,,"""Honors for Williams""",,
base,79,Base,false,,Ted Williams Where Ted Stands,,
base,80,Base,false,,Ted Williams Ted's Goals for 1959,,
