category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,Base,false,,Mike Greenwell DK,,
base,2,Base,false,,Bobby Bonilla DK,,
base,3,Base,false,,Pete Incaviglia DK,,
base,4,Base,false,,Chris Sabo DK,,
base,5,Base,false,,Robin Yount DK,,
base,6,Base,false,,Tony Gwynn DK,,
base,8,Base,false,,Cory Snyder DK,,
base,9,UER: Hurlers Mispelled Hurdlers,false,,David Cone DK,,
base,10,Base,false,,Kevin Seitzer DK,,
base,11,Base,false,,Rick Reuschel DK,,
base,12,Base,false,,Johnny Ray DK,,
base,13,Base,false,,Dave Schmidt DK,,
base,14,Base,false,,Andres Galarraga DK,,
base,15,Base,false,,Kirk Gibson DK,,
base,16,Base,false,,Fred McGriff DK,,
base,17,Base,false,,Mark Grace DK,,
base,18,Base,false,,Jeff M. Robinson DK,,
base,19,Base,false,,Vince Coleman DK,,
base,20,Base,false,,Dave Henderson DK,,
base,21,Base,false,,Harold Reynolds DK,,
base,22,Base,false,,Gerald Perry DK,,
base,23,Base,false,,Frank Viola DK,,
base,24,Base,false,,Steve Bedrosian DK,,
base,25,Base,false,,Glenn Davis DK,,
base,26,Base,false,,Don Mattingly DK,,
base,27,Base,false,,Diamond King Checklist 1-26 DK,,
base,28,Base,false,,Sandy Alomar,,
base,29,Base,false,,Steve Searcy RR,,
base,30,Base,false,,Cameron Drew RR,,
base,31,Base,false,,Gary Sheffield RR RC,,
base,32,Base,false,,Erik Hanson RR RC,,
base,33,Base,false,,Ken Griffey,,
base,34,Base,false,,Greg W. Harris RR RC,,
base,35,Base,false,,Gregg Jefferies RR,,
base,36,Base,false,,Luis Medina RR,,
base,37,Base,false,,Carlos Quintana RR RC,,
base,38,UER: Born 5/2,false,,Felix Jose RR RC,,
base,39,UER: Born 4/5,false,,Cris Carpenter RR,,
base,40,Base,false,,Ron Jones RR,,
base,41,Base,false,,Dave West RR RC,,
base,42,UER: Born In 63,false,,Randy Johnson RR RC,,
