category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,Base,false,,Darin Erstad,,
base,1,Refractors,false,,Darin Erstad,,
base,1,Gold Refractors,false,100,Darin Erstad,serial-numbered to 100 copies,
base,2,Base,false,,Javy Lopez,,
base,2,Refractors,false,,Javy Lopez,,
base,2,Gold Refractors,false,100,Javy Lopez,serial-numbered to 100 copies,
base,3,Base,false,,Vinny Castilla,,
base,3,Refractors,false,,Vinny Castilla,,
base,3,Gold Refractors,false,100,Vinny Castilla,serial-numbered to 100 copies,
base,4,Base,false,,Jim Thome,,
base,4,Refractors,false,,Jim Thome,,
base,4,Gold Refractors,false,100,Jim Thome,serial-numbered to 100 copies,
base,5,Base,false,,Tino Martinez,,
base,5,Refractors,false,,Tino Martinez,,
base,5,Gold Refractors,false,100,Tino Martinez,serial-numbered to 100 copies,
base,6,Base,false,,Mark Grace,,
base,6,Refractors,false,,Mark Grace,,
base,6,Gold Refractors,false,100,Mark Grace,serial-numbered to 100 copies,
base,7,Base,false,,Shawn Green,,
base,7,Refractors,false,,Shawn Green,,
base,7,Gold Refractors,false,100,Shawn Green,serial-numbered to 100 copies,
base,8,Base,false,,Dustin Hermanson,,
base,8,Refractors,false,,Dustin Hermanson,,
base,8,Gold Refractors,false,100,Dustin Hermanson,serial-numbered to 100 copies,
base,9,Base,false,,Kevin Young,,
base,9,Refractors,false,,Kevin Young,,
base,9,Gold Refractors,false,100,Kevin Young,serial-numbered to 100 copies,
base,10,Base,false,,Tony Clark,,
base,10,Refractors,false,,Tony Clark,,
base,10,Gold Refractors,false,100,Tony Clark,serial-numbered to 100 copies,
base,11,Base,false,,Scott Brosius,,
base,11,Refractors,false,,Scott Brosius,,
base,11,Gold Refractors,false,100,Scott Brosius,serial-numbered to 100 copies,
base,12,Base,false,,Craig Biggio,,
base,12,Refractors,false,,Craig Biggio,,
base,12,Gold Refractors,false,100,Craig Biggio,serial-numbered to 100 copies,
base,13,Base,false,,Brian McRae,,
base,13,Refractors,false,,Brian McRae,,
base,13,Gold Refractors,false,100,Brian McRae,serial-numbered to 100 copies,
base,14,Base,false,,Chan Ho Park,,
base,14,Refractors,false,,Chan Ho Park,,
base,14,Gold Refractors,false,100,Chan Ho Park,serial-numbered to 100 copies,
base,15,Base,false,,Manny Ramirez,,
base,15,Refractors,false,,Manny Ramirez,,
base,15,Gold Refractors,false,100,Manny Ramirez,serial-numbered to 100 copies,
base,16,Base,false,,Chipper Jones,,
base,16,Refractors,false,,Chipper Jones,,
base,16,Gold Refractors,false,100,Chipper Jones,serial-numbered to 100 copies,
base,17,Base,false,,Rico Brogna,,
base,17,Refractors,false,,Rico Brogna,,
base,17,Gold Refractors,false,100,Rico Brogna,serial-numbered to 100 copies,
base,18,Base,false,,Quinton McCracken,,
base,18,Refractors,false,,Quinton McCracken,,
base,18,Gold Refractors,false,100,Quinton McCracken,serial-numbered to 100 copies,
base,19,Base,false,,J.T. Snow,,
base,19,Refractors,false,,J.T. Snow,,
base,19,Gold Refractors,false,100,J.T. Snow,serial-numbered to 100 copies,
base,20,Base,false,,Tony Gwynn,,
