category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,Base,false,,Vladimir Guerrero,,
base,1,Atlantic City National,false,,Vladimir Guerrero,,
base,2,Base,false,,Derek Jeter,,
base,2,Atlantic City National,false,,Derek Jeter,,
base,3,Base,false,,Adam Dunn,,
base,3,Atlantic City National,false,,Adam Dunn,,
base,4,Base,false,,Greg Maddux,,
base,4,Atlantic City National,false,,Greg Maddux,,
base,5,Base,false,,Lance Berkman,,
base,5,Atlantic City National,false,,Lance Berkman,,
base,6,Base,false,,Ichiro,,
base,6,Atlantic City National,false,,Ichiro,,
base,7,Base,false,,Mike Piazza,,
base,7,Atlantic City National,false,,Mike Piazza,,
base,8,Base,false,,Alex Rodriguez,,
base,8,Atlantic City National,false,,Alex Rodriguez,,
base,9,Base,false,,Tom Glavine,,
base,9,Atlantic City National,false,,Tom Glavine,,
base,10,Base,false,,Randy Johnson,,
base,10,Atlantic City National,false,,Randy Johnson,,
base,11,Base,false,,Nomar Garciaparra,,
base,11,Atlantic City National,false,,Nomar Garciaparra,,
base,12,Base,false,,Jason Giambi,,
base,12,Atlantic City National,false,,Jason Giambi,,
base,13,Base,false,,Sammy Sosa,,
base,13,Atlantic City National,false,,Sammy Sosa,,
base,14,Base,false,,Barry Zito,,
base,14,Atlantic City National,false,,Barry Zito,,
base,15,Base,false,,Chipper Jones,,
base,15,Atlantic City National,false,,Chipper Jones,,
base,16,Base,false,,Magglio Ordonez,,
base,16,Atlantic City National,false,,Magglio Ordonez,,
base,17,Base,false,,Larry Walker,,
base,17,Atlantic City National,false,,Larry Walker,,
base,18,Base,false,,Alfonso Soriano,,
base,18,Atlantic City National,false,,Alfonso Soriano,,
base,19,Base,false,,Curt Schilling,,
base,19,Atlantic City National,false,,Curt Schilling,,
base,20,Base,false,,Barry Bonds,,
base,20,Atlantic City National,false,,Barry Bonds,,
base,21,Base,false,,Joe Borchard,,
base,21,Atlantic City National,false,,Joe Borchard,,
base,22,Base,false,,Chris Snelling,,
base,22,Atlantic City National,false,,Chris Snelling,,
base,23,Base,false,,Brian Tallet,,
base,23,Atlantic City National,false,,Brian Tallet,,
base,24,Base,false,,Cliff Lee,,
base,24,Atlantic City National,false,,Cliff Lee,,
base,25,Base,false,,Freddy Sanchez,,
base,25,Atlantic City National,false,,Freddy Sanchez,,
base,26,Base,false,,Chone Figgins,,
base,26,Atlantic City National,false,,Chone Figgins,,
base,27,Base,false,,Kevin Cash,,
base,27,Atlantic City National,false,,Kevin Cash,,
