category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
base,1,Base,false,,Kris Bryant,,
base,1,Transcendent 65th Anniversary Parallel,false,,Kris Bryant,,
base,2,Base,false,,Jason Hammel,,
base,2,Transcendent 65th Anniversary Parallel,false,,Jason Hammel,,
base,3,Base,false,,Chris Capuano,,
base,3,Transcendent 65th Anniversary Parallel,false,,Chris Capuano,,
base,4,Base,false,,Mark Reynolds,,
base,4,Transcendent 65th Anniversary Parallel,false,,Mark Reynolds,,
base,5,Base,false,,Corey Seager RCup,,
base,5,Transcendent 65th Anniversary Parallel,false,,Corey Seager RCup,,
base,6,Base,false,,Kevin Pillar,,
base,6,Transcendent 65th Anniversary Parallel,false,,Kevin Pillar,,
base,7,Base,false,,Gary Sanchez RCup,,
base,7,Transcendent 65th Anniversary Parallel,false,,Gary Sanchez RCup,,
base,8,Base,false,,Jose Berrios,,
base,8,Transcendent 65th Anniversary Parallel,false,,Jose Berrios,,
base,9,Base,false,,Chris Sale,,
base,9,Transcendent 65th Anniversary Parallel,false,,Chris Sale,,
base,10,Base,false,,Steven Souza Jr.,,
base,10,Transcendent 65th Anniversary Parallel,false,,Steven Souza Jr.,,
base,11,Base,false,,Jake Smolinski,,
base,11,Transcendent 65th Anniversary Parallel,false,,Jake Smolinski,,
base,12,Base,false,,Jerad Eickhoff,,
base,12,Transcendent 65th Anniversary Parallel,false,,Jerad Eickhoff,,
base,13,Base,false,,Adeiny Hechavarria,,
base,13,Transcendent 65th Anniversary Parallel,false,,Adeiny Hechavarria,,
base,14,Base,false,,Travis d'Arnaud,,
base,14,Transcendent 65th Anniversary Parallel,false,,Travis d'Arnaud,,
base,15,Base,false,,Braden Shipley RC,,
base,15,Transcendent 65th Anniversary Parallel,false,,Braden Shipley RC,,
base,16,Base,false,,Lance McCullers,,
base,16,Transcendent 65th Anniversary Parallel,false,,Lance McCullers,,
base,17,Base,false,,Daniel Descalso,,
base,17,Transcendent 65th Anniversary Parallel,false,,Daniel Descalso,,
base,18,Base,false,,Jake Arrieta WSH,,
base,18,Transcendent 65th Anniversary Parallel,false,,Jake Arrieta WSH,,
base,19,Base,false,,David Wright,,
base,19,Transcendent 65th Anniversary Parallel,false,,David Wright,,
base,20,Base,false,,Mike Trout,,
base,20,Transcendent 65th Anniversary Parallel,false,,Mike Trout,,
base,21,Base,false,,Robert Gsellman RC,,
base,21,Transcendent 65th Anniversary Parallel,false,,Robert Gsellman RC,,
base,22,Base,false,,Keone Kela,,
base,22,Transcendent 65th Anniversary Parallel,false,,Keone Kela,,
base,23,Base,false,,Marcell Ozuna,,
base,23,Transcendent 65th Anniversary Parallel,false,,Marcell Ozuna,,
base,24,Base,false,,Christian Friedrich,,
base,24,Transcendent 65th Anniversary Parallel,false,,Christian Friedrich,,
base,25,Base,false,,Giancarlo Stanton,,
base,25,Transcendent 65th Anniversary Parallel,false,,Giancarlo Stanton,,
base,26,Base,false,,David Peralta,,
base,26,Transcendent 65th Anniversary Parallel,false,,David Peralta,,
base,27,Base,false,,Kurt Suzuki,,
base,27,Transcendent 65th Anniversary Parallel,false,,Kurt Suzuki,,
base,28,Base,false,,Rick Porcello LL,,
base,28,Transcendent 65th Anniversary Parallel,false,,Rick Porcello LL,,
base,29,Base,false,,Marco Estrada,,
base,29,Transcendent 65th Anniversary Parallel,false,,Marco Estrada,,
base,30,Base,false,,Josh Bell RC,,
base,30,Transcendent 65th Anniversary Parallel,false,,Josh Bell RC,,
base,31,Base,false,,Carlos Carrasco,,
base,31,Transcendent 65th Anniversary Parallel,false,,Carlos Carrasco,,
base,32,Base,false,,"Matt Harvey / Noah Syndergaard ""Thor and the Dark Knight""",,
base,32,Transcendent 65th Anniversary Parallel,false,,"Matt Harvey / Noah Syndergaard ""Thor and the Dark Knight""",,
base,33,Base,false,,Carson Fulmer RC,,
base,33,Transcendent 65th Anniversary Parallel,false,,Carson Fulmer RC,,
base,34,Base,false,,Bryce Harper,,
base,34,Transcendent 65th Anniversary Parallel,false,,Bryce Harper,,
base,35,Base,false,,Nolan Arenado LL,,
base,35,Transcendent 65th Anniversary Parallel,false,,Nolan Arenado LL,,
base,37,Base,false,,Toronto Blue Jays TC,,
base,37,Transcendent 65th Anniversary Parallel,false,,Toronto Blue Jays TC,,
base,38,Base,false,,Stephen Strasburg,,
base,38,Transcendent 65th Anniversary Parallel,false,,Stephen Strasburg,,
base,39,Base,false,,Aroldis Chapman WSH,,
base,39,Transcendent 65th Anniversary Parallel,false,,Aroldis Chapman WSH,,
base,40,Base,false,,Jordan Zimmermann,,
base,40,Transcendent 65th Anniversary Parallel,false,,Jordan Zimmermann,,
base,41,Base,false,,Paulo Orlando,,
base,41,Transcendent 65th Anniversary Parallel,false,,Paulo Orlando,,
base,42,Base,false,,Trevor Story,,
base,42,Transcendent 65th Anniversary Parallel,false,,Trevor Story,,
base,43,Base,false,,Tyler Austin RC,,
base,43,Transcendent 65th Anniversary Parallel,false,,Tyler Austin RC,,
base,44,Base,false,,Paul Goldschmidt,,
base,44,Transcendent 65th Anniversary Parallel,false,,Paul Goldschmidt,,
base,45,Base,false,,Joakim Soria,,
base,45,Transcendent 65th Anniversary Parallel,false,,Joakim Soria,,
base,46,Base,false,,Will Middlebrooks,,
base,46,Transcendent 65th Anniversary Parallel,false,,Will Middlebrooks,,
base,47,Base,false,,Gregor Blanco,,
base,47,Transcendent 65th Anniversary Parallel,false,,Gregor Blanco,,
base,48,Base,false,,Brian McCann,,
base,48,Transcendent 65th Anniversary Parallel,false,,Brian McCann,,
base,49,Base,false,,Scooter Gennett,,
base,49,Transcendent 65th Anniversary Parallel,false,,Scooter Gennett,,
base,50,Base,false,,Clayton Kershaw,,
base,50,Transcendent 65th Anniversary Parallel,false,,Clayton Kershaw,,
base,51,Base,false,,Jake Barrett,,
base,51,Transcendent 65th Anniversary Parallel,false,,Jake Barrett,,
base,52,Base,false,,Neftali Feliz,,
base,52,Transcendent 65th Anniversary Parallel,false,,Neftali Feliz,,
base,53,Base,false,,Ryon Healy RC,,
base,53,Transcendent 65th Anniversary Parallel,false,,Ryon Healy RC,,
base,54,Base,false,,Dellin Betances,,
base,54,Transcendent 65th Anniversary Parallel,false,,Dellin Betances,,
base,55,Base,false,,Mark Trumbo LL,,
base,55,Transcendent 65th Anniversary Parallel,false,,Mark Trumbo LL,,
base,56,Base,false,,Danny Salazar,,
base,56,Transcendent 65th Anniversary Parallel,false,,Danny Salazar,,
base,57,Base,false,,C.J. Cron,,
base,57,Transcendent 65th Anniversary Parallel,false,,C.J. Cron,,
base,58,Base,false,,Starling Marte,,
base,58,Transcendent 65th Anniversary Parallel,false,,Starling Marte,,
base,59,Base,false,,Carlos Rodon,,
base,59,Transcendent 65th Anniversary Parallel,false,,Carlos Rodon,,
base,60,Base,false,,Jose Bautista,,
base,60,Transcendent 65th Anniversary Parallel,false,,Jose Bautista,,
base,61,Base,false,,Xander Bogaerts,,
base,61,Transcendent 65th Anniversary Parallel,false,,Xander Bogaerts,,
base,62,Base,false,,Daniel Murphy,,
base,62,Transcendent 65th Anniversary Parallel,false,,Daniel Murphy,,
base,63,Base,false,,Mike Moustakas,,
base,63,Transcendent 65th Anniversary Parallel,false,,Mike Moustakas,,
base,64,Base,false,,Adam Eaton,,
base,64,Transcendent 65th Anniversary Parallel,false,,Adam Eaton,,
base,65,Base,false,,Madison Bumgarner,,
base,65,Transcendent 65th Anniversary Parallel,false,,Madison Bumgarner,,
base,66,Base,false,,Aaron Altherr,,
base,66,Transcendent 65th Anniversary Parallel,false,,Aaron Altherr,,
base,67,Base,false,,Teoscar Hernandez RC,,
base,67,Transcendent 65th Anniversary Parallel,false,,Teoscar Hernandez RC,,
base,68,Base,false,,Zach Britton,,
base,68,Transcendent 65th Anniversary Parallel,false,,Zach Britton,,
base,69,Base,false,,Henry Owens,,
base,69,Transcendent 65th Anniversary Parallel,false,,Henry Owens,,
base,70,Base,false,,Wily Peralta,,
base,70,Transcendent 65th Anniversary Parallel,false,,Wily Peralta,,
base,71,Base,false,,Matt Shoemaker,,
base,71,Transcendent 65th Anniversary Parallel,false,,Matt Shoemaker,,
base,72,Base,false,,Chicago Cubs TC,,
base,72,Transcendent 65th Anniversary Parallel,false,,Chicago Cubs TC,,
base,73,Base,false,,Kyle Schwarber,,
base,73,Transcendent 65th Anniversary Parallel,false,,Kyle Schwarber,,
base,74,Base,false,,Brett Lawrie,,
base,74,Transcendent 65th Anniversary Parallel,false,,Brett Lawrie,,
base,75,Base,false,,Carlos Correa,,
base,75,Transcendent 65th Anniversary Parallel,false,,Carlos Correa,,
base,76,Base,false,,Andre Ethier,,
base,76,Transcendent 65th Anniversary Parallel,false,,Andre Ethier,,
base,77,Base,false,,Austin Jackson,,
base,77,Transcendent 65th Anniversary Parallel,false,,Austin Jackson,,
base,78,Base,false,,Addison Russell WSH,,
base,78,Transcendent 65th Anniversary Parallel,false,,Addison Russell WSH,,
base,79,Base,false,,Gabriel Ynoa RC,,
base,79,Transcendent 65th Anniversary Parallel,false,,Gabriel Ynoa RC,,
base,80,Base,false,,Ivan Nova,,
base,80,Transcendent 65th Anniversary Parallel,false,,Ivan Nova,,
base,81,Base,false,,DJ LeMahieu LL,,
base,81,Transcendent 65th Anniversary Parallel,false,,DJ LeMahieu LL,,
base,82,Base,false,,Aaron Sanchez LL,,
base,82,Transcendent 65th Anniversary Parallel,false,,Aaron Sanchez LL,,
base,83,Base,false,,Anibal Sanchez,,
