category,cardNumber,parallel,isAuto,printRun,player
auto-hot-signatures-red,1,,true,25,Luka Doncic
auto-hot-signatures-red,2,,true,25,Anthony Davis
auto-hot-signatures-red,3,,true,25,Bradley Beal
auto-hot-signatures-red,4,,true,25,Stephen Curry
auto-hot-signatures-red,5,,true,25,Jaren Jackson Jr.
auto-hot-signatures-red,6,,true,25,Michael Porter Jr.
auto-hot-signatures-red,7,,true,25,Anfernee Simons
auto-hot-signatures-red,8,,true,25,Shawn Kemp
auto-hot-signatures-red,9,,true,25,Nickeil Alexander-Walker
auto-hot-signatures-red,10,,true,25,Jonathan Kuminga
auto-hot-signatures-red,11,,true,25,Duncan Robinson
auto-hot-signatures-red,12,,true,25,Trae Young
auto-hot-signatures-red,13,,true,25,Joakim Noah
auto-hot-signatures-red,14,,true,25,Jalen Brunson
auto-hot-signatures-red,15,,true,25,Chris Duarte
auto-hot-signatures-red,16,,true,25,Herbert Jones
auto-hot-signatures-red,17,,true,25,RJ Barrett
auto-hot-signatures-red,18,,true,25,Ayo Dosunmu
auto-hot-signatures-red,19,,true,25,Obi Toppin
auto-hot-signatures-red,20,,true,25,Shai Gilgeous-Alexander
auto-hot-signatures-red,21,,true,25,Danilo Gallinari
auto-hot-signatures-red,22,,true,25,Jamal Murray
auto-hot-signatures-red,23,,true,25,Avery Johnson
auto-hot-signatures-red,24,,true,25,Tyrese Haliburton
auto-hot-signatures-red,25,,true,25,JJ Redick
auto-hot-signatures-red,26,,true,25,Wendell Carter Jr.
auto-hot-signatures-red,27,,true,25,Jerry West
auto-hot-signatures-red,28,,true,25,Kevin Garnett
auto-hot-signatures-red,29,,true,25,Grant Hill
auto-hot-signatures-red,30,,true,25,Vince Carter
auto-hot-signatures-red,31,,true,25,Julius Randle
auto-hot-signatures-red,32,,true,25,Anthony Edwards
auto-hot-signatures-red,33,,true,25,Tony Parker
auto-hot-signatures-red,34,,true,25,Myles Turner
auto-hot-signatures-red,35,,true,25,Collin Sexton
auto-hot-signatures-red,36,,true,25,Alex Caruso
auto-hot-signatures-red,37,,true,25,Franz Wagner
auto-hot-signatures-red,38,,true,25,Calvin Murphy
auto-hot-signatures-red,39,,true,25,Latrell Sprewell
auto-hot-signatures-red,40,,true,25,Joe Dumars
auto-hot-signatures-red,41,,true,25,B.J. Armstrong
auto-hot-signatures-red,42,,true,25,Antawn Jamison
auto-hot-signatures-red,43,,true,25,Bernard King
auto-hot-signatures-red,44,,true,25,Jamaal Wilkes
auto-hot-signatures-red,45,,true,25,Jalen Green
auto-hot-signatures-red,46,,true,25,Tim Hardaway
auto-hot-signatures-red,47,,true,25,Kevin Huerter
auto-hot-signatures-red,48,,true,25,Scottie Barnes
auto-hot-signatures-red,49,,true,25,Bobby Portis
auto-hot-signatures-red,50,,true,25,Jason Richardson
