category,cardNumber,parallel,isAuto,printRun,player
auto-rookie-ink,1,,true,,Paolo Banchero
auto-rookie-ink,2,,true,,Chet Holmgren
auto-rookie-ink,3,,true,,Jabari Smith Jr.
auto-rookie-ink,4,,true,,Keegan Murray
auto-rookie-ink,5,,true,,Jaden Ivey
auto-rookie-ink,6,,true,,Bennedict Mathurin
auto-rookie-ink,7,,true,,Shaedon Sharpe
auto-rookie-ink,8,,true,,Dyson Daniels
auto-rookie-ink,9,,true,,Jeremy Sochan
auto-rookie-ink,10,,true,,Johnny Davis
auto-rookie-ink,11,,true,,Ousmane Dieng
auto-rookie-ink,12,,true,,Jalen Williams
auto-rookie-ink,13,,true,,Jalen Duren
auto-rookie-ink,14,,true,,Ochai Agbaji
auto-rookie-ink,15,,true,,Mark Williams
auto-rookie-ink,16,,true,,AJ Griffin
auto-rookie-ink,17,,true,,Tari Eason
auto-rookie-ink,18,,true,,Dalen Terry
auto-rookie-ink,19,,true,,Jake LaRavia
auto-rookie-ink,20,,true,,Malaki Branham
auto-rookie-ink,21,,true,,Christian Braun
auto-rookie-ink,22,,true,,Walker Kessler
auto-rookie-ink,23,,true,,David Roddy
auto-rookie-ink,24,,true,,MarJon Beauchamp
auto-rookie-ink,25,,true,,Blake Wesley
auto-rookie-ink,26,,true,,Wendell Moore Jr.
auto-rookie-ink,27,,true,,Nikola Jovic
auto-rookie-ink,28,,true,,Patrick Baldwin Jr.
auto-rookie-ink,29,,true,,TyTy Washington Jr.
auto-rookie-ink,30,,true,,Peyton Watson
auto-rookie-ink,31,,true,,Andrew Nembhard
auto-rookie-ink,32,,true,,Caleb Houstan
auto-rookie-ink,33,,true,,Christian Koloko
auto-rookie-ink,34,,true,,Max Christie
auto-rookie-ink,35,,true,,Jaden Hardy
auto-rookie-ink,36,,true,,Kennedy Chandler
auto-rookie-ink,37,,true,,Moussa Diabate
auto-rookie-ink,38,,true,,E.J. Liddell
auto-rookie-ink,39,,true,,Trevor Keels
auto-rookie-ink,40,,true,,Isaiah Mobley
auto-rookie-ink,41,,true,,Jaylin Williams
auto-rookie-ink,42,,true,,Kendall Brown
auto-rookie-ink,43,,true,,Bryce McGowens
auto-rookie-ink,44,,true,,Vince Williams Jr.
auto-rookie-ink,45,,true,,Justin Lewis
auto-rookie-ink,46,,true,,Alondes Williams
auto-rookie-ink,47,,true,,Collin Gillespie
auto-rookie-ink,48,,true,,Jabari Walker
auto-rookie-ink,49,,true,,Scotty Pippen Jr.
auto-rookie-ink,50,,true,,Ryan Rollins
auto-rookie-ink-green,1,Green,true,,Paolo Banchero
auto-rookie-ink-green,2,Green,true,,Chet Holmgren
auto-rookie-ink-green,3,Green,true,,Jabari Smith Jr.
auto-rookie-ink-green,4,Green,true,,Keegan Murray
auto-rookie-ink-green,5,Green,true,,Jaden Ivey
auto-rookie-ink-green,6,Green,true,,Bennedict Mathurin
auto-rookie-ink-green,7,Green,true,,Shaedon Sharpe
auto-rookie-ink-green,8,Green,true,,Dyson Daniels
auto-rookie-ink-green,9,Green,true,,Jeremy Sochan
auto-rookie-ink-green,10,Green,true,,Johnny Davis
auto-rookie-ink-green,11,Green,true,,Ousmane Dieng
auto-rookie-ink-green,12,Green,true,,Jalen Williams
auto-rookie-ink-green,13,Green,true,,Jalen Duren
