category,cardNumber,parallel,isAuto,printRun,player
auto-college-penmanship-prizms-black,1,,true,1,Paolo Banchero
auto-college-penmanship-prizms-black,2,,true,1,Chet Holmgren
auto-college-penmanship-prizms-black,3,,true,1,Jabari Smith Jr.
auto-college-penmanship-prizms-black,5,,true,1,Kris Murray
auto-college-penmanship-prizms-black,8,,true,1,Remy Martin
auto-college-penmanship-prizms-black,10,,true,1,Bennedict Mathurin
auto-college-penmanship-prizms-black,11,,true,1,Abu Kigab
auto-college-penmanship-prizms-black,12,,true,1,Alex Barcello
auto-college-penmanship-prizms-black,13,,true,1,Aminu Mohammed
auto-college-penmanship-prizms-black,14,,true,1,Armando Bacot Jr.
auto-college-penmanship-prizms-black,16,,true,1,Brad Davison
auto-college-penmanship-prizms-black,17,,true,1,Bryce Hamilton
auto-college-penmanship-prizms-black,18,,true,1,Caleb Love
auto-college-penmanship-prizms-black,19,,true,1,Charlie Moore
auto-college-penmanship-prizms-black,20,,true,1,Chris Lykes
auto-college-penmanship-prizms-black,21,,true,1,Au’Diese Toney
auto-college-penmanship-prizms-black,22,,true,1,Fatts Russell
auto-college-penmanship-prizms-black,23,,true,1,David McCormack
auto-college-penmanship-prizms-black,24,,true,1,Dereon Seabron
auto-college-penmanship-prizms-black,25,,true,1,Cole Swider
auto-college-penmanship-prizms-black,26,,true,1,Collin Welp
auto-college-penmanship-prizms-black,27,,true,1,Jermaine Samuels
auto-college-penmanship-prizms-black,29,,true,1,Jared Rhoden
auto-college-penmanship-prizms-black,30,,true,1,Jordan Bohannon
auto-college-penmanship-prizms-black,31,,true,1,Kellan Grady
auto-college-penmanship-prizms-black,38,,true,1,Mike Okauru
auto-college-penmanship-prizms-black,39,,true,1,Nate Laszewski
auto-college-penmanship-prizms-black,41,,true,1,Orlando Robinson
auto-college-penmanship-prizms-black,43,,true,1,Quenton Jackson
auto-college-penmanship-prizms-black,44,,true,1,Sasha Stefanovic
auto-college-penmanship-prizms-black,45,,true,1,Savion Flagg
auto-college-penmanship-prizms-black,46,,true,1,Teddy Allen
auto-college-penmanship-prizms-black,47,,true,1,Terrell Brown Jr.
auto-college-penmanship-prizms-black,50,,true,1,Trey McGowens
auto-college-penmanship-prizms-black,53,,true,1,Tyson Etienne
auto-college-penmanship-prizms-black,54,,true,1,Vince Williams Jr.
auto-college-penmanship-prizms-black,55,,true,1,Will Richardson
auto-college-penmanship-prizms-black-gold,1,Gold,true,5,Paolo Banchero
auto-college-penmanship-prizms-black-gold,2,Gold,true,5,Chet Holmgren
auto-college-penmanship-prizms-black-gold,3,Gold,true,5,Jabari Smith Jr.
auto-college-penmanship-prizms-black-gold,5,Gold,true,5,Kris Murray
auto-college-penmanship-prizms-black-gold,8,Gold,true,5,Remy Martin
auto-college-penmanship-prizms-black-gold,10,Gold,true,5,Bennedict Mathurin
auto-college-penmanship-prizms-black-gold,11,Gold,true,5,Abu Kigab
auto-college-penmanship-prizms-black-gold,12,Gold,true,5,Alex Barcello
auto-college-penmanship-prizms-black-gold,13,Gold,true,5,Aminu Mohammed
auto-college-penmanship-prizms-black-gold,14,Gold,true,5,Armando Bacot Jr.
auto-college-penmanship-prizms-black-gold,16,Gold,true,5,Brad Davison
auto-college-penmanship-prizms-black-gold,17,Gold,true,5,Bryce Hamilton
auto-college-penmanship-prizms-black-gold,18,Gold,true,5,Caleb Love
auto-college-penmanship-prizms-black-gold,19,Gold,true,5,Charlie Moore
auto-college-penmanship-prizms-black-gold,20,Gold,true,5,Chris Lykes
auto-college-penmanship-prizms-black-gold,21,Gold,true,5,Au’Diese Toney
auto-college-penmanship-prizms-black-gold,22,Gold,true,5,Fatts Russell
auto-college-penmanship-prizms-black-gold,23,Gold,true,5,David McCormack
auto-college-penmanship-prizms-black-gold,24,Gold,true,5,Dereon Seabron
auto-college-penmanship-prizms-black-gold,25,Gold,true,5,Cole Swider
auto-college-penmanship-prizms-black-gold,26,Gold,true,5,Collin Welp
auto-college-penmanship-prizms-black-gold,27,Gold,true,5,Jermaine Samuels
auto-college-penmanship-prizms-black-gold,29,Gold,true,5,Jared Rhoden
auto-college-penmanship-prizms-black-gold,30,Gold,true,5,Jordan Bohannon
auto-college-penmanship-prizms-black-gold,31,Gold,true,5,Kellan Grady
auto-college-penmanship-prizms-black-gold,38,Gold,true,5,Mike Okauru
auto-college-penmanship-prizms-black-gold,39,Gold,true,5,Nate Laszewski
auto-college-penmanship-prizms-black-gold,41,Gold,true,5,Orlando Robinson
auto-college-penmanship-prizms-black-gold,43,Gold,true,5,Quenton Jackson
auto-college-penmanship-prizms-black-gold,44,Gold,true,5,Sasha Stefanovic
auto-college-penmanship-prizms-black-gold,45,Gold,true,5,Savion Flagg
auto-college-penmanship-prizms-black-gold,46,Gold,true,5,Teddy Allen
auto-college-penmanship-prizms-black-gold,47,Gold,true,5,Terrell Brown Jr.
auto-college-penmanship-prizms-black-gold,50,Gold,true,5,Trey McGowens
auto-college-penmanship-prizms-black-gold,53,Gold,true,5,Tyson Etienne
auto-college-penmanship-prizms-black-gold,54,Gold,true,5,Vince Williams Jr.
auto-college-penmanship-prizms-black-gold,55,Gold,true,5,Will Richardson
