category,cardNumber,parallel,isAuto,printRun,player
auto-college-penmanship-prizms-hyper,1,,true,,Paolo Banchero
auto-college-penmanship-prizms-hyper,3,,true,,Jabari Smith Jr.
auto-college-penmanship-prizms-hyper,5,,true,,Kris Murray
auto-college-penmanship-prizms-hyper,8,,true,,Remy Martin
auto-college-penmanship-prizms-hyper,10,,true,,Bennedict Mathurin
auto-college-penmanship-prizms-hyper,11,,true,,Abu Kigab
auto-college-penmanship-prizms-hyper,12,,true,,Alex Barcello
auto-college-penmanship-prizms-hyper,13,,true,,Aminu Mohammed
auto-college-penmanship-prizms-hyper,14,,true,,Armando Bacot Jr.
auto-college-penmanship-prizms-hyper,16,,true,,Brad Davison
auto-college-penmanship-prizms-hyper,17,,true,,Bryce Hamilton
auto-college-penmanship-prizms-hyper,18,,true,,Caleb Love
auto-college-penmanship-prizms-hyper,19,,true,,Charlie Moore
auto-college-penmanship-prizms-hyper,20,,true,,Chris Lykes
auto-college-penmanship-prizms-hyper,21,,true,,Au’Diese Toney
auto-college-penmanship-prizms-hyper,22,,true,,Fatts Russell
auto-college-penmanship-prizms-hyper,23,,true,,David McCormack
auto-college-penmanship-prizms-hyper,24,,true,,Dereon Seabron
auto-college-penmanship-prizms-hyper,25,,true,,Cole Swider
auto-college-penmanship-prizms-hyper,26,,true,,Collin Welp
auto-college-penmanship-prizms-hyper,27,,true,,Jermaine Samuels
auto-college-penmanship-prizms-hyper,29,,true,,Jared Rhoden
auto-college-penmanship-prizms-hyper,30,,true,,Jordan Bohannon
auto-college-penmanship-prizms-hyper,31,,true,,Kellan Grady
auto-college-penmanship-prizms-hyper,38,,true,,Mike Okauru
auto-college-penmanship-prizms-hyper,39,,true,,Nate Laszewski
auto-college-penmanship-prizms-hyper,41,,true,,Orlando Robinson
auto-college-penmanship-prizms-hyper,43,,true,,Quenton Jackson
auto-college-penmanship-prizms-hyper,44,,true,,Sasha Stefanovic
auto-college-penmanship-prizms-hyper,45,,true,,Savion Flagg
auto-college-penmanship-prizms-hyper,46,,true,,Teddy Allen
auto-college-penmanship-prizms-hyper,47,,true,,Terrell Brown Jr.
auto-college-penmanship-prizms-hyper,50,,true,,Trey McGowens
auto-college-penmanship-prizms-hyper,53,,true,,Tyson Etienne
auto-college-penmanship-prizms-hyper,54,,true,,Vince Williams Jr.
auto-college-penmanship-prizms-hyper,55,,true,,Will Richardson
