category,cardNumber,parallel,isAuto,printRun,player
auto-college-penmanship-prizms-purple-ice,1,,true,99,Paolo Banchero
auto-college-penmanship-prizms-purple-ice,2,,true,99,Chet Holmgren
auto-college-penmanship-prizms-purple-ice,3,,true,99,Jabari Smith Jr.
auto-college-penmanship-prizms-purple-ice,5,,true,99,Kris Murray
auto-college-penmanship-prizms-purple-ice,8,,true,99,Remy Martin
auto-college-penmanship-prizms-purple-ice,10,,true,99,Bennedict Mathurin
auto-college-penmanship-prizms-purple-ice,11,,true,99,Abu Kigab
auto-college-penmanship-prizms-purple-ice,12,,true,99,Alex Barcello
auto-college-penmanship-prizms-purple-ice,13,,true,99,Aminu Mohammed
auto-college-penmanship-prizms-purple-ice,14,,true,99,Armando Bacot Jr.
auto-college-penmanship-prizms-purple-ice,16,,true,99,Brad Davison
auto-college-penmanship-prizms-purple-ice,17,,true,99,Bryce Hamilton
auto-college-penmanship-prizms-purple-ice,19,,true,99,Charlie Moore
auto-college-penmanship-prizms-purple-ice,20,,true,99,Chris Lykes
auto-college-penmanship-prizms-purple-ice,21,,true,99,Au’Diese Toney
auto-college-penmanship-prizms-purple-ice,22,,true,99,Fatts Russell
auto-college-penmanship-prizms-purple-ice,23,,true,99,David McCormack
auto-college-penmanship-prizms-purple-ice,24,,true,99,Dereon Seabron
auto-college-penmanship-prizms-purple-ice,25,,true,99,Cole Swider
auto-college-penmanship-prizms-purple-ice,26,,true,99,Collin Welp
auto-college-penmanship-prizms-purple-ice,27,,true,99,Jermaine Samuels
auto-college-penmanship-prizms-purple-ice,29,,true,99,Jared Rhoden
auto-college-penmanship-prizms-purple-ice,30,,true,99,Jordan Bohannon
auto-college-penmanship-prizms-purple-ice,31,,true,99,Kellan Grady
auto-college-penmanship-prizms-purple-ice,38,,true,99,Mike Okauru
auto-college-penmanship-prizms-purple-ice,39,,true,99,Nate Laszewski
auto-college-penmanship-prizms-purple-ice,41,,true,99,Orlando Robinson
auto-college-penmanship-prizms-purple-ice,43,,true,99,Quenton Jackson
auto-college-penmanship-prizms-purple-ice,44,,true,99,Sasha Stefanovic
auto-college-penmanship-prizms-purple-ice,45,,true,99,Savion Flagg
auto-college-penmanship-prizms-purple-ice,46,,true,99,Teddy Allen
auto-college-penmanship-prizms-purple-ice,47,,true,99,Terrell Brown Jr.
auto-college-penmanship-prizms-purple-ice,50,,true,99,Trey McGowens
auto-college-penmanship-prizms-purple-ice,53,,true,99,Tyson Etienne
auto-college-penmanship-prizms-purple-ice,54,,true,99,Vince Williams Jr.
auto-college-penmanship-prizms-purple-ice,55,,true,99,Will Richardson
