category,cardNumber,parallel,isAuto,printRun,player
auto-college-penmanship-prizms-silver,1,,true,,Paolo Banchero
auto-college-penmanship-prizms-silver,3,,true,,Jabari Smith Jr.
auto-college-penmanship-prizms-silver,5,,true,,Kris Murray
auto-college-penmanship-prizms-silver,8,,true,,Remy Martin
auto-college-penmanship-prizms-silver,10,,true,,Bennedict Mathurin
auto-college-penmanship-prizms-silver,11,,true,,Abu Kigab
auto-college-penmanship-prizms-silver,12,,true,,Alex Barcello
auto-college-penmanship-prizms-silver,13,,true,,Aminu Mohammed
auto-college-penmanship-prizms-silver,14,,true,,Armando Bacot Jr.
auto-college-penmanship-prizms-silver,16,,true,,Brad Davison
auto-college-penmanship-prizms-silver,17,,true,,Bryce Hamilton
auto-college-penmanship-prizms-silver,18,,true,,Caleb Love
auto-college-penmanship-prizms-silver,19,,true,,Charlie Moore
auto-college-penmanship-prizms-silver,20,,true,,Chris Lykes
auto-college-penmanship-prizms-silver,21,,true,,Au’Diese Toney
auto-college-penmanship-prizms-silver,22,,true,,Fatts Russell
auto-college-penmanship-prizms-silver,23,,true,,David McCormack
auto-college-penmanship-prizms-silver,24,,true,,Dereon Seabron
auto-college-penmanship-prizms-silver,25,,true,,Cole Swider
auto-college-penmanship-prizms-silver,26,,true,,Collin Welp
auto-college-penmanship-prizms-silver,27,,true,,Jermaine Samuels
auto-college-penmanship-prizms-silver,29,,true,,Jared Rhoden
auto-college-penmanship-prizms-silver,30,,true,,Jordan Bohannon
auto-college-penmanship-prizms-silver,31,,true,,Kellan Grady
auto-college-penmanship-prizms-silver,38,,true,,Mike Okauru
auto-college-penmanship-prizms-silver,39,,true,,Nate Laszewski
auto-college-penmanship-prizms-silver,41,,true,,Orlando Robinson
auto-college-penmanship-prizms-silver,43,,true,,Quenton Jackson
auto-college-penmanship-prizms-silver,44,,true,,Sasha Stefanovic
auto-college-penmanship-prizms-silver,45,,true,,Savion Flagg
auto-college-penmanship-prizms-silver,46,,true,,Teddy Allen
auto-college-penmanship-prizms-silver,47,,true,,Terrell Brown Jr.
auto-college-penmanship-prizms-silver,50,,true,,Trey McGowens
auto-college-penmanship-prizms-silver,53,,true,,Tyson Etienne
auto-college-penmanship-prizms-silver,54,,true,,Vince Williams Jr.
auto-college-penmanship-prizms-silver,55,,true,,Will Richardson
