category,cardNumber,parallel,isAuto,printRun,player
auto-draft-picks-autographs-prizms-choice-nebula,2,,true,1,Jaden Ivey
auto-draft-picks-autographs-prizms-choice-nebula,6,,true,1,Shaedon Sharpe
auto-draft-picks-autographs-prizms-choice-nebula,7,,true,1,Keegan Murray
auto-draft-picks-autographs-prizms-choice-nebula,8,,true,1,AJ Griffin
auto-draft-picks-autographs-prizms-choice-nebula,9,,true,1,Bennedict Mathurin
auto-draft-picks-autographs-prizms-choice-nebula,10,,true,1,Jalen Duren
auto-draft-picks-autographs-prizms-choice-nebula,11,,true,1,Johnny Davis
auto-draft-picks-autographs-prizms-choice-nebula,12,,true,1,Dyson Daniels
auto-draft-picks-autographs-prizms-choice-nebula,13,,true,1,Jeremy Sochan
auto-draft-picks-autographs-prizms-choice-nebula,14,,true,1,Mark Williams
auto-draft-picks-autographs-prizms-choice-nebula,15,,true,1,Malaki Branham
auto-draft-picks-autographs-prizms-choice-nebula,16,,true,1,TyTy Washington Jr.
auto-draft-picks-autographs-prizms-choice-nebula,17,,true,1,Tari Eason
auto-draft-picks-autographs-prizms-choice-nebula,19,,true,1,Ochai Agbaji
auto-draft-picks-autographs-prizms-choice-nebula,20,,true,1,Blake Wesley
auto-draft-picks-autographs-prizms-choice-nebula,21,,true,1,Patrick Baldwin Jr.
auto-draft-picks-autographs-prizms-choice-nebula,22,,true,1,Ousmane Dieng
auto-draft-picks-autographs-prizms-choice-nebula,23,,true,1,Kennedy Chandler
auto-draft-picks-autographs-prizms-choice-nebula,24,,true,1,MarJon Beauchamp
auto-draft-picks-autographs-prizms-choice-nebula,25,,true,1,Christian Braun
auto-draft-picks-autographs-prizms-choice-nebula,26,,true,1,E.J. Liddell
auto-draft-picks-autographs-prizms-choice-nebula,27,,true,1,Nikola Jovic
auto-draft-picks-autographs-prizms-choice-nebula,28,,true,1,Wendell Moore Jr.
auto-draft-picks-autographs-prizms-choice-nebula,29,,true,1,Christian Koloko
auto-draft-picks-autographs-prizms-choice-nebula,32,,true,1,Kendall Brown
auto-draft-picks-autographs-prizms-choice-nebula,33,,true,1,Bryce McGowens
auto-draft-picks-autographs-prizms-choice-nebula,34,,true,1,Jaden Hardy
auto-draft-picks-autographs-prizms-choice-nebula,35,,true,1,Walker Kessler
auto-draft-picks-autographs-prizms-choice-nebula,36,,true,1,Jalen Williams
auto-draft-picks-autographs-prizms-choice-nebula,37,,true,1,Trevor Keels
auto-draft-picks-autographs-prizms-choice-nebula,38,,true,1,Ryan Rollins
auto-draft-picks-autographs-prizms-choice-nebula,39,,true,1,Jake LaRavia
auto-draft-picks-autographs-prizms-choice-nebula,40,,true,1,David Roddy
auto-draft-picks-autographs-prizms-choice-nebula,41,,true,1,Jean Montero
auto-draft-picks-autographs-prizms-choice-nebula,42,,true,1,Max Christie
auto-draft-picks-autographs-prizms-choice-nebula,43,,true,1,Andrew Nembhard
auto-draft-picks-autographs-prizms-choice-nebula,44,,true,1,Dalen Terry
auto-draft-picks-autographs-prizms-choice-nebula,45,,true,1,Justin Lewis
auto-draft-picks-autographs-prizms-choice-nebula,46,,true,1,Josh Minott
auto-draft-picks-autographs-prizms-choice-nebula,47,,true,1,Caleb Houstan
auto-draft-picks-autographs-prizms-choice-nebula,48,,true,1,Jabari Walker
auto-draft-picks-autographs-prizms-choice-nebula,50,,true,1,Jaylin Williams
auto-draft-picks-autographs-prizms-choice-nebula,51,,true,1,Scotty Pippen Jr.
auto-draft-picks-autographs-prizms-choice-nebula,52,,true,1,Ron Harper Jr.
auto-draft-picks-autographs-prizms-choice-nebula,53,,true,1,Buddy Boeheim
auto-draft-picks-autographs-prizms-choice-nebula,54,,true,1,Alondes Williams
auto-draft-picks-autographs-prizms-choice-nebula,55,,true,1,Izaiah Brockington
auto-draft-picks-autographs-prizms-choice-nebula,56,,true,1,JD Notae
auto-draft-picks-autographs-prizms-choice-nebula,57,,true,1,Johnny Juzang
