category,cardNumber,parallel,isAuto,printRun,player
auto-draft-picks-autographs-prizms-hyper,2,,true,,Jaden Ivey
auto-draft-picks-autographs-prizms-hyper,6,,true,,Shaedon Sharpe
auto-draft-picks-autographs-prizms-hyper,7,,true,,Keegan Murray
auto-draft-picks-autographs-prizms-hyper,8,,true,,AJ Griffin
auto-draft-picks-autographs-prizms-hyper,9,,true,,Bennedict Mathurin
auto-draft-picks-autographs-prizms-hyper,10,,true,,Jalen Duren
auto-draft-picks-autographs-prizms-hyper,11,,true,,Johnny Davis
auto-draft-picks-autographs-prizms-hyper,12,,true,,Dyson Daniels
auto-draft-picks-autographs-prizms-hyper,13,,true,,Jeremy Sochan
auto-draft-picks-autographs-prizms-hyper,14,,true,,Mark Williams
auto-draft-picks-autographs-prizms-hyper,15,,true,,Malaki Branham
auto-draft-picks-autographs-prizms-hyper,16,,true,,TyTy Washington Jr.
auto-draft-picks-autographs-prizms-hyper,17,,true,,Tari Eason
auto-draft-picks-autographs-prizms-hyper,19,,true,,Ochai Agbaji
auto-draft-picks-autographs-prizms-hyper,20,,true,,Blake Wesley
auto-draft-picks-autographs-prizms-hyper,21,,true,,Patrick Baldwin Jr.
auto-draft-picks-autographs-prizms-hyper,22,,true,,Ousmane Dieng
auto-draft-picks-autographs-prizms-hyper,23,,true,,Kennedy Chandler
auto-draft-picks-autographs-prizms-hyper,24,,true,,MarJon Beauchamp
auto-draft-picks-autographs-prizms-hyper,25,,true,,Christian Braun
auto-draft-picks-autographs-prizms-hyper,26,,true,,E.J. Liddell
auto-draft-picks-autographs-prizms-hyper,27,,true,,Nikola Jovic
auto-draft-picks-autographs-prizms-hyper,28,,true,,Wendell Moore Jr.
auto-draft-picks-autographs-prizms-hyper,29,,true,,Christian Koloko
auto-draft-picks-autographs-prizms-hyper,32,,true,,Kendall Brown
auto-draft-picks-autographs-prizms-hyper,33,,true,,Bryce McGowens
auto-draft-picks-autographs-prizms-hyper,34,,true,,Jaden Hardy
auto-draft-picks-autographs-prizms-hyper,35,,true,,Walker Kessler
auto-draft-picks-autographs-prizms-hyper,36,,true,,Jalen Williams
auto-draft-picks-autographs-prizms-hyper,37,,true,,Trevor Keels
auto-draft-picks-autographs-prizms-hyper,38,,true,,Ryan Rollins
auto-draft-picks-autographs-prizms-hyper,39,,true,,Jake LaRavia
auto-draft-picks-autographs-prizms-hyper,40,,true,,David Roddy
auto-draft-picks-autographs-prizms-hyper,41,,true,,Jean Montero
auto-draft-picks-autographs-prizms-hyper,42,,true,,Max Christie
auto-draft-picks-autographs-prizms-hyper,43,,true,,Andrew Nembhard
auto-draft-picks-autographs-prizms-hyper,44,,true,,Dalen Terry
auto-draft-picks-autographs-prizms-hyper,45,,true,,Justin Lewis
auto-draft-picks-autographs-prizms-hyper,46,,true,,Josh Minott
auto-draft-picks-autographs-prizms-hyper,47,,true,,Caleb Houstan
auto-draft-picks-autographs-prizms-hyper,48,,true,,Jabari Walker
auto-draft-picks-autographs-prizms-hyper,50,,true,,Jaylin Williams
auto-draft-picks-autographs-prizms-hyper,51,,true,,Scotty Pippen Jr.
auto-draft-picks-autographs-prizms-hyper,52,,true,,Ron Harper Jr.
auto-draft-picks-autographs-prizms-hyper,53,,true,,Buddy Boeheim
auto-draft-picks-autographs-prizms-hyper,54,,true,,Alondes Williams
auto-draft-picks-autographs-prizms-hyper,55,,true,,Izaiah Brockington
auto-draft-picks-autographs-prizms-hyper,56,,true,,JD Notae
auto-draft-picks-autographs-prizms-hyper,57,,true,,Johnny Juzang
auto-draft-picks-autographs-prizms-hyper,58,,true,,Jordan Hall
auto-draft-picks-autographs-prizms-hyper,59,,true,,Keon Ellis
auto-draft-picks-autographs-prizms-hyper,60,,true,,Kofi Cockburn
auto-draft-picks-autographs-prizms-hyper,61,,true,,Darius Days
auto-draft-picks-autographs-prizms-hyper,62,,true,,Iverson Molinar
auto-draft-picks-autographs-prizms-hyper,63,,true,,Kai Sotto
auto-draft-picks-autographs-prizms-hyper,64,,true,,Jimmy Boeheim
auto-draft-picks-autographs-prizms-hyper,68,,true,,Brady Manek
auto-draft-picks-autographs-prizms-hyper,69,,true,,Trent Frazier
auto-draft-picks-autographs-prizms-hyper,70,,true,,Peter Kiss
auto-draft-picks-autographs-prizms-hyper,71,,true,,RJ Cole
auto-draft-picks-autographs-prizms-hyper,72,,true,,Ryan Davis
auto-draft-picks-autographs-prizms-hyper,74,,true,,Trevion Williams
auto-draft-picks-autographs-prizms-hyper,75,,true,,Jaden Shackelford
auto-draft-picks-autographs-prizms-hyper,76,,true,,Isaiah Mobley
auto-draft-picks-autographs-prizms-hyper,78,,true,,Malik Curry
auto-draft-picks-autographs-prizms-hyper,79,,true,,Tevin Brown
auto-draft-picks-autographs-prizms-hyper,80,,true,,Rocky Kreuser
auto-draft-picks-autographs-prizms-hyper,81,,true,,Peyton Watson
auto-draft-picks-autographs-prizms-hyper,82,,true,,Gabe Brown
auto-draft-picks-autographs-prizms-hyper,83,,true,,Payton Willis
auto-draft-picks-autographs-prizms-hyper,84,,true,,Paul Atkinson Jr.
auto-draft-picks-autographs-prizms-hyper,85,,true,,Noah Kirkwood
auto-draft-picks-autographs-prizms-hyper,86,,true,,Kameron McGusty
auto-draft-picks-autographs-prizms-hyper,87,,true,,Alfonso Plummer
auto-draft-picks-autographs-prizms-hyper,88,,true,,Anthony Polite
auto-draft-picks-autographs-prizms-hyper,89,,true,,Collin Gillespie
auto-draft-picks-autographs-prizms-hyper,90,,true,,Davion Mintz
