category,cardNumber,parallel,isAuto,printRun,player
auto-draft-picks-autographs-prizms-silver,2,,true,,Jaden Ivey
auto-draft-picks-autographs-prizms-silver,6,,true,,Shaedon Sharpe
auto-draft-picks-autographs-prizms-silver,7,,true,,Keegan Murray
auto-draft-picks-autographs-prizms-silver,8,,true,,AJ Griffin
auto-draft-picks-autographs-prizms-silver,9,,true,,Bennedict Mathurin
auto-draft-picks-autographs-prizms-silver,10,,true,,Jalen Duren
auto-draft-picks-autographs-prizms-silver,11,,true,,Johnny Davis
auto-draft-picks-autographs-prizms-silver,12,,true,,Dyson Daniels
auto-draft-picks-autographs-prizms-silver,13,,true,,Jeremy Sochan
auto-draft-picks-autographs-prizms-silver,14,,true,,Mark Williams
auto-draft-picks-autographs-prizms-silver,15,,true,,Malaki Branham
auto-draft-picks-autographs-prizms-silver,16,,true,,TyTy Washington Jr.
auto-draft-picks-autographs-prizms-silver,17,,true,,Tari Eason
auto-draft-picks-autographs-prizms-silver,19,,true,,Ochai Agbaji
auto-draft-picks-autographs-prizms-silver,20,,true,,Blake Wesley
auto-draft-picks-autographs-prizms-silver,21,,true,,Patrick Baldwin Jr.
auto-draft-picks-autographs-prizms-silver,22,,true,,Ousmane Dieng
auto-draft-picks-autographs-prizms-silver,23,,true,,Kennedy Chandler
auto-draft-picks-autographs-prizms-silver,24,,true,,MarJon Beauchamp
auto-draft-picks-autographs-prizms-silver,25,,true,,Christian Braun
auto-draft-picks-autographs-prizms-silver,26,,true,,E.J. Liddell
auto-draft-picks-autographs-prizms-silver,27,,true,,Nikola Jovic
auto-draft-picks-autographs-prizms-silver,28,,true,,Wendell Moore Jr.
auto-draft-picks-autographs-prizms-silver,29,,true,,Christian Koloko
auto-draft-picks-autographs-prizms-silver,32,,true,,Kendall Brown
auto-draft-picks-autographs-prizms-silver,33,,true,,Bryce McGowens
auto-draft-picks-autographs-prizms-silver,34,,true,,Jaden Hardy
auto-draft-picks-autographs-prizms-silver,35,,true,,Walker Kessler
auto-draft-picks-autographs-prizms-silver,36,,true,,Jalen Williams
auto-draft-picks-autographs-prizms-silver,37,,true,,Trevor Keels
auto-draft-picks-autographs-prizms-silver,38,,true,,Ryan Rollins
auto-draft-picks-autographs-prizms-silver,39,,true,,Jake LaRavia
auto-draft-picks-autographs-prizms-silver,40,,true,,David Roddy
auto-draft-picks-autographs-prizms-silver,41,,true,,Jean Montero
auto-draft-picks-autographs-prizms-silver,42,,true,,Max Christie
auto-draft-picks-autographs-prizms-silver,43,,true,,Andrew Nembhard
auto-draft-picks-autographs-prizms-silver,44,,true,,Dalen Terry
auto-draft-picks-autographs-prizms-silver,45,,true,,Justin Lewis
auto-draft-picks-autographs-prizms-silver,46,,true,,Josh Minott
auto-draft-picks-autographs-prizms-silver,47,,true,,Caleb Houstan
auto-draft-picks-autographs-prizms-silver,48,,true,,Jabari Walker
auto-draft-picks-autographs-prizms-silver,50,,true,,Jaylin Williams
auto-draft-picks-autographs-prizms-silver,51,,true,,Scotty Pippen Jr.
auto-draft-picks-autographs-prizms-silver,52,,true,,Ron Harper Jr.
auto-draft-picks-autographs-prizms-silver,53,,true,,Buddy Boeheim
auto-draft-picks-autographs-prizms-silver,54,,true,,Alondes Williams
auto-draft-picks-autographs-prizms-silver,55,,true,,Izaiah Brockington
auto-draft-picks-autographs-prizms-silver,56,,true,,JD Notae
auto-draft-picks-autographs-prizms-silver,57,,true,,Johnny Juzang
auto-draft-picks-autographs-prizms-silver,58,,true,,Jordan Hall
auto-draft-picks-autographs-prizms-silver,59,,true,,Keon Ellis
auto-draft-picks-autographs-prizms-silver,60,,true,,Kofi Cockburn
auto-draft-picks-autographs-prizms-silver,61,,true,,Darius Days
auto-draft-picks-autographs-prizms-silver,62,,true,,Iverson Molinar
auto-draft-picks-autographs-prizms-silver,63,,true,,Kai Sotto
auto-draft-picks-autographs-prizms-silver,64,,true,,Jimmy Boeheim
auto-draft-picks-autographs-prizms-silver,68,,true,,Brady Manek
auto-draft-picks-autographs-prizms-silver,69,,true,,Trent Frazier
auto-draft-picks-autographs-prizms-silver,70,,true,,Peter Kiss
auto-draft-picks-autographs-prizms-silver,71,,true,,RJ Cole
auto-draft-picks-autographs-prizms-silver,72,,true,,Ryan Davis
auto-draft-picks-autographs-prizms-silver,74,,true,,Trevion Williams
auto-draft-picks-autographs-prizms-silver,75,,true,,Jaden Shackelford
auto-draft-picks-autographs-prizms-silver,76,,true,,Isaiah Mobley
auto-draft-picks-autographs-prizms-silver,78,,true,,Malik Curry
auto-draft-picks-autographs-prizms-silver,79,,true,,Tevin Brown
auto-draft-picks-autographs-prizms-silver,80,,true,,Rocky Kreuser
auto-draft-picks-autographs-prizms-silver,81,,true,,Peyton Watson
auto-draft-picks-autographs-prizms-silver,82,,true,,Gabe Brown
auto-draft-picks-autographs-prizms-silver,83,,true,,Payton Willis
auto-draft-picks-autographs-prizms-silver,84,,true,,Paul Atkinson Jr.
auto-draft-picks-autographs-prizms-silver,85,,true,,Noah Kirkwood
auto-draft-picks-autographs-prizms-silver,86,,true,,Kameron McGusty
auto-draft-picks-autographs-prizms-silver,87,,true,,Alfonso Plummer
auto-draft-picks-autographs-prizms-silver,88,,true,,Anthony Polite
auto-draft-picks-autographs-prizms-silver,89,,true,,Collin Gillespie
auto-draft-picks-autographs-prizms-silver,90,,true,,Davion Mintz
