category,cardNumber,parallel,isAuto,printRun,player
auto-draft-picks-autographs-prizms-white-sparkle,2,,true,1,Jaden Ivey
auto-draft-picks-autographs-prizms-white-sparkle,6,,true,1,Shaedon Sharpe
auto-draft-picks-autographs-prizms-white-sparkle,7,,true,1,Keegan Murray
auto-draft-picks-autographs-prizms-white-sparkle,8,,true,1,AJ Griffin
auto-draft-picks-autographs-prizms-white-sparkle,9,,true,1,Bennedict Mathurin
auto-draft-picks-autographs-prizms-white-sparkle,10,,true,1,Jalen Duren
auto-draft-picks-autographs-prizms-white-sparkle,11,,true,1,Johnny Davis
auto-draft-picks-autographs-prizms-white-sparkle,12,,true,1,Dyson Daniels
auto-draft-picks-autographs-prizms-white-sparkle,13,,true,1,Jeremy Sochan
auto-draft-picks-autographs-prizms-white-sparkle,14,,true,1,Mark Williams
auto-draft-picks-autographs-prizms-white-sparkle,15,,true,1,Malaki Branham
auto-draft-picks-autographs-prizms-white-sparkle,16,,true,1,TyTy Washington Jr.
auto-draft-picks-autographs-prizms-white-sparkle,17,,true,1,Tari Eason
auto-draft-picks-autographs-prizms-white-sparkle,19,,true,1,Ochai Agbaji
auto-draft-picks-autographs-prizms-white-sparkle,20,,true,1,Blake Wesley
auto-draft-picks-autographs-prizms-white-sparkle,21,,true,1,Patrick Baldwin Jr.
auto-draft-picks-autographs-prizms-white-sparkle,22,,true,1,Ousmane Dieng
auto-draft-picks-autographs-prizms-white-sparkle,23,,true,1,Kennedy Chandler
auto-draft-picks-autographs-prizms-white-sparkle,24,,true,1,MarJon Beauchamp
auto-draft-picks-autographs-prizms-white-sparkle,25,,true,1,Christian Braun
auto-draft-picks-autographs-prizms-white-sparkle,26,,true,1,E.J. Liddell
auto-draft-picks-autographs-prizms-white-sparkle,27,,true,1,Nikola Jovic
auto-draft-picks-autographs-prizms-white-sparkle,28,,true,1,Wendell Moore Jr.
auto-draft-picks-autographs-prizms-white-sparkle,29,,true,1,Christian Koloko
auto-draft-picks-autographs-prizms-white-sparkle,32,,true,1,Kendall Brown
auto-draft-picks-autographs-prizms-white-sparkle,33,,true,1,Bryce McGowens
auto-draft-picks-autographs-prizms-white-sparkle,34,,true,1,Jaden Hardy
auto-draft-picks-autographs-prizms-white-sparkle,35,,true,1,Walker Kessler
auto-draft-picks-autographs-prizms-white-sparkle,36,,true,1,Jalen Williams
auto-draft-picks-autographs-prizms-white-sparkle,37,,true,1,Trevor Keels
auto-draft-picks-autographs-prizms-white-sparkle,38,,true,1,Ryan Rollins
auto-draft-picks-autographs-prizms-white-sparkle,39,,true,1,Jake LaRavia
auto-draft-picks-autographs-prizms-white-sparkle,40,,true,1,David Roddy
auto-draft-picks-autographs-prizms-white-sparkle,41,,true,1,Jean Montero
auto-draft-picks-autographs-prizms-white-sparkle,42,,true,1,Max Christie
auto-draft-picks-autographs-prizms-white-sparkle,43,,true,1,Andrew Nembhard
auto-draft-picks-autographs-prizms-white-sparkle,44,,true,1,Dalen Terry
auto-draft-picks-autographs-prizms-white-sparkle,45,,true,1,Justin Lewis
auto-draft-picks-autographs-prizms-white-sparkle,46,,true,1,Josh Minott
auto-draft-picks-autographs-prizms-white-sparkle,47,,true,1,Caleb Houstan
auto-draft-picks-autographs-prizms-white-sparkle,48,,true,1,Jabari Walker
auto-draft-picks-autographs-prizms-white-sparkle,50,,true,1,Jaylin Williams
auto-draft-picks-autographs-prizms-white-sparkle,51,,true,1,Scotty Pippen Jr.
auto-draft-picks-autographs-prizms-white-sparkle,52,,true,1,Ron Harper Jr.
auto-draft-picks-autographs-prizms-white-sparkle,53,,true,1,Buddy Boeheim
auto-draft-picks-autographs-prizms-white-sparkle,54,,true,1,Alondes Williams
auto-draft-picks-autographs-prizms-white-sparkle,55,,true,1,Izaiah Brockington
auto-draft-picks-autographs-prizms-white-sparkle,56,,true,1,JD Notae
auto-draft-picks-autographs-prizms-white-sparkle,57,,true,1,Johnny Juzang
auto-draft-picks-autographs-prizms-white-sparkle,58,,true,1,Jordan Hall
auto-draft-picks-autographs-prizms-white-sparkle,59,,true,1,Keon Ellis
