category,cardNumber,parallel,isAuto,printRun,player
auto-freshman-signatures-prizms-red,1,,true,199,Keyonte George
auto-freshman-signatures-prizms-red,2,,true,199,Dariq Whitehead
auto-freshman-signatures-prizms-red,3,,true,199,Dillon Mitchell
auto-freshman-signatures-prizms-red,5,,true,199,Anthony Black
auto-freshman-signatures-prizms-red,6,,true,199,Jordan Walsh
auto-freshman-signatures-prizms-red,12,,true,199,Jalen Hood-Schifino
auto-freshman-signatures-prizms-red,15,,true,199,Cason Wallace
auto-freshman-signatures-prizms-red,18,,true,199,Kel'el Ware
auto-freshman-signatures-prizms-red,21,,true,199,Vincent Iwuchukwu
auto-freshman-signatures-prizms-red-shimmer,1,Shimmer,true,9,Keyonte George
auto-freshman-signatures-prizms-red-shimmer,2,Shimmer,true,9,Dariq Whitehead
auto-freshman-signatures-prizms-red-shimmer,3,Shimmer,true,9,Dillon Mitchell
auto-freshman-signatures-prizms-red-shimmer,5,Shimmer,true,9,Anthony Black
auto-freshman-signatures-prizms-red-shimmer,6,Shimmer,true,9,Jordan Walsh
auto-freshman-signatures-prizms-red-shimmer,12,Shimmer,true,9,Jalen Hood-Schifino
auto-freshman-signatures-prizms-red-shimmer,15,Shimmer,true,9,Cason Wallace
auto-freshman-signatures-prizms-red-shimmer,18,Shimmer,true,9,Kel'el Ware
auto-freshman-signatures-prizms-red-shimmer,21,Shimmer,true,9,Vincent Iwuchukwu
