category,cardNumber,parallel,isAuto,printRun,player
auto-freshman-signatures,1,,true,,Keyonte George
auto-freshman-signatures,2,,true,,Dariq Whitehead
auto-freshman-signatures,5,,true,,Anthony Black
auto-freshman-signatures,6,,true,,Jordan Walsh
auto-freshman-signatures,12,,true,,Jalen Hood-Schifino
auto-freshman-signatures,15,,true,,Cason Wallace
auto-freshman-signatures,18,,true,,Kel'el Ware
auto-freshman-signatures,21,,true,,Vincent Iwuchukwu
auto-freshman-signatures-prizms-purple-ice,1,Prizms Purple Ice,true,99,Keyonte George
auto-freshman-signatures-prizms-purple-ice,2,Prizms Purple Ice,true,99,Dariq Whitehead
auto-freshman-signatures-prizms-purple-ice,5,Prizms Purple Ice,true,99,Anthony Black
auto-freshman-signatures-prizms-purple-ice,6,Prizms Purple Ice,true,99,Jordan Walsh
auto-freshman-signatures-prizms-purple-ice,12,Prizms Purple Ice,true,99,Jalen Hood-Schifino
auto-freshman-signatures-prizms-purple-ice,15,Prizms Purple Ice,true,99,Cason Wallace
auto-freshman-signatures-prizms-purple-ice,18,Prizms Purple Ice,true,99,Kel'el Ware
auto-freshman-signatures-prizms-purple-ice,21,Prizms Purple Ice,true,99,Vincent Iwuchukwu
