category,cardNumber,parallel,isAuto,printRun,player
auto-sensational-signatures-prizms-gold,1,,true,10,Jordan Usher
auto-sensational-signatures-prizms-gold,2,,true,10,Kenneth Lofton Jr.
auto-sensational-signatures-prizms-gold,4,,true,10,Lucas Williamson
auto-sensational-signatures-prizms-gold,5,,true,10,Moussa Diabate
auto-sensational-signatures-prizms-gold,6,,true,10,PJ Hall
auto-sensational-signatures-prizms-gold,8,,true,10,Tyrese Martin
auto-sensational-signatures-prizms-gold,9,,true,10,Collin Gillespie
auto-sensational-signatures-prizms-gold,11,,true,10,Alex O'Connell
auto-sensational-signatures-prizms-gold,12,,true,10,David McCormack
auto-sensational-signatures-prizms-gold,14,,true,10,Brandon Horvath
auto-sensational-signatures-prizms-gold,16,,true,10,Bryson Williams
auto-sensational-signatures-prizms-gold,18,,true,10,Colin Castleton
auto-sensational-signatures-prizms-gold,19,,true,10,Keve Aluma
auto-sensational-signatures-prizms-gold,20,,true,10,Dominick Barlow
auto-sensational-signatures-prizms-gold,21,,true,10,Isaiah Mobley
auto-sensational-signatures-prizms-gold,22,,true,10,Evan Battey
auto-sensational-signatures-prizms-gold,23,,true,10,Grant Golden
auto-sensational-signatures-prizms-gold,24,,true,10,Peyton Watson
auto-sensational-signatures-prizms-gold,30,,true,10,Jamaree Bouyea
auto-sensational-signatures-prizms-gold,31,,true,10,James Akinjo
auto-sensational-signatures-prizms-gold,33,,true,10,Javon Freeman-Liberty
auto-sensational-signatures-prizms-gold,34,,true,10,Jaylen Sims
auto-sensational-signatures-prizms-gold,35,,true,10,Jericole Hellems
auto-sensational-signatures-prizms-gold,36,,true,10,John Butler
auto-sensational-signatures-prizms-gold,40,,true,10,Julian Champagnie
auto-sensational-signatures-prizms-gold,41,,true,10,Justin Bean
auto-sensational-signatures-prizms-gold,42,,true,10,Justin Minaya
auto-sensational-signatures-prizms-gold,46,,true,10,Malik Osborne
auto-sensational-signatures-prizms-gold,48,,true,10,Michael Devoe
auto-sensational-signatures-prizms-gold,49,,true,10,Michael Foster Jr.
auto-sensational-signatures-prizms-gold,50,,true,10,Nysier Brooks
auto-sensational-signatures-prizms-gold,51,,true,10,Remy Martin
auto-sensational-signatures-prizms-gold,54,,true,10,Taz Sherman
auto-sensational-signatures-prizms-gold,55,,true,10,Zach Edey
