category,cardNumber,parallel,isAuto,printRun,player
auto-sensational-signatures-prizms-hyper,1,,true,,Jordan Usher
auto-sensational-signatures-prizms-hyper,2,,true,,Kenneth Lofton Jr.
auto-sensational-signatures-prizms-hyper,4,,true,,Lucas Williamson
auto-sensational-signatures-prizms-hyper,5,,true,,Moussa Diabate
auto-sensational-signatures-prizms-hyper,6,,true,,PJ Hall
auto-sensational-signatures-prizms-hyper,8,,true,,Tyrese Martin
auto-sensational-signatures-prizms-hyper,9,,true,,Collin Gillespie
auto-sensational-signatures-prizms-hyper,11,,true,,Alex O'Connell
auto-sensational-signatures-prizms-hyper,12,,true,,David McCormack
auto-sensational-signatures-prizms-hyper,14,,true,,Brandon Horvath
auto-sensational-signatures-prizms-hyper,16,,true,,Bryson Williams
auto-sensational-signatures-prizms-hyper,18,,true,,Colin Castleton
auto-sensational-signatures-prizms-hyper,19,,true,,Keve Aluma
auto-sensational-signatures-prizms-hyper,20,,true,,Dominick Barlow
auto-sensational-signatures-prizms-hyper,21,,true,,Isaiah Mobley
auto-sensational-signatures-prizms-hyper,22,,true,,Evan Battey
auto-sensational-signatures-prizms-hyper,23,,true,,Grant Golden
auto-sensational-signatures-prizms-hyper,24,,true,,Peyton Watson
auto-sensational-signatures-prizms-hyper,30,,true,,Jamaree Bouyea
auto-sensational-signatures-prizms-hyper,31,,true,,James Akinjo
auto-sensational-signatures-prizms-hyper,33,,true,,Javon Freeman-Liberty
auto-sensational-signatures-prizms-hyper,34,,true,,Jaylen Sims
auto-sensational-signatures-prizms-hyper,35,,true,,Jericole Hellems
auto-sensational-signatures-prizms-hyper,36,,true,,John Butler
auto-sensational-signatures-prizms-hyper,40,,true,,Julian Champagnie
auto-sensational-signatures-prizms-hyper,41,,true,,Justin Bean
auto-sensational-signatures-prizms-hyper,42,,true,,Justin Minaya
auto-sensational-signatures-prizms-hyper,46,,true,,Malik Osborne
auto-sensational-signatures-prizms-hyper,48,,true,,Michael Devoe
auto-sensational-signatures-prizms-hyper,49,,true,,Michael Foster Jr.
auto-sensational-signatures-prizms-hyper,50,,true,,Nysier Brooks
auto-sensational-signatures-prizms-hyper,51,,true,,Remy Martin
auto-sensational-signatures-prizms-hyper,54,,true,,Taz Sherman
auto-sensational-signatures-prizms-hyper,55,,true,,Zach Edey
