category,cardNumber,parallel,isAuto,printRun,player
auto-sensational-signatures-prizms-orange-pulsar,1,,true,49,Jordan Usher
auto-sensational-signatures-prizms-orange-pulsar,2,,true,49,Kenneth Lofton Jr.
auto-sensational-signatures-prizms-orange-pulsar,4,,true,49,Lucas Williamson
auto-sensational-signatures-prizms-orange-pulsar,5,,true,49,Moussa Diabate
auto-sensational-signatures-prizms-orange-pulsar,6,,true,49,PJ Hall
auto-sensational-signatures-prizms-orange-pulsar,8,,true,49,Tyrese Martin
auto-sensational-signatures-prizms-orange-pulsar,9,,true,49,Collin Gillespie
auto-sensational-signatures-prizms-orange-pulsar,11,,true,49,Alex O'Connell
auto-sensational-signatures-prizms-orange-pulsar,12,,true,49,David McCormack
auto-sensational-signatures-prizms-orange-pulsar,14,,true,49,Brandon Horvath
auto-sensational-signatures-prizms-orange-pulsar,16,,true,49,Bryson Williams
auto-sensational-signatures-prizms-orange-pulsar,18,,true,49,Colin Castleton
auto-sensational-signatures-prizms-orange-pulsar,19,,true,49,Keve Aluma
auto-sensational-signatures-prizms-orange-pulsar,20,,true,49,Dominick Barlow
auto-sensational-signatures-prizms-orange-pulsar,21,,true,49,Isaiah Mobley
auto-sensational-signatures-prizms-orange-pulsar,22,,true,49,Evan Battey
auto-sensational-signatures-prizms-orange-pulsar,23,,true,49,Grant Golden
auto-sensational-signatures-prizms-orange-pulsar,24,,true,49,Peyton Watson
auto-sensational-signatures-prizms-orange-pulsar,30,,true,49,Jamaree Bouyea
auto-sensational-signatures-prizms-orange-pulsar,31,,true,49,James Akinjo
auto-sensational-signatures-prizms-orange-pulsar,33,,true,49,Javon Freeman-Liberty
auto-sensational-signatures-prizms-orange-pulsar,34,,true,49,Jaylen Sims
auto-sensational-signatures-prizms-orange-pulsar,35,,true,49,Jericole Hellems
auto-sensational-signatures-prizms-orange-pulsar,36,,true,49,John Butler
auto-sensational-signatures-prizms-orange-pulsar,40,,true,49,Julian Champagnie
auto-sensational-signatures-prizms-orange-pulsar,41,,true,49,Justin Bean
auto-sensational-signatures-prizms-orange-pulsar,42,,true,49,Justin Minaya
auto-sensational-signatures-prizms-orange-pulsar,46,,true,49,Malik Osborne
auto-sensational-signatures-prizms-orange-pulsar,48,,true,49,Michael Devoe
auto-sensational-signatures-prizms-orange-pulsar,49,,true,49,Michael Foster Jr.
auto-sensational-signatures-prizms-orange-pulsar,50,,true,49,Nysier Brooks
auto-sensational-signatures-prizms-orange-pulsar,51,,true,49,Remy Martin
auto-sensational-signatures-prizms-orange-pulsar,54,,true,49,Taz Sherman
auto-sensational-signatures-prizms-orange-pulsar,55,,true,49,Zach Edey
