category,cardNumber,parallel,isAuto,printRun,player
auto-sensational-signatures-prizms-purple-ice,1,,true,99,Jordan Usher
auto-sensational-signatures-prizms-purple-ice,2,,true,99,Kenneth Lofton Jr.
auto-sensational-signatures-prizms-purple-ice,4,,true,99,Lucas Williamson
auto-sensational-signatures-prizms-purple-ice,5,,true,99,Moussa Diabate
auto-sensational-signatures-prizms-purple-ice,6,,true,99,PJ Hall
auto-sensational-signatures-prizms-purple-ice,8,,true,99,Tyrese Martin
auto-sensational-signatures-prizms-purple-ice,9,,true,99,Collin Gillespie
auto-sensational-signatures-prizms-purple-ice,11,,true,99,Alex O'Connell
auto-sensational-signatures-prizms-purple-ice,12,,true,99,David McCormack
auto-sensational-signatures-prizms-purple-ice,14,,true,99,Brandon Horvath
auto-sensational-signatures-prizms-purple-ice,16,,true,99,Bryson Williams
auto-sensational-signatures-prizms-purple-ice,18,,true,99,Colin Castleton
auto-sensational-signatures-prizms-purple-ice,19,,true,99,Keve Aluma
auto-sensational-signatures-prizms-purple-ice,20,,true,99,Dominick Barlow
auto-sensational-signatures-prizms-purple-ice,21,,true,99,Isaiah Mobley
auto-sensational-signatures-prizms-purple-ice,22,,true,99,Evan Battey
auto-sensational-signatures-prizms-purple-ice,23,,true,99,Grant Golden
auto-sensational-signatures-prizms-purple-ice,24,,true,99,Peyton Watson
auto-sensational-signatures-prizms-purple-ice,31,,true,99,James Akinjo
auto-sensational-signatures-prizms-purple-ice,33,,true,99,Javon Freeman-Liberty
auto-sensational-signatures-prizms-purple-ice,34,,true,99,Jaylen Sims
auto-sensational-signatures-prizms-purple-ice,35,,true,99,Jericole Hellems
auto-sensational-signatures-prizms-purple-ice,36,,true,99,John Butler
auto-sensational-signatures-prizms-purple-ice,40,,true,99,Julian Champagnie
auto-sensational-signatures-prizms-purple-ice,41,,true,99,Justin Bean
auto-sensational-signatures-prizms-purple-ice,42,,true,99,Justin Minaya
auto-sensational-signatures-prizms-purple-ice,46,,true,99,Malik Osborne
auto-sensational-signatures-prizms-purple-ice,48,,true,99,Michael Devoe
auto-sensational-signatures-prizms-purple-ice,49,,true,99,Michael Foster Jr.
auto-sensational-signatures-prizms-purple-ice,50,,true,99,Nysier Brooks
auto-sensational-signatures-prizms-purple-ice,51,,true,99,Remy Martin
auto-sensational-signatures-prizms-purple-ice,54,,true,99,Taz Sherman
auto-sensational-signatures-prizms-purple-ice,55,,true,99,Zach Edey
