category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Allen Iverson
base,2,,false,,Anthony Davis
base,3,,false,,Anthony Edwards
base,4,,false,,Bill Russell
base,5,,false,,Bradley Beal
base,6,,false,,Cade Cunningham
base,7,,false,,Charles Barkley
base,8,,false,,Chris Paul
base,9,,false,,Clyde Drexler
base,10,,false,,David Robinson
base,11,,false,,De'Aaron Fox
base,12,,false,,DeMar DeRozan
base,13,,false,,Devin Booker
base,14,,false,,Dominique Wilkins
base,15,,false,,Donovan Mitchell
base,16,,false,,Dwyane Wade
base,17,,false,,Evan Mobley
base,18,,false,,Isiah Thomas
base,19,,false,,Ja Morant
base,20,,false,,James Harden
base,21,,false,,James Worthy
base,22,,false,,Jaylen Brown
base,23,,false,,Jayson Tatum
base,24,,false,,Jerry West
base,25,,false,,Jimmy Butler
base,26,,false,,Joel Embiid
base,27,,false,,Peyton Watson
base,28,,false,,Jordan Poole
base,29,,false,,Julius Randle
base,30,,false,,Kareem Abdul-Jabbar
base,31,,false,,Kawhi Leonard
base,32,,false,,Kevin Durant
base,33,,false,,Klay Thompson
base,34,,false,,Kyrie Irving
base,35,,false,,Lonzo Ball
base,36,,false,,Larry Bird
base,37,,false,,Oscar Robertson
base,38,,false,,Patrick Ewing
base,39,,false,,Paul George
base,40,,false,,Paul Pierce
base,41,,false,,Russell Westbrook
base,42,,false,,Scottie Barnes
base,43,,false,,Shai Gilgeous-Alexander
base,44,,false,,Shaquille O'Neal
base,45,,false,,Stephen Curry
base,46,,false,,Trae Young
base,47,,false,,Tyler Herro
base,48,,false,,Zach LaVine
base,49,,false,,Zion Williamson
base,50,,false,,Jabari Smith Jr.
base,51,,false,,Chet Holmgren
base,52,,false,,Paolo Banchero
base,53,,false,,Jaden Ivey
base,54,,false,,Shaedon Sharpe
base,55,,false,,Keegan Murray
base,56,,false,,AJ Griffin
base,57,,false,,Bennedict Mathurin
base,58,,false,,Jalen Duren
base,59,,false,,Johnny Davis
base,60,,false,,Dyson Daniels
base,61,,false,,Jeremy Sochan
base,62,,false,,Mark Williams
base,63,,false,,Malaki Branham
base,64,,false,,TyTy Washington Jr.
base,65,,false,,Tari Eason
base,66,,false,,Orlando Robinson
base,67,,false,,Ochai Agbaji
base,68,,false,,Blake Wesley
base,69,,false,,Patrick Baldwin Jr.
