category,cardNumber,parallel,isAuto,printRun,player
auto-action-all-pros-autographs,1,,true,5,Aaron Rodgers
auto-action-all-pros-autographs,3,,true,10,Jonathan Taylor
auto-action-all-pros-autographs,5,,true,10,Nick Chubb
auto-action-all-pros-autographs,7,,true,15,Cooper Kupp
auto-action-all-pros-autographs,9,,true,25,Justin Jefferson
auto-action-all-pros-autographs,13,,true,25,Zack Martin
auto-action-all-pros-autographs,14,,true,15,T.J. Watt
auto-action-all-pros-autographs,15,,true,15,Nick Bosa
auto-action-all-pros-autographs,17,,true,25,Micah Parsons
auto-action-all-pros-autographs,18,,true,15,Shaquille Leonard
auto-action-all-pros-autographs,19,,true,25,Trevon Diggs
auto-action-all-pros-autographs,20,,true,15,Justin Tucker
