category,cardNumber,parallel,isAuto,printRun,player
auto-power-plus-autographs,1,,true,10,Dak Prescott
auto-power-plus-autographs,2,,true,25,Jalen Hurts
auto-power-plus-autographs,3,,true,25,Trey Lance
auto-power-plus-autographs,4,,true,10,Tua Tagovailoa
auto-power-plus-autographs,5,,true,25,Ryan Tannehill
auto-power-plus-autographs,6,,true,25,Derek Carr
auto-power-plus-autographs,7,,true,10,Mac Jones
auto-power-plus-autographs,8,,true,10,Trevor Lawrence
auto-power-plus-autographs,9,,true,99,Davis Mills
auto-power-plus-autographs,10,,true,10,Justin Herbert
auto-power-plus-autographs,11,,true,99,Antonio Gibson
auto-power-plus-autographs,12,,true,99,Austin Ekeler
auto-power-plus-autographs,13,,true,49,Leonard Fournette
auto-power-plus-autographs,15,,true,49,D'Andre Swift
auto-power-plus-autographs,18,,true,99,Jaylen Waddle
auto-power-plus-autographs,19,,true,99,DJ Moore
auto-power-plus-autographs,20,,true,49,Chris Godwin
