category,cardNumber,parallel,isAuto,printRun,player
auto-retro-1992-autographs,2,,true,5,Aaron Rodgers
auto-retro-1992-autographs,3,,true,5,Justin Herbert
auto-retro-1992-autographs,4,,true,5,Joe Burrow
auto-retro-1992-autographs,5,,true,5,Dak Prescott
auto-retro-1992-autographs,6,,true,5,Deshaun Watson
auto-retro-1992-autographs,7,,true,10,Matthew Stafford
auto-retro-1992-autographs,8,,true,10,Derek Carr
auto-retro-1992-autographs,9,,true,5,Trevor Lawrence
auto-retro-1992-autographs,10,,true,5,Mac Jones
auto-retro-1992-autographs,13,,true,10,Jonathan Taylor
auto-retro-1992-autographs,15,,true,25,Javonte Williams
auto-retro-1992-autographs,18,,true,25,Antonio Gibson
auto-retro-1992-autographs,19,,true,25,Josh Jacobs
auto-retro-1992-autographs,20,,true,10,Nick Chubb
auto-retro-1992-autographs,21,,true,25,Austin Ekeler
auto-retro-1992-autographs,22,,true,25,Cam Akers
auto-retro-1992-autographs,23,,true,25,Aaron Jones
auto-retro-1992-autographs,27,,true,25,Leonard Fournette
auto-retro-1992-autographs,28,,true,25,Chris Godwin
auto-retro-1992-autographs,29,,true,10,Jerry Jeudy
auto-retro-1992-autographs,30,,true,25,DeVonta Smith
auto-retro-1992-autographs,31,,true,25,Jaylen Waddle
auto-retro-1992-autographs,32,,true,25,Cooper Kupp
auto-retro-1992-autographs,34,,true,10,George Kittle
auto-retro-1992-autographs,36,,true,25,Dawson Knox
auto-retro-1992-autographs,38,,true,25,Micah Parsons
auto-retro-1992-autographs,39,,true,25,T.J. Watt
auto-retro-1992-autographs,40,,true,25,Nick Bosa
