category,cardNumber,parallel,isAuto,printRun,player
auto-2021-spectra-football-vested-veterans-autographs,1,,true,15,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs,2,,true,20,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs,3,,true,50,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs,4,,true,49,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs,5,,true,50,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-celestial,1,Celestial,true,10,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-celestial,2,Celestial,true,15,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-celestial,3,Celestial,true,35,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-celestial,4,Celestial,true,35,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-celestial,5,Celestial,true,35,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-gold,1,Gold,true,1,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-gold,2,Gold,true,1,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-gold,3,Gold,true,1,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-gold,4,Gold,true,1,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-gold,5,Gold,true,1,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-hyper,1,Hyper,true,8,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-hyper,2,Hyper,true,10,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-hyper,3,Hyper,true,25,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-hyper,4,Hyper,true,25,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-hyper,5,Hyper,true,25,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-meta,1,Meta,true,5,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-meta,2,Meta,true,6,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-meta,3,Meta,true,10,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-meta,4,Meta,true,10,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-meta,5,Meta,true,10,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-nebula,1,Nebula,true,1,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-nebula,2,Nebula,true,1,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-nebula,3,Nebula,true,2,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-nebula,4,Nebula,true,2,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-nebula,5,Nebula,true,2,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-neon-blue,1,Neon Blue,true,7,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-neon-blue,2,Neon Blue,true,10,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-neon-blue,3,Neon Blue,true,15,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-neon-blue,4,Neon Blue,true,15,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-neon-blue,5,Neon Blue,true,15,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-neon-green,1,Neon Green,true,6,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-neon-green,2,Neon Green,true,8,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-neon-green,3,Neon Green,true,10,Michael Gallup
auto-2021-spectra-football-vested-veterans-autographs-neon-green,4,Neon Green,true,10,Tre'Davious White
auto-2021-spectra-football-vested-veterans-autographs-neon-green,5,Neon Green,true,10,Tyler Boyd
auto-2021-spectra-football-vested-veterans-autographs-neon-marble,1,Neon Marble,true,1,Adam Thielen
auto-2021-spectra-football-vested-veterans-autographs-neon-marble,2,Neon Marble,true,2,Christian McCaffrey
auto-2021-spectra-football-vested-veterans-autographs-neon-marble,3,Neon Marble,true,3,Michael Gallup
