category,cardNumber,parallel,isAuto,printRun,player
auto-aspiring-patch-autographs-celestial,1,,true,75,Travon Walker
auto-aspiring-patch-autographs-celestial,2,,true,75,"Ahmad ""Sauce"" Gardner"
auto-aspiring-patch-autographs-celestial,3,,true,75,Kenny Pickett
auto-aspiring-patch-autographs-celestial,4,,true,75,Malik Willis
auto-aspiring-patch-autographs-celestial,5,,true,75,Bailey Zappe
auto-aspiring-patch-autographs-celestial,6,,true,75,Carson Strong
auto-aspiring-patch-autographs-celestial,7,,true,75,Kenneth Walker III
auto-aspiring-patch-autographs-celestial,8,,true,75,Tyrion Davis-Price
auto-aspiring-patch-autographs-celestial,10,,true,75,Zamir White
auto-aspiring-patch-autographs-celestial,11,,true,75,Hassan Haskins
auto-aspiring-patch-autographs-celestial,12,,true,75,Drake London
auto-aspiring-patch-autographs-celestial,13,,true,75,Jahan Dotson
auto-aspiring-patch-autographs-celestial,16,,true,75,Christian Watson
auto-aspiring-patch-autographs-celestial,17,,true,75,Tyquan Thornton
auto-aspiring-patch-autographs-celestial,18,,true,75,Velus Jones Jr.
auto-aspiring-patch-autographs-celestial,19,,true,75,David Bell
auto-aspiring-patch-autographs-celestial,21,,true,75,Calvin Austin III
