category,cardNumber,parallel,isAuto,printRun,player
auto-aspiring-patch-autographs-meta,1,,true,10,Travon Walker
auto-aspiring-patch-autographs-meta,2,,true,10,"Ahmad ""Sauce"" Gardner"
auto-aspiring-patch-autographs-meta,3,,true,10,Kenny Pickett
auto-aspiring-patch-autographs-meta,4,,true,10,Malik Willis
auto-aspiring-patch-autographs-meta,5,,true,10,Bailey Zappe
auto-aspiring-patch-autographs-meta,6,,true,10,Carson Strong
auto-aspiring-patch-autographs-meta,7,,true,10,Kenneth Walker III
auto-aspiring-patch-autographs-meta,8,,true,10,Tyrion Davis-Price
auto-aspiring-patch-autographs-meta,10,,true,10,Zamir White
auto-aspiring-patch-autographs-meta,11,,true,10,Hassan Haskins
auto-aspiring-patch-autographs-meta,12,,true,10,Drake London
auto-aspiring-patch-autographs-meta,13,,true,10,Jahan Dotson
auto-aspiring-patch-autographs-meta,15,,true,10,George Pickens
auto-aspiring-patch-autographs-meta,16,,true,10,Christian Watson
auto-aspiring-patch-autographs-meta,17,,true,10,Tyquan Thornton
auto-aspiring-patch-autographs-meta,18,,true,10,Velus Jones Jr.
auto-aspiring-patch-autographs-meta,19,,true,10,David Bell
auto-aspiring-patch-autographs-meta,21,,true,10,Calvin Austin III
