category,cardNumber,parallel,isAuto,printRun,player
auto-aspiring-patch-autographs-psychedelic,1,,true,5,Travon Walker
auto-aspiring-patch-autographs-psychedelic,2,,true,5,"Ahmad ""Sauce"" Gardner"
auto-aspiring-patch-autographs-psychedelic,3,,true,5,Kenny Pickett
auto-aspiring-patch-autographs-psychedelic,4,,true,5,Malik Willis
auto-aspiring-patch-autographs-psychedelic,5,,true,5,Bailey Zappe
auto-aspiring-patch-autographs-psychedelic,6,,true,5,Carson Strong
auto-aspiring-patch-autographs-psychedelic,7,,true,5,Kenneth Walker III
auto-aspiring-patch-autographs-psychedelic,8,,true,5,Tyrion Davis-Price
auto-aspiring-patch-autographs-psychedelic,10,,true,5,Zamir White
auto-aspiring-patch-autographs-psychedelic,11,,true,5,Hassan Haskins
auto-aspiring-patch-autographs-psychedelic,12,,true,5,Drake London
auto-aspiring-patch-autographs-psychedelic,13,,true,5,Jahan Dotson
auto-aspiring-patch-autographs-psychedelic,15,,true,5,George Pickens
auto-aspiring-patch-autographs-psychedelic,16,,true,5,Christian Watson
auto-aspiring-patch-autographs-psychedelic,17,,true,5,Tyquan Thornton
auto-aspiring-patch-autographs-psychedelic,18,,true,5,Velus Jones Jr.
auto-aspiring-patch-autographs-psychedelic,19,,true,5,David Bell
auto-aspiring-patch-autographs-psychedelic,21,,true,5,Calvin Austin III
