category,cardNumber,parallel,isAuto,printRun,player
auto-aspiring-patch-autographs-wave,1,,true,25,Travon Walker
auto-aspiring-patch-autographs-wave,2,,true,25,"Ahmad ""Sauce"" Gardner"
auto-aspiring-patch-autographs-wave,3,,true,25,Kenny Pickett
auto-aspiring-patch-autographs-wave,4,,true,25,Malik Willis
auto-aspiring-patch-autographs-wave,5,,true,25,Bailey Zappe
auto-aspiring-patch-autographs-wave,6,,true,25,Carson Strong
auto-aspiring-patch-autographs-wave,7,,true,25,Kenneth Walker III
auto-aspiring-patch-autographs-wave,8,,true,25,Tyrion Davis-Price
auto-aspiring-patch-autographs-wave,10,,true,25,Zamir White
auto-aspiring-patch-autographs-wave,11,,true,25,Hassan Haskins
auto-aspiring-patch-autographs-wave,12,,true,25,Drake London
auto-aspiring-patch-autographs-wave,13,,true,25,Jahan Dotson
auto-aspiring-patch-autographs-wave,14,,true,25,Jameson Williams
auto-aspiring-patch-autographs-wave,15,,true,25,George Pickens
auto-aspiring-patch-autographs-wave,16,,true,25,Christian Watson
auto-aspiring-patch-autographs-wave,17,,true,25,Tyquan Thornton
auto-aspiring-patch-autographs-wave,18,,true,25,Velus Jones Jr.
auto-aspiring-patch-autographs-wave,19,,true,25,David Bell
auto-aspiring-patch-autographs-wave,21,,true,25,Calvin Austin III
